ward,precinct,total,BURL L. MCQUEEN,BURL L. MCQUEEN Percent,HENRY MOSES,HENRY MOSES Percent,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,SHIRLEY J. WHITE,SHIRLEY J. WHITE Percent,MICHAEL E. MAYDEN,MICHAEL E. MAYDEN Percent
3401,34,1,358,7,1.96,30,8.38,295,82.4,8,2.23,18,5.03
3402,34,2,281,25,8.9,47,16.73,196,69.75,6,2.14,7,2.49
3403,34,3,271,8,2.95,45,16.61,177,65.31,24,8.86,17,6.27
3404,34,4,280,10,3.57,94,33.57,148,52.86,17,6.07,11,3.93
3405,34,5,221,8,3.62,44,19.91,147,66.52,9,4.07,13,5.88
3406,34,6,163,8,4.91,30,18.4,97,59.51,16,9.82,12,7.36
3407,34,7,321,8,2.49,36,11.21,254,79.13,16,4.98,7,2.18
3408,34,8,273,7,2.56,43,15.75,158,57.88,56,20.51,9,3.3
3409,34,9,171,3,1.75,26,15.2,115,67.25,17,9.94,10,5.85
3410,34,10,257,3,1.17,31,12.06,203,78.99,8,3.11,12,4.67
3411,34,11,144,6,4.17,22,15.28,90,62.5,17,11.81,9,6.25
3412,34,12,310,15,4.84,63,20.32,192,61.94,33,10.65,7,2.26
3413,34,13,285,7,2.46,48,16.84,150,52.63,72,25.26,8,2.81
3414,34,14,173,11,6.36,18,10.4,115,66.47,13,7.51,16,9.25
3415,34,15,178,5,2.81,20,11.24,104,58.43,9,5.06,40,22.47
3416,34,16,165,6,3.64,29,17.58,103,62.42,10,6.06,17,10.3
3417,34,17,228,5,2.19,47,20.61,144,63.16,19,8.33,13,5.7
3418,34,18,150,4,2.67,25,16.67,91,60.67,22,14.67,8,5.33
3419,34,19,62,3,4.84,15,24.19,32,51.61,8,12.9,4,6.45
3420,34,20,395,32,8.1,61,15.44,266,67.34,26,6.58,10,2.53
3421,34,21,258,4,1.55,59,22.87,169,65.5,21,8.14,5,1.94
3422,34,22,316,15,4.75,57,18.04,197,62.34,34,10.76,13,4.11
3423,34,23,228,23,10.09,24,10.53,137,60.09,32,14.04,12,5.26
3424,34,24,215,15,6.98,54,25.12,125,58.14,13,6.05,8,3.72
3425,34,25,275,19,6.91,40,14.55,182,66.18,26,9.45,8,2.91
3426,34,26,133,2,1.5,22,16.54,85,63.91,16,12.03,8,6.02
3427,34,27,193,7,3.63,73,37.82,94,48.7,8,4.15,11,5.7
3428,34,28,149,5,3.36,9,6.04,114,76.51,17,11.41,4,2.68
3429,34,29,250,7,2.8,43,17.2,166,66.4,28,11.2,6,2.4
3430,34,30,316,76,24.05,38,12.03,166,52.53,18,5.7,18,5.7
3431,34,31,118,3,2.54,15,12.71,81,68.64,13,11.02,6,5.08
3432,34,32,165,4,2.42,21,12.73,115,69.7,22,13.33,3,1.82
3433,34,33,118,2,1.69,10,8.47,82,69.49,18,15.25,6,5.08
3434,34,34,315,13,4.13,34,10.79,221,70.16,37,11.75,10,3.17
3435,34,35,284,2,0.7,21,7.39,218,76.76,34,11.97,9,3.17
3436,34,36,289,53,18.34,27,9.34,174,60.21,24,8.3,11,3.81
3437,34,37,222,6,2.7,30,13.51,146,65.77,37,16.67,3,1.35
3438,34,38,176,8,4.55,32,18.18,111,63.07,17,9.66,8,4.55
3439,34,39,167,4,2.4,38,22.75,96,57.49,24,14.37,5,2.99
3440,34,40,234,3,1.28,26,11.11,166,70.94,27,11.54,12,5.13
3441,34,41,144,13,9.03,31,21.53,72,50.0,17,11.81,11,7.64
3442,34,42,304,39,12.83,32,10.53,179,58.88,34,11.18,20,6.58
3443,34,43,360,17,4.72,48,13.33,249,69.17,41,11.39,5,1.39
3444,34,44,296,10,3.38,41,13.85,208,70.27,32,10.81,5,1.69
3445,34,45,254,7,2.76,30,11.81,112,44.09,99,38.98,6,2.36
3446,34,46,231,13,5.63,41,17.75,157,67.97,12,5.19,8,3.46
3447,34,47,142,4,2.82,16,11.27,107,75.35,8,5.63,7,4.93
3448,34,48,318,20,6.29,29,9.12,237,74.53,27,8.49,5,1.57
3449,34,49,363,7,1.93,37,10.19,291,80.17,23,6.34,5,1.38
3450,34,50,236,10,4.24,23,9.75,169,71.61,14,5.93,20,8.47
3451,34,51,391,5,1.28,29,7.42,310,79.28,27,6.91,20,5.12
3452,34,52,189,7,3.7,46,24.34,106,56.08,20,10.58,10,5.29
3453,34,53,113,8,7.08,29,25.66,56,49.56,14,12.39,6,5.31
3454,34,54,177,4,2.26,42,23.73,98,55.37,18,10.17,15,8.47
3455,34,55,262,6,2.29,40,15.27,150,57.25,59,22.52,7,2.67
3456,34,56,125,1,0.8,16,12.8,78,62.4,25,20.0,5,4.0
3457,34,57,208,6,2.88,22,10.58,79,37.98,98,47.12,3,1.44
3458,34,58,266,7,2.63,26,9.77,186,69.92,41,15.41,6,2.26
3459,34,59,240,5,2.08,13,5.42,183,76.25,9,3.75,30,12.5
3460,34,60,253,10,3.95,50,19.76,159,62.85,20,7.91,14,5.53
3461,34,61,204,13,6.37,42,20.59,110,53.92,30,14.71,9,4.41
