ward,precinct,total,PATRICK J. O'CONNOR,PATRICK J. O'CONNOR Percent
4001,40,1,142,142,100.0
4002,40,2,119,119,100.0
4003,40,3,199,199,100.0
4004,40,4,177,177,100.0
4005,40,5,198,198,100.0
4006,40,6,190,190,100.0
4007,40,7,183,183,100.0
4008,40,8,52,52,100.0
4009,40,9,180,180,100.0
4010,40,10,232,232,100.0
4011,40,11,137,137,100.0
4012,40,12,139,139,100.0
4013,40,13,225,225,100.0
4014,40,14,204,204,100.0
4015,40,15,203,203,100.0
4016,40,16,203,203,100.0
4017,40,17,98,98,100.0
4018,40,18,185,185,100.0
4019,40,19,180,180,100.0
4020,40,20,183,183,100.0
4021,40,21,175,175,100.0
4022,40,22,118,118,100.0
4023,40,23,257,257,100.0
4024,40,24,126,126,100.0
4025,40,25,153,153,100.0
4026,40,26,187,187,100.0
4027,40,27,149,149,100.0
4028,40,28,214,214,100.0
4029,40,29,237,237,100.0
4030,40,30,262,262,100.0
4031,40,31,176,176,100.0
4032,40,32,122,122,100.0
4033,40,33,214,214,100.0
4034,40,34,139,139,100.0
4035,40,35,197,197,100.0
4036,40,36,215,215,100.0
4037,40,37,157,157,100.0
4038,40,38,104,104,100.0
4039,40,39,146,146,100.0
4040,40,40,141,141,100.0
4041,40,41,260,260,100.0
4042,40,42,228,228,100.0
4043,40,43,212,212,100.0
4044,40,44,128,128,100.0
4045,40,45,318,318,100.0
4046,40,46,234,234,100.0
4047,40,47,176,176,100.0
4048,40,48,133,133,100.0
4049,40,49,105,105,100.0
