id,ward,precinct,total,Mary Catherine Marubio,Mary Catherine Marubio Percent
3003,30,3,165,165,100.0
3015,30,15,350,350,100.0
3020,30,20,79,79,100.0
3032,30,32,326,326,100.0
3219,32,19,401,401,100.0
3221,32,21,442,442,100.0
3225,32,25,422,422,100.0
3302,33,2,612,612,100.0
3307,33,7,485,485,100.0
3318,33,18,700,700,100.0
3509,35,9,360,360,100.0
3522,35,22,522,522,100.0
3523,35,23,170,170,100.0
3529,35,29,389,389,100.0
3530,35,30,384,384,100.0
3531,35,31,445,445,100.0
3801,38,1,331,331,100.0
3831,38,31,344,344,100.0
3832,38,32,323,323,100.0
3841,38,41,315,315,100.0
3901,39,1,324,324,100.0
3902,39,2,223,223,100.0
3903,39,3,415,415,100.0
3904,39,4,339,339,100.0
3905,39,5,371,371,100.0
3906,39,6,364,364,100.0
3907,39,7,329,329,100.0
3908,39,8,375,375,100.0
3909,39,9,332,332,100.0
3910,39,10,203,203,100.0
3911,39,11,336,336,100.0
3912,39,12,498,498,100.0
3913,39,13,282,282,100.0
3914,39,14,351,351,100.0
3915,39,15,396,396,100.0
3916,39,16,340,340,100.0
3917,39,17,383,383,100.0
3918,39,18,336,336,100.0
3919,39,19,364,364,100.0
3920,39,20,418,418,100.0
3921,39,21,327,327,100.0
3922,39,22,367,367,100.0
3923,39,23,343,343,100.0
3924,39,24,417,417,100.0
3925,39,25,330,330,100.0
3926,39,26,321,321,100.0
3927,39,27,45,45,100.0
3928,39,28,466,466,100.0
3929,39,29,220,220,100.0
3930,39,30,494,494,100.0
3931,39,31,333,333,100.0
3932,39,32,104,104,100.0
3933,39,33,373,373,100.0
3934,39,34,437,437,100.0
3935,39,35,368,368,100.0
3936,39,36,67,67,100.0
3937,39,37,330,330,100.0
3938,39,38,189,189,100.0
3939,39,39,221,221,100.0
3940,39,40,354,354,100.0
3941,39,41,359,359,100.0
3942,39,42,359,359,100.0
3943,39,43,345,345,100.0
3944,39,44,272,272,100.0
3945,39,45,294,294,100.0
4001,40,1,367,367,100.0
4002,40,2,480,480,100.0
4003,40,3,568,568,100.0
4004,40,4,272,272,100.0
4005,40,5,498,498,100.0
4006,40,6,544,544,100.0
4007,40,7,439,439,100.0
4010,40,10,344,344,100.0
4011,40,11,451,451,100.0
4012,40,12,403,403,100.0
4013,40,13,372,372,100.0
4014,40,14,407,407,100.0
4015,40,15,425,425,100.0
4016,40,16,608,608,100.0
4017,40,17,358,358,100.0
4018,40,18,68,68,100.0
4019,40,19,557,557,100.0
4020,40,20,470,470,100.0
4021,40,21,390,390,100.0
4024,40,24,400,400,100.0
4025,40,25,554,554,100.0
4029,40,29,460,460,100.0
4030,40,30,355,355,100.0
4034,40,34,379,379,100.0
4038,40,38,268,268,100.0
4039,40,39,173,173,100.0
4101,41,1,286,286,100.0
4102,41,2,325,325,100.0
4103,41,3,315,315,100.0
4104,41,4,318,318,100.0
4105,41,5,388,388,100.0
4106,41,6,204,204,100.0
4107,41,7,313,313,100.0
4108,41,8,285,285,100.0
4110,41,10,314,314,100.0
4111,41,11,327,327,100.0
4112,41,12,371,371,100.0
4113,41,13,353,353,100.0
4114,41,14,217,217,100.0
4115,41,15,407,407,100.0
4116,41,16,302,302,100.0
4117,41,17,291,291,100.0
4118,41,18,299,299,100.0
4120,41,20,223,223,100.0
4121,41,21,317,317,100.0
4122,41,22,364,364,100.0
4123,41,23,301,301,100.0
4124,41,24,313,313,100.0
4126,41,26,278,278,100.0
4130,41,30,319,319,100.0
4131,41,31,292,292,100.0
4132,41,32,292,292,100.0
4133,41,33,284,284,100.0
4134,41,34,272,272,100.0
4135,41,35,344,344,100.0
4136,41,36,305,305,100.0
4137,41,37,383,383,100.0
4138,41,38,314,314,100.0
4139,41,39,333,333,100.0
4140,41,40,331,331,100.0
4141,41,41,326,326,100.0
4142,41,42,307,307,100.0
4143,41,43,313,313,100.0
4144,41,44,309,309,100.0
4145,41,45,306,306,100.0
4146,41,46,326,326,100.0
4147,41,47,180,180,100.0
4501,45,1,335,335,100.0
4502,45,2,407,407,100.0
4503,45,3,344,344,100.0
4504,45,4,369,369,100.0
4505,45,5,84,84,100.0
4507,45,7,515,515,100.0
4508,45,8,360,360,100.0
4509,45,9,141,141,100.0
4510,45,10,225,225,100.0
4511,45,11,281,281,100.0
4512,45,12,350,350,100.0
4513,45,13,310,310,100.0
4514,45,14,543,543,100.0
4515,45,15,492,492,100.0
4516,45,16,332,332,100.0
4517,45,17,399,399,100.0
4518,45,18,400,400,100.0
4519,45,19,206,206,100.0
4520,45,20,258,258,100.0
