ward,precinct,total,Perla Tirado,Perla Tirado Percent
0328,3,28,20,20,100.0
1101,11,1,367,367,100.0
1102,11,2,32,32,100.0
1103,11,3,386,386,100.0
1104,11,4,300,300,100.0
1105,11,5,487,487,100.0
1107,11,7,288,288,100.0
1108,11,8,363,363,100.0
1109,11,9,317,317,100.0
1110,11,10,363,363,100.0
1111,11,11,387,387,100.0
1117,11,17,457,457,100.0
1119,11,19,496,496,100.0
1121,11,21,387,387,100.0
1122,11,22,447,447,100.0
1124,11,24,396,396,100.0
1125,11,25,427,427,100.0
1126,11,26,364,364,100.0
1129,11,29,382,382,100.0
1131,11,31,297,297,100.0
1133,11,33,490,490,100.0
1137,11,37,1,1,100.0
1138,11,38,199,199,100.0
1201,12,1,326,326,100.0
1202,12,2,266,266,100.0
1203,12,3,406,406,100.0
1204,12,4,406,406,100.0
1205,12,5,288,288,100.0
1206,12,6,408,408,100.0
1207,12,7,315,315,100.0
1208,12,8,313,313,100.0
1209,12,9,262,262,100.0
1210,12,10,438,438,100.0
1211,12,11,380,380,100.0
1212,12,12,356,356,100.0
1213,12,13,386,386,100.0
1214,12,14,322,322,100.0
1215,12,15,310,310,100.0
1216,12,16,317,317,100.0
1217,12,17,405,405,100.0
1218,12,18,310,310,100.0
1219,12,19,352,352,100.0
1220,12,20,445,445,100.0
1221,12,21,379,379,100.0
1222,12,22,354,354,100.0
1223,12,23,345,345,100.0
1405,14,5,518,518,100.0
1406,14,6,190,190,100.0
1410,14,10,262,262,100.0
1411,14,11,202,202,100.0
1414,14,14,354,354,100.0
1415,14,15,346,346,100.0
1416,14,16,249,249,100.0
1417,14,17,281,281,100.0
1419,14,19,359,359,100.0
1420,14,20,263,263,100.0
1421,14,21,342,342,100.0
1425,14,25,176,176,100.0
1426,14,26,265,265,100.0
1429,14,29,250,250,100.0
1430,14,30,261,261,100.0
1431,14,31,195,195,100.0
1501,15,1,290,290,100.0
1504,15,4,358,358,100.0
1505,15,5,291,291,100.0
1506,15,6,348,348,100.0
1508,15,8,333,333,100.0
1509,15,9,460,460,100.0
1510,15,10,446,446,100.0
1511,15,11,427,427,100.0
1512,15,12,419,419,100.0
1513,15,13,343,343,100.0
1514,15,14,289,289,100.0
1515,15,15,292,292,100.0
1516,15,16,400,400,100.0
1519,15,19,273,273,100.0
1601,16,1,428,428,100.0
1602,16,2,76,76,100.0
1604,16,4,240,240,100.0
1606,16,6,30,30,100.0
1607,16,7,244,244,100.0
1611,16,11,225,225,100.0
1613,16,13,288,288,100.0
1617,16,17,328,328,100.0
1618,16,18,258,258,100.0
1619,16,19,223,223,100.0
1622,16,22,209,209,100.0
1623,16,23,361,361,100.0
1632,16,32,344,344,100.0
1635,16,35,349,349,100.0
1706,17,6,301,301,100.0
1707,17,7,277,277,100.0
1712,17,12,270,270,100.0
1714,17,14,194,194,100.0
1716,17,16,319,319,100.0
1725,17,25,173,173,100.0
2004,20,4,33,33,100.0
2015,20,15,310,310,100.0
2017,20,17,166,166,100.0
2020,20,20,247,247,100.0
2203,22,3,554,554,100.0
2204,22,4,280,280,100.0
2205,22,5,293,293,100.0
2206,22,6,311,311,100.0
2207,22,7,298,298,100.0
2209,22,9,271,271,100.0
2210,22,10,454,454,100.0
2211,22,11,253,253,100.0
2212,22,12,251,251,100.0
2213,22,13,348,348,100.0
2214,22,14,258,258,100.0
2215,22,15,297,297,100.0
2216,22,16,287,287,100.0
2217,22,17,428,428,100.0
2218,22,18,293,293,100.0
2219,22,19,149,149,100.0
2220,22,20,355,355,100.0
2222,22,22,312,312,100.0
2224,22,24,408,408,100.0
2225,22,25,340,340,100.0
2407,24,7,196,196,100.0
2410,24,10,3,3,100.0
2416,24,16,784,784,100.0
2439,24,39,258,258,100.0
2501,25,1,323,323,100.0
2502,25,2,498,498,100.0
2504,25,4,75,75,100.0
2505,25,5,406,406,100.0
2507,25,7,415,415,100.0
2508,25,8,499,499,100.0
2509,25,9,416,416,100.0
2511,25,11,450,450,100.0
2512,25,12,431,431,100.0
2513,25,13,491,491,100.0
2514,25,14,42,42,100.0
2515,25,15,351,351,100.0
2517,25,17,461,461,100.0
2519,25,19,448,448,100.0
2522,25,22,457,457,100.0
2523,25,23,495,495,100.0
2524,25,24,429,429,100.0
2525,25,25,300,300,100.0
2526,25,26,442,442,100.0
2527,25,27,44,44,100.0
2528,25,28,442,442,100.0
2530,25,30,402,402,100.0
2532,25,32,321,321,100.0
2819,28,19,2,2,100.0
