id,ward,precinct,total,Michelle Darbro,Michelle Darbro Percent,Brad Stephens,Brad Stephens Percent
3802,38,2,620,186,30.0,434,70.0
3807,38,7,167,88,52.69,79,47.31
3812,38,12,601,221,36.77,380,63.23
3817,38,17,151,81,53.64,70,46.36
3820,38,20,603,251,41.63,352,58.37
3824,38,24,3,1,33.33,2,66.67
3828,38,28,710,334,47.04,376,52.96
4101,41,1,590,254,43.05,336,56.95
4102,41,2,645,265,41.09,380,58.91
4103,41,3,336,165,49.11,171,50.89
4104,41,4,594,303,51.01,291,48.99
4105,41,5,729,384,52.67,345,47.33
4107,41,7,640,298,46.56,342,53.44
4108,41,8,626,296,47.28,330,52.72
4110,41,10,612,288,47.06,324,52.94
4111,41,11,667,308,46.18,359,53.82
4113,41,13,746,318,42.63,428,57.37
4115,41,15,769,383,49.8,386,50.2
4116,41,16,586,295,50.34,291,49.66
4117,41,17,547,282,51.55,265,48.45
4118,41,18,585,294,50.26,291,49.74
4120,41,20,458,222,48.47,236,51.53
4121,41,21,590,318,53.9,272,46.1
4122,41,22,677,309,45.64,368,54.36
4123,41,23,656,240,36.59,416,63.41
4125,41,25,629,316,50.24,313,49.76
4126,41,26,527,260,49.34,267,50.66
4127,41,27,607,257,42.34,350,57.66
4131,41,31,553,295,53.35,258,46.65
4133,41,33,584,251,42.98,333,57.02
4134,41,34,571,248,43.43,323,56.57
4135,41,35,751,343,45.67,408,54.33
4136,41,36,599,284,47.41,315,52.59
4137,41,37,672,336,50.0,336,50.0
4140,41,40,695,309,44.46,386,55.54
4141,41,41,660,302,45.76,358,54.24
4142,41,42,630,261,41.43,369,58.57
4143,41,43,651,313,48.08,338,51.92
4144,41,44,641,277,43.21,364,56.79
4145,41,45,600,293,48.83,307,51.17
4146,41,46,608,293,48.19,315,51.81
