ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent
0901,9,1,200,200,100.0
0902,9,2,241,241,100.0
0904,9,4,219,219,100.0
0905,9,5,382,382,100.0
0906,9,6,350,350,100.0
0909,9,9,89,89,100.0
0913,9,13,101,101,100.0
0914,9,14,444,444,100.0
0917,9,17,187,187,100.0
0919,9,19,385,385,100.0
0922,9,22,400,400,100.0
0929,9,29,338,338,100.0
0931,9,31,212,212,100.0
0932,9,32,388,388,100.0
0934,9,34,327,327,100.0
0935,9,35,364,364,100.0
0938,9,38,121,121,100.0
0939,9,39,407,407,100.0
0940,9,40,436,436,100.0
0943,9,43,206,206,100.0
0944,9,44,67,67,100.0
3402,34,2,187,187,100.0
3403,34,3,424,424,100.0
3404,34,4,302,302,100.0
3406,34,6,467,467,100.0
3409,34,9,291,291,100.0
3411,34,11,369,369,100.0
3414,34,14,343,343,100.0
3415,34,15,112,112,100.0
3416,34,16,363,363,100.0
3418,34,18,269,269,100.0
3420,34,20,298,298,100.0
3422,34,22,409,409,100.0
3423,34,23,335,335,100.0
3424,34,24,355,355,100.0
3426,34,26,494,494,100.0
3427,34,27,321,321,100.0
3428,34,28,259,259,100.0
3430,34,30,390,390,100.0
3431,34,31,285,285,100.0
3433,34,33,342,342,100.0
3436,34,36,363,363,100.0
3437,34,37,227,227,100.0
3438,34,38,205,205,100.0
3439,34,39,298,298,100.0
3441,34,41,241,241,100.0
3442,34,42,406,406,100.0
3450,34,50,338,338,100.0
3451,34,51,243,243,100.0
3453,34,53,275,275,100.0
