id,ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent"
0726,7,26,309,309,100.0
0727,7,27,309,309,100.0
0728,7,28,156,156,100.0
0729,7,29,343,343,100.0
0730,7,30,247,247,100.0
0732,7,32,209,209,100.0
0736,7,36,484,484,100.0
0737,7,37,26,26,100.0
0738,7,38,335,335,100.0
0739,7,39,346,346,100.0
0740,7,40,332,332,100.0
0741,7,41,374,374,100.0
0742,7,42,368,368,100.0
0743,7,43,370,370,100.0
0744,7,44,341,341,100.0
0745,7,45,370,370,100.0
0803,8,3,461,461,100.0
0804,8,4,467,467,100.0
0805,8,5,452,452,100.0
0806,8,6,416,416,100.0
0807,8,7,445,445,100.0
0808,8,8,417,417,100.0
0810,8,10,510,510,100.0
0811,8,11,345,345,100.0
0812,8,12,360,360,100.0
0814,8,14,324,324,100.0
0815,8,15,249,249,100.0
0817,8,17,350,350,100.0
0818,8,18,364,364,100.0
0819,8,19,445,445,100.0
0823,8,23,334,334,100.0
0824,8,24,229,229,100.0
0825,8,25,397,397,100.0
0827,8,27,450,450,100.0
0829,8,29,459,459,100.0
0830,8,30,463,463,100.0
0833,8,33,338,338,100.0
0835,8,35,491,491,100.0
0836,8,36,412,412,100.0
0837,8,37,326,326,100.0
0838,8,38,302,302,100.0
0840,8,40,340,340,100.0
0841,8,41,433,433,100.0
0844,8,44,302,302,100.0
0845,8,45,221,221,100.0
0846,8,46,321,321,100.0
0848,8,48,382,382,100.0
0849,8,49,385,385,100.0
0850,8,50,411,411,100.0
0851,8,51,412,412,100.0
0852,8,52,514,514,100.0
0853,8,53,238,238,100.0
0854,8,54,102,102,100.0
0856,8,56,440,440,100.0
1002,10,2,336,336,100.0
1003,10,3,364,364,100.0
1005,10,5,276,276,100.0
1009,10,9,331,331,100.0
1013,10,13,352,352,100.0
1014,10,14,12,12,100.0
1015,10,15,686,686,100.0
1016,10,16,295,295,100.0
1017,10,17,441,441,100.0
1021,10,21,6,6,100.0
1023,10,23,30,30,100.0
1024,10,24,340,340,100.0
1027,10,27,13,13,100.0
1033,10,33,3,3,100.0
