id,ward,precinct,total,Lynn Weaver Boyle,Lynn Weaver Boyle Percent
0101,1,1,469,469,100.0
0102,1,2,417,417,100.0
0103,1,3,613,613,100.0
0104,1,4,572,572,100.0
0105,1,5,510,510,100.0
0106,1,6,412,412,100.0
0107,1,7,338,338,100.0
0108,1,8,428,428,100.0
0109,1,9,332,332,100.0
0110,1,10,638,638,100.0
0111,1,11,589,589,100.0
0112,1,12,558,558,100.0
0113,1,13,248,248,100.0
0114,1,14,456,456,100.0
0115,1,15,438,438,100.0
0116,1,16,514,514,100.0
0117,1,17,424,424,100.0
0118,1,18,473,473,100.0
0119,1,19,582,582,100.0
0120,1,20,394,394,100.0
0121,1,21,711,711,100.0
0122,1,22,326,326,100.0
0123,1,23,666,666,100.0
0124,1,24,419,419,100.0
0125,1,25,484,484,100.0
0126,1,26,286,286,100.0
0127,1,27,550,550,100.0
0128,1,28,155,155,100.0
0129,1,29,640,640,100.0
0130,1,30,526,526,100.0
0131,1,31,407,407,100.0
0132,1,32,448,448,100.0
0133,1,33,514,514,100.0
0134,1,34,408,408,100.0
0135,1,35,624,624,100.0
0136,1,36,578,578,100.0
0137,1,37,494,494,100.0
0138,1,38,464,464,100.0
0139,1,39,395,395,100.0
0140,1,40,420,420,100.0
0141,1,41,276,276,100.0
0142,1,42,170,170,100.0
0143,1,43,297,297,100.0
0144,1,44,452,452,100.0
0201,2,1,558,558,100.0
0202,2,2,323,323,100.0
0203,2,3,571,571,100.0
0204,2,4,500,500,100.0
0205,2,5,611,611,100.0
0206,2,6,524,524,100.0
0207,2,7,459,459,100.0
0208,2,8,606,606,100.0
0209,2,9,436,436,100.0
0210,2,10,309,309,100.0
0211,2,11,460,460,100.0
0212,2,12,394,394,100.0
0213,2,13,379,379,100.0
0214,2,14,475,475,100.0
0215,2,15,438,438,100.0
0216,2,16,480,480,100.0
0217,2,17,530,530,100.0
0218,2,18,412,412,100.0
0219,2,19,281,281,100.0
0220,2,20,626,626,100.0
0221,2,21,518,518,100.0
0222,2,22,474,474,100.0
0223,2,23,273,273,100.0
0224,2,24,409,409,100.0
0225,2,25,560,560,100.0
0226,2,26,384,384,100.0
0227,2,27,392,392,100.0
0228,2,28,532,532,100.0
0229,2,29,501,501,100.0
0230,2,30,387,387,100.0
0231,2,31,528,528,100.0
0232,2,32,394,394,100.0
0233,2,33,645,645,100.0
0234,2,34,329,329,100.0
0235,2,35,627,627,100.0
0236,2,36,503,503,100.0
0237,2,37,403,403,100.0
0238,2,38,396,396,100.0
0239,2,39,279,279,100.0
0240,2,40,673,673,100.0
0241,2,41,560,560,100.0
0242,2,42,533,533,100.0
