id,ward,precinct,total,Maria Pappas,Maria Pappas Percent
0101,1,1,172,172,100.0
0102,1,2,121,121,100.0
0103,1,3,186,186,100.0
0104,1,4,158,158,100.0
0105,1,5,143,143,100.0
0106,1,6,139,139,100.0
0107,1,7,134,134,100.0
0108,1,8,154,154,100.0
0109,1,9,115,115,100.0
0110,1,10,184,184,100.0
0111,1,11,187,187,100.0
0112,1,12,175,175,100.0
0113,1,13,86,86,100.0
0114,1,14,156,156,100.0
0115,1,15,140,140,100.0
0116,1,16,192,192,100.0
0117,1,17,127,127,100.0
0118,1,18,154,154,100.0
0119,1,19,229,229,100.0
0120,1,20,123,123,100.0
0121,1,21,199,199,100.0
0122,1,22,118,118,100.0
0123,1,23,243,243,100.0
0124,1,24,184,184,100.0
0125,1,25,159,159,100.0
0126,1,26,114,114,100.0
0127,1,27,186,186,100.0
0128,1,28,31,31,100.0
0129,1,29,230,230,100.0
0130,1,30,194,194,100.0
0131,1,31,135,135,100.0
0132,1,32,147,147,100.0
0133,1,33,181,181,100.0
0134,1,34,153,153,100.0
0135,1,35,164,164,100.0
0136,1,36,200,200,100.0
0137,1,37,170,170,100.0
0138,1,38,148,148,100.0
0139,1,39,121,121,100.0
0140,1,40,142,142,100.0
0141,1,41,91,91,100.0
0142,1,42,42,42,100.0
0143,1,43,131,131,100.0
0144,1,44,143,143,100.0
0201,2,1,145,145,100.0
0202,2,2,139,139,100.0
0203,2,3,175,175,100.0
0204,2,4,153,153,100.0
0205,2,5,175,175,100.0
0206,2,6,126,126,100.0
0207,2,7,113,113,100.0
0208,2,8,149,149,100.0
0209,2,9,146,146,100.0
0210,2,10,141,141,100.0
0211,2,11,181,181,100.0
0212,2,12,118,118,100.0
0213,2,13,180,180,100.0
0214,2,14,176,176,100.0
0215,2,15,132,132,100.0
0216,2,16,166,166,100.0
0217,2,17,233,233,100.0
0218,2,18,143,143,100.0
0219,2,19,121,121,100.0
0220,2,20,145,145,100.0
0221,2,21,166,166,100.0
0222,2,22,173,173,100.0
0223,2,23,141,141,100.0
0224,2,24,137,137,100.0
0225,2,25,198,198,100.0
0226,2,26,115,115,100.0
0227,2,27,115,115,100.0
0228,2,28,149,149,100.0
0229,2,29,138,138,100.0
0230,2,30,124,124,100.0
0231,2,31,212,212,100.0
0232,2,32,83,83,100.0
0233,2,33,211,211,100.0
0234,2,34,155,155,100.0
0235,2,35,174,174,100.0
0236,2,36,163,163,100.0
0237,2,37,183,183,100.0
