id,ward,precinct,total,Bridget Gainer,Bridget Gainer Percent
3825,38,25,46,46,100.0
3901,39,1,115,115,100.0
3902,39,2,116,116,100.0
3904,39,4,135,135,100.0
3913,39,13,105,105,100.0
3915,39,15,137,137,100.0
3916,39,16,75,75,100.0
3918,39,18,143,143,100.0
3920,39,20,164,164,100.0
3921,39,21,108,108,100.0
3922,39,22,80,80,100.0
3923,39,23,130,130,100.0
3924,39,24,169,169,100.0
3926,39,26,112,112,100.0
3927,39,27,29,29,100.0
3930,39,30,157,157,100.0
3932,39,32,117,117,100.0
3935,39,35,153,153,100.0
3936,39,36,49,49,100.0
3937,39,37,164,164,100.0
3939,39,39,84,84,100.0
3940,39,40,118,118,100.0
3941,39,41,162,162,100.0
3942,39,42,166,166,100.0
3943,39,43,142,142,100.0
3944,39,44,112,112,100.0
3945,39,45,143,143,100.0
4001,40,1,115,115,100.0
4002,40,2,152,152,100.0
4010,40,10,33,33,100.0
4013,40,13,305,305,100.0
4014,40,14,131,131,100.0
4015,40,15,134,134,100.0
4016,40,16,170,170,100.0
4017,40,17,26,26,100.0
4019,40,19,182,182,100.0
4020,40,20,138,138,100.0
4021,40,21,255,255,100.0
4022,40,22,273,273,100.0
4023,40,23,315,315,100.0
4024,40,24,120,120,100.0
4025,40,25,272,272,100.0
4026,40,26,218,218,100.0
4027,40,27,210,210,100.0
4029,40,29,189,189,100.0
4030,40,30,151,151,100.0
4031,40,31,261,261,100.0
4032,40,32,215,215,100.0
4033,40,33,242,242,100.0
4034,40,34,128,128,100.0
4036,40,36,158,158,100.0
4037,40,37,130,130,100.0
4103,41,3,124,124,100.0
4106,41,6,174,174,100.0
4109,41,9,101,101,100.0
4112,41,12,98,98,100.0
4113,41,13,99,99,100.0
4114,41,14,190,190,100.0
4116,41,16,100,100,100.0
4119,41,19,151,151,100.0
4121,41,21,129,129,100.0
4123,41,23,88,88,100.0
4124,41,24,97,97,100.0
4125,41,25,49,49,100.0
4126,41,26,110,110,100.0
4128,41,28,57,57,100.0
4129,41,29,42,42,100.0
4130,41,30,123,123,100.0
4132,41,32,113,113,100.0
4133,41,33,96,96,100.0
4134,41,34,92,92,100.0
4135,41,35,155,155,100.0
4136,41,36,113,113,100.0
4138,41,38,108,108,100.0
4139,41,39,147,147,100.0
4145,41,45,111,111,100.0
4147,41,47,149,149,100.0
4313,43,13,166,166,100.0
4336,43,36,19,19,100.0
4340,43,40,103,103,100.0
4342,43,42,141,141,100.0
4401,44,1,277,277,100.0
4402,44,2,152,152,100.0
4403,44,3,141,141,100.0
4404,44,4,163,163,100.0
4405,44,5,174,174,100.0
4406,44,6,197,197,100.0
4407,44,7,146,146,100.0
4408,44,8,211,211,100.0
4409,44,9,139,139,100.0
4410,44,10,147,147,100.0
4411,44,11,161,161,100.0
4412,44,12,240,240,100.0
4413,44,13,129,129,100.0
4414,44,14,153,153,100.0
4415,44,15,176,176,100.0
4416,44,16,200,200,100.0
4417,44,17,242,242,100.0
4418,44,18,175,175,100.0
4419,44,19,240,240,100.0
4420,44,20,189,189,100.0
4421,44,21,183,183,100.0
4422,44,22,182,182,100.0
4423,44,23,146,146,100.0
4424,44,24,154,154,100.0
4425,44,25,209,209,100.0
4426,44,26,206,206,100.0
4427,44,27,182,182,100.0
4428,44,28,176,176,100.0
4429,44,29,190,190,100.0
4430,44,30,203,203,100.0
4431,44,31,106,106,100.0
4432,44,32,158,158,100.0
4433,44,33,195,195,100.0
4434,44,34,199,199,100.0
4435,44,35,212,212,100.0
4436,44,36,169,169,100.0
4437,44,37,226,226,100.0
4438,44,38,151,151,100.0
4439,44,39,183,183,100.0
4440,44,40,159,159,100.0
4441,44,41,213,213,100.0
4519,45,19,66,66,100.0
4520,45,20,82,82,100.0
4521,45,21,121,121,100.0
4522,45,22,96,96,100.0
4523,45,23,110,110,100.0
4524,45,24,74,74,100.0
4525,45,25,92,92,100.0
4526,45,26,66,66,100.0
4527,45,27,119,119,100.0
4528,45,28,99,99,100.0
4529,45,29,90,90,100.0
4530,45,30,80,80,100.0
4531,45,31,113,113,100.0
4532,45,32,111,111,100.0
4533,45,33,102,102,100.0
4534,45,34,132,132,100.0
4535,45,35,148,148,100.0
4536,45,36,159,159,100.0
4537,45,37,129,129,100.0
4538,45,38,113,113,100.0
4539,45,39,114,114,100.0
4540,45,40,110,110,100.0
4541,45,41,94,94,100.0
4542,45,42,136,136,100.0
4543,45,43,109,109,100.0
4544,45,44,146,146,100.0
4545,45,45,52,52,100.0
4546,45,46,76,76,100.0
4547,45,47,81,81,100.0
4548,45,48,73,73,100.0
4601,46,1,138,138,100.0
4602,46,2,209,209,100.0
4603,46,3,252,252,100.0
4604,46,4,202,202,100.0
4605,46,5,210,210,100.0
4606,46,6,172,172,100.0
4607,46,7,237,237,100.0
4608,46,8,131,131,100.0
4609,46,9,214,214,100.0
4610,46,10,252,252,100.0
4611,46,11,163,163,100.0
4612,46,12,231,231,100.0
4613,46,13,211,211,100.0
4614,46,14,129,129,100.0
4615,46,15,186,186,100.0
4616,46,16,264,264,100.0
4617,46,17,212,212,100.0
4618,46,18,199,199,100.0
4619,46,19,147,147,100.0
4620,46,20,179,179,100.0
4621,46,21,80,80,100.0
4622,46,22,115,115,100.0
4623,46,23,170,170,100.0
4624,46,24,282,282,100.0
4625,46,25,195,195,100.0
4626,46,26,226,226,100.0
4627,46,27,208,208,100.0
4628,46,28,175,175,100.0
4629,46,29,148,148,100.0
4630,46,30,163,163,100.0
4631,46,31,183,183,100.0
4632,46,32,79,79,100.0
4633,46,33,203,203,100.0
4634,46,34,228,228,100.0
4635,46,35,149,149,100.0
4636,46,36,210,210,100.0
4637,46,37,127,127,100.0
4638,46,38,167,167,100.0
4639,46,39,174,174,100.0
4640,46,40,205,205,100.0
4705,47,5,184,184,100.0
4710,47,10,242,242,100.0
4713,47,13,37,37,100.0
4714,47,14,0,0,0.0
4715,47,15,279,279,100.0
4718,47,18,198,198,100.0
4719,47,19,342,342,100.0
4720,47,20,228,228,100.0
4722,47,22,268,268,100.0
4723,47,23,248,248,100.0
4724,47,24,230,230,100.0
4726,47,26,290,290,100.0
4728,47,28,49,49,100.0
4730,47,30,266,266,100.0
4731,47,31,236,236,100.0
4732,47,32,305,305,100.0
4733,47,33,56,56,100.0
4734,47,34,231,231,100.0
4736,47,36,261,261,100.0
4738,47,38,237,237,100.0
4741,47,41,241,241,100.0
4742,47,42,132,132,100.0
4744,47,44,171,171,100.0
4745,47,45,254,254,100.0
4801,48,1,220,220,100.0
4802,48,2,95,95,100.0
4803,48,3,197,197,100.0
4804,48,4,220,220,100.0
4805,48,5,170,170,100.0
4806,48,6,203,203,100.0
4807,48,7,251,251,100.0
4808,48,8,114,114,100.0
4809,48,9,142,142,100.0
4810,48,10,317,317,100.0
4811,48,11,204,204,100.0
4812,48,12,249,249,100.0
4814,48,14,105,105,100.0
4816,48,16,203,203,100.0
4817,48,17,199,199,100.0
4818,48,18,125,125,100.0
4819,48,19,173,173,100.0
4820,48,20,253,253,100.0
4821,48,21,222,222,100.0
4822,48,22,200,200,100.0
4823,48,23,263,263,100.0
4824,48,24,180,180,100.0
4825,48,25,189,189,100.0
4826,48,26,79,79,100.0
4828,48,28,210,210,100.0
4829,48,29,134,134,100.0
4830,48,30,205,205,100.0
4831,48,31,202,202,100.0
4832,48,32,151,151,100.0
4833,48,33,123,123,100.0
4834,48,34,175,175,100.0
4835,48,35,102,102,100.0
4836,48,36,139,139,100.0
4837,48,37,216,216,100.0
4838,48,38,234,234,100.0
4839,48,39,168,168,100.0
4840,48,40,181,181,100.0
4841,48,41,194,194,100.0
4842,48,42,251,251,100.0
4843,48,43,222,222,100.0
4844,48,44,258,258,100.0
4845,48,45,136,136,100.0
5024,50,24,7,7,100.0
