id,ward,precinct,total,George A. Cardenas,George A. Cardenas Percent,Tammy Wendt,Tammy Wendt Percent
0126,1,26,109,74,67.89,35,32.11
1101,11,1,134,89,66.42,45,33.58
1102,11,2,5,0,0.0,5,100.0
1103,11,3,152,109,71.71,43,28.29
1104,11,4,108,82,75.93,26,24.07
1105,11,5,156,112,71.79,44,28.21
1106,11,6,186,124,66.67,62,33.33
1107,11,7,53,29,54.72,24,45.28
1108,11,8,114,67,58.77,47,41.23
1109,11,9,95,57,60.0,38,40.0
1110,11,10,93,61,65.59,32,34.41
1111,11,11,114,70,61.4,44,38.6
1114,11,14,41,28,68.29,13,31.71
1115,11,15,51,38,74.51,13,25.49
1116,11,16,76,54,71.05,22,28.95
1117,11,17,184,128,69.57,56,30.43
1118,11,18,97,68,70.1,29,29.9
1119,11,19,193,138,71.5,55,28.5
1125,11,25,168,106,63.1,62,36.9
1127,11,27,40,28,70.0,12,30.0
1130,11,30,71,47,66.2,24,33.8
1133,11,33,140,83,59.29,57,40.71
1136,11,36,46,37,80.43,9,19.57
1137,11,37,35,22,62.86,13,37.14
1138,11,38,70,56,80.0,14,20.0
1201,12,1,130,95,73.08,35,26.92
1202,12,2,72,50,69.44,22,30.56
1203,12,3,177,101,57.06,76,42.94
1204,12,4,135,82,60.74,53,39.26
1205,12,5,119,82,68.91,37,31.09
1206,12,6,126,77,61.11,49,38.89
1207,12,7,73,51,69.86,22,30.14
1208,12,8,128,89,69.53,39,30.47
1209,12,9,86,58,67.44,28,32.56
1210,12,10,101,72,71.29,29,28.71
1211,12,11,67,53,79.1,14,20.9
1212,12,12,83,66,79.52,17,20.48
1213,12,13,94,71,75.53,23,24.47
1214,12,14,77,53,68.83,24,31.17
1215,12,15,75,54,72.0,21,28.0
1216,12,16,43,30,69.77,13,30.23
1217,12,17,78,48,61.54,30,38.46
1218,12,18,51,34,66.67,17,33.33
1219,12,19,92,66,71.74,26,28.26
1220,12,20,87,70,80.46,17,19.54
1221,12,21,107,67,62.62,40,37.38
1222,12,22,75,46,61.33,29,38.67
1223,12,23,135,88,65.19,47,34.81
1301,13,1,92,71,77.17,21,22.83
1302,13,2,87,57,65.52,30,34.48
1303,13,3,41,32,78.05,9,21.95
1304,13,4,85,55,64.71,30,35.29
1305,13,5,60,40,66.67,20,33.33
1306,13,6,101,62,61.39,39,38.61
1307,13,7,45,36,80.0,9,20.0
1308,13,8,61,36,59.02,25,40.98
1309,13,9,65,48,73.85,17,26.15
1310,13,10,81,42,51.85,39,48.15
1311,13,11,102,65,63.73,37,36.27
1312,13,12,68,51,75.0,17,25.0
1313,13,13,79,57,72.15,22,27.85
1314,13,14,80,56,70.0,24,30.0
1315,13,15,84,63,75.0,21,25.0
1316,13,16,42,29,69.05,13,30.95
1317,13,17,80,54,67.5,26,32.5
1318,13,18,74,46,62.16,28,37.84
1319,13,19,63,46,73.02,17,26.98
1320,13,20,50,26,52.0,24,48.0
1321,13,21,111,65,58.56,46,41.44
1322,13,22,97,60,61.86,37,38.14
1323,13,23,63,51,80.95,12,19.05
1324,13,24,66,53,80.3,13,19.7
1325,13,25,56,43,76.79,13,23.21
1326,13,26,86,61,70.93,25,29.07
1327,13,27,77,52,67.53,25,32.47
1328,13,28,59,45,76.27,14,23.73
1329,13,29,47,34,72.34,13,27.66
1330,13,30,38,28,73.68,10,26.32
1331,13,31,107,63,58.88,44,41.12
1332,13,32,76,46,60.53,30,39.47
1333,13,33,102,65,63.73,37,36.27
1334,13,34,70,48,68.57,22,31.43
1335,13,35,64,46,71.88,18,28.13
1336,13,36,30,24,80.0,6,20.0
1337,13,37,137,75,54.74,62,45.26
1338,13,38,59,35,59.32,24,40.68
1339,13,39,71,53,74.65,18,25.35
1340,13,40,46,28,60.87,18,39.13
1341,13,41,85,65,76.47,20,23.53
1342,13,42,106,73,68.87,33,31.13
1343,13,43,85,57,67.06,28,32.94
1344,13,44,58,46,79.31,12,20.69
1345,13,45,77,49,63.64,28,36.36
1346,13,46,64,45,70.31,19,29.69
1347,13,47,84,67,79.76,17,20.24
1348,13,48,78,44,56.41,34,43.59
