id,ward,precinct,total,"Timothy W. Wright, III","Timothy W. Wright, III Percent",Judie Lyn Smith,Judie Lyn Smith Percent,Tiffany N. Brooks,Tiffany N. Brooks Percent,Jackie Marie Portman-Brown,Jackie Marie Portman-Brown Percent
0301,3,1,170,65,38.24,22,12.94,52,30.59,31,18.24
0302,3,2,264,120,45.45,29,10.98,55,20.83,60,22.73
0304,3,4,223,95,42.6,28,12.56,59,26.46,41,18.39
0305,3,5,82,26,31.71,10,12.2,25,30.49,21,25.61
0307,3,7,151,69,45.7,11,7.28,43,28.48,28,18.54
0308,3,8,100,38,38.0,11,11.0,26,26.0,25,25.0
0309,3,9,189,64,33.86,27,14.29,52,27.51,46,24.34
0310,3,10,66,23,34.85,9,13.64,17,25.76,17,25.76
0311,3,11,158,69,43.67,12,7.59,48,30.38,29,18.35
0312,3,12,244,107,43.85,22,9.02,67,27.46,48,19.67
0315,3,15,130,57,43.85,16,12.31,35,26.92,22,16.92
0316,3,16,132,36,27.27,17,12.88,61,46.21,18,13.64
0318,3,18,167,71,42.51,20,11.98,38,22.75,38,22.75
0320,3,20,174,59,33.91,14,8.05,57,32.76,44,25.29
0323,3,23,106,36,33.96,16,15.09,32,30.19,22,20.75
0324,3,24,114,47,41.23,13,11.4,36,31.58,18,15.79
0328,3,28,123,43,34.96,21,17.07,33,26.83,26,21.14
0329,3,29,119,52,43.7,11,9.24,32,26.89,24,20.17
0330,3,30,157,74,47.13,21,13.38,30,19.11,32,20.38
0331,3,31,156,72,46.15,17,10.9,40,25.64,27,17.31
0335,3,35,88,35,39.77,8,9.09,28,31.82,17,19.32
0336,3,36,60,24,40.0,7,11.67,14,23.33,15,25.0
0337,3,37,119,47,39.5,12,10.08,31,26.05,29,24.37
0338,3,38,177,94,53.11,18,10.17,35,19.77,30,16.95
0341,3,41,149,79,53.02,13,8.72,27,18.12,30,20.13
0401,4,1,259,152,58.69,46,17.76,38,14.67,23,8.88
0403,4,3,119,50,42.02,11,9.24,33,27.73,25,21.01
0404,4,4,225,91,40.44,11,4.89,76,33.78,47,20.89
0405,4,5,212,97,45.75,25,11.79,60,28.3,30,14.15
0406,4,6,163,64,39.26,19,11.66,37,22.7,43,26.38
0407,4,7,245,118,48.16,27,11.02,59,24.08,41,16.73
0408,4,8,234,103,44.02,24,10.26,55,23.5,52,22.22
0409,4,9,312,142,45.51,25,8.01,84,26.92,61,19.55
0410,4,10,290,137,47.24,18,6.21,71,24.48,64,22.07
0411,4,11,105,44,41.9,6,5.71,29,27.62,26,24.76
0412,4,12,207,106,51.21,17,8.21,44,21.26,40,19.32
0414,4,14,200,90,45.0,17,8.5,53,26.5,40,20.0
0415,4,15,222,97,43.69,24,10.81,65,29.28,36,16.22
0418,4,18,216,84,38.89,31,14.35,44,20.37,57,26.39
0419,4,19,93,41,44.09,9,9.68,27,29.03,16,17.2
0422,4,22,193,91,47.15,34,17.62,41,21.24,27,13.99
0423,4,23,258,133,51.55,62,24.03,31,12.02,32,12.4
0424,4,24,165,80,48.48,22,13.33,32,19.39,31,18.79
0426,4,26,158,82,51.9,21,13.29,28,17.72,27,17.09
0427,4,27,237,119,50.21,36,15.19,48,20.25,34,14.35
0428,4,28,146,66,45.21,19,13.01,31,21.23,30,20.55
0429,4,29,192,102,53.13,23,11.98,41,21.35,26,13.54
0430,4,30,194,86,44.33,14,7.22,57,29.38,37,19.07
0431,4,31,274,162,59.12,32,11.68,39,14.23,41,14.96
0432,4,32,222,100,45.05,21,9.46,65,29.28,36,16.22
0433,4,33,171,90,52.63,15,8.77,42,24.56,24,14.04
0434,4,34,162,87,53.7,16,9.88,26,16.05,33,20.37
0435,4,35,254,125,49.21,14,5.51,69,27.17,46,18.11
0436,4,36,261,132,50.57,18,6.9,54,20.69,57,21.84
0438,4,38,250,121,48.4,23,9.2,56,22.4,50,20.0
0501,5,1,111,46,41.44,10,9.01,29,26.13,26,23.42
0502,5,2,101,33,32.67,7,6.93,37,36.63,24,23.76
0503,5,3,173,92,53.18,53,30.64,15,8.67,13,7.51
0504,5,4,239,128,53.56,34,14.23,43,17.99,34,14.23
