ward,precinct,total,Iris Y. Chavira,Iris Y. Chavira Percent
0328,3,28,2,2,100.0
1101,11,1,114,114,100.0
1102,11,2,5,5,100.0
1103,11,3,120,120,100.0
1104,11,4,97,97,100.0
1105,11,5,119,119,100.0
1107,11,7,65,65,100.0
1108,11,8,98,98,100.0
1109,11,9,73,73,100.0
1110,11,10,73,73,100.0
1111,11,11,93,93,100.0
1117,11,17,156,156,100.0
1119,11,19,158,158,100.0
1121,11,21,138,138,100.0
1122,11,22,116,116,100.0
1124,11,24,158,158,100.0
1125,11,25,128,128,100.0
1126,11,26,126,126,100.0
1129,11,29,115,115,100.0
1131,11,31,87,87,100.0
1133,11,33,127,127,100.0
1137,11,37,0,0,0.0
1138,11,38,59,59,100.0
1201,12,1,107,107,100.0
1202,12,2,57,57,100.0
1203,12,3,136,136,100.0
1204,12,4,109,109,100.0
1205,12,5,102,102,100.0
1206,12,6,97,97,100.0
1207,12,7,59,59,100.0
1208,12,8,104,104,100.0
1209,12,9,72,72,100.0
1210,12,10,91,91,100.0
1211,12,11,53,53,100.0
1212,12,12,67,67,100.0
1213,12,13,73,73,100.0
1214,12,14,57,57,100.0
1215,12,15,61,61,100.0
1216,12,16,37,37,100.0
1217,12,17,62,62,100.0
1218,12,18,43,43,100.0
1219,12,19,74,74,100.0
1220,12,20,68,68,100.0
1221,12,21,91,91,100.0
1222,12,22,61,61,100.0
1223,12,23,112,112,100.0
1405,14,5,53,53,100.0
1406,14,6,22,22,100.0
1410,14,10,42,42,100.0
1411,14,11,22,22,100.0
1414,14,14,63,63,100.0
1415,14,15,47,47,100.0
1416,14,16,51,51,100.0
1417,14,17,31,31,100.0
1419,14,19,59,59,100.0
1420,14,20,43,43,100.0
1421,14,21,35,35,100.0
1425,14,25,25,25,100.0
1426,14,26,51,51,100.0
1429,14,29,46,46,100.0
1430,14,30,39,39,100.0
1431,14,31,37,37,100.0
1501,15,1,64,64,100.0
1504,15,4,46,46,100.0
1505,15,5,38,38,100.0
1506,15,6,45,45,100.0
1508,15,8,52,52,100.0
1509,15,9,65,65,100.0
1510,15,10,102,102,100.0
1511,15,11,63,63,100.0
1512,15,12,59,59,100.0
1513,15,13,58,58,100.0
1514,15,14,38,38,100.0
1515,15,15,50,50,100.0
1516,15,16,57,57,100.0
1519,15,19,69,69,100.0
1601,16,1,74,74,100.0
1602,16,2,22,22,100.0
1604,16,4,57,57,100.0
1606,16,6,5,5,100.0
1607,16,7,71,71,100.0
1611,16,11,50,50,100.0
1613,16,13,23,23,100.0
1617,16,17,48,48,100.0
1618,16,18,56,56,100.0
1619,16,19,60,60,100.0
1622,16,22,45,45,100.0
1623,16,23,41,41,100.0
1632,16,32,54,54,100.0
1635,16,35,50,50,100.0
1706,17,6,60,60,100.0
1707,17,7,58,58,100.0
1712,17,12,45,45,100.0
1714,17,14,33,33,100.0
1716,17,16,70,70,100.0
1725,17,25,52,52,100.0
2004,20,4,5,5,100.0
2015,20,15,56,56,100.0
2017,20,17,44,44,100.0
2020,20,20,45,45,100.0
2203,22,3,90,90,100.0
2204,22,4,44,44,100.0
2205,22,5,61,61,100.0
2206,22,6,58,58,100.0
2207,22,7,62,62,100.0
2209,22,9,55,55,100.0
2210,22,10,100,100,100.0
2211,22,11,32,32,100.0
2212,22,12,53,53,100.0
2213,22,13,55,55,100.0
2214,22,14,62,62,100.0
2215,22,15,44,44,100.0
2216,22,16,48,48,100.0
2217,22,17,82,82,100.0
2218,22,18,52,52,100.0
2219,22,19,36,36,100.0
2220,22,20,56,56,100.0
2222,22,22,43,43,100.0
2224,22,24,95,95,100.0
2225,22,25,52,52,100.0
2407,24,7,39,39,100.0
2410,24,10,4,4,100.0
2416,24,16,382,382,100.0
2439,24,39,86,86,100.0
2501,25,1,85,85,100.0
2502,25,2,124,124,100.0
2504,25,4,26,26,100.0
2505,25,5,102,102,100.0
2507,25,7,98,98,100.0
2508,25,8,116,116,100.0
2509,25,9,86,86,100.0
2511,25,11,114,114,100.0
2512,25,12,115,115,100.0
2513,25,13,141,141,100.0
2514,25,14,8,8,100.0
2515,25,15,93,93,100.0
2517,25,17,126,126,100.0
2519,25,19,101,101,100.0
2522,25,22,108,108,100.0
2523,25,23,147,147,100.0
2524,25,24,85,85,100.0
2525,25,25,90,90,100.0
2526,25,26,93,93,100.0
2527,25,27,16,16,100.0
2528,25,28,96,96,100.0
2530,25,30,83,83,100.0
2532,25,32,76,76,100.0
2819,28,19,2,2,100.0
