id,ward,precinct,total,Michael W. Frerichs,Michael W. Frerichs Percent
0101,1,1,185,185,100.0
0102,1,2,130,130,100.0
0103,1,3,195,195,100.0
0104,1,4,165,165,100.0
0105,1,5,147,147,100.0
0106,1,6,137,137,100.0
0107,1,7,139,139,100.0
0108,1,8,137,137,100.0
0109,1,9,106,106,100.0
0110,1,10,191,191,100.0
0111,1,11,195,195,100.0
0112,1,12,181,181,100.0
0113,1,13,86,86,100.0
0114,1,14,163,163,100.0
0115,1,15,143,143,100.0
0116,1,16,203,203,100.0
0117,1,17,141,141,100.0
0118,1,18,158,158,100.0
0119,1,19,234,234,100.0
0120,1,20,129,129,100.0
0121,1,21,204,204,100.0
0122,1,22,117,117,100.0
0123,1,23,252,252,100.0
0124,1,24,171,171,100.0
0125,1,25,160,160,100.0
0126,1,26,114,114,100.0
0127,1,27,193,193,100.0
0128,1,28,28,28,100.0
0129,1,29,230,230,100.0
0130,1,30,189,189,100.0
0131,1,31,129,129,100.0
0132,1,32,146,146,100.0
0133,1,33,186,186,100.0
0134,1,34,164,164,100.0
0135,1,35,164,164,100.0
0136,1,36,215,215,100.0
0137,1,37,174,174,100.0
0138,1,38,154,154,100.0
0139,1,39,126,126,100.0
0140,1,40,130,130,100.0
0141,1,41,89,89,100.0
0142,1,42,45,45,100.0
0143,1,43,136,136,100.0
0144,1,44,147,147,100.0
0201,2,1,150,150,100.0
0202,2,2,135,135,100.0
0203,2,3,182,182,100.0
0204,2,4,158,158,100.0
0205,2,5,174,174,100.0
0206,2,6,133,133,100.0
0207,2,7,118,118,100.0
0208,2,8,158,158,100.0
0209,2,9,151,151,100.0
0210,2,10,139,139,100.0
0211,2,11,186,186,100.0
0212,2,12,114,114,100.0
0213,2,13,179,179,100.0
0214,2,14,174,174,100.0
0215,2,15,145,145,100.0
0216,2,16,169,169,100.0
0217,2,17,240,240,100.0
0218,2,18,139,139,100.0
0219,2,19,121,121,100.0
0220,2,20,143,143,100.0
0221,2,21,181,181,100.0
0222,2,22,178,178,100.0
0223,2,23,134,134,100.0
0224,2,24,140,140,100.0
0225,2,25,208,208,100.0
0226,2,26,114,114,100.0
0227,2,27,110,110,100.0
0228,2,28,149,149,100.0
0229,2,29,139,139,100.0
0230,2,30,127,127,100.0
0231,2,31,202,202,100.0
0232,2,32,79,79,100.0
0233,2,33,210,210,100.0
0234,2,34,156,156,100.0
0235,2,35,180,180,100.0
0236,2,36,169,169,100.0
0237,2,37,175,175,100.0
0238,2,38,135,135,100.0
0239,2,39,75,75,100.0
0240,2,40,156,156,100.0
0241,2,41,133,133,100.0
0242,2,42,123,123,100.0
0243,2,43,165,165,100.0
0244,2,44,163,163,100.0
0245,2,45,100,100,100.0
0246,2,46,93,93,100.0
0301,3,1,176,176,100.0
0302,3,2,237,237,100.0
0303,3,3,111,111,100.0
0304,3,4,213,213,100.0
0305,3,5,80,80,100.0
0306,3,6,239,239,100.0
0307,3,7,148,148,100.0
0308,3,8,94,94,100.0
0309,3,9,173,173,100.0
0310,3,10,67,67,100.0
0311,3,11,156,156,100.0
0312,3,12,232,232,100.0
0313,3,13,221,221,100.0
0314,3,14,177,177,100.0
0315,3,15,121,121,100.0
0316,3,16,131,131,100.0
0317,3,17,178,178,100.0
0318,3,18,199,199,100.0
0319,3,19,212,212,100.0
0320,3,20,179,179,100.0
0321,3,21,216,216,100.0
0322,3,22,218,218,100.0
0323,3,23,108,108,100.0
0324,3,24,114,114,100.0
0325,3,25,323,323,100.0
0326,3,26,228,228,100.0
0327,3,27,218,218,100.0
0328,3,28,111,111,100.0
0329,3,29,115,115,100.0
0330,3,30,166,166,100.0
0331,3,31,153,153,100.0
0332,3,32,224,224,100.0
0333,3,33,202,202,100.0
0334,3,34,235,235,100.0
0335,3,35,82,82,100.0
0336,3,36,52,52,100.0
0337,3,37,121,121,100.0
0338,3,38,176,176,100.0
0339,3,39,282,282,100.0
0340,3,40,132,132,100.0
0341,3,41,169,169,100.0
0401,4,1,259,259,100.0
0402,4,2,250,250,100.0
0403,4,3,115,115,100.0
