id,ward,precinct,total,Mattie Hunter,Mattie Hunter Percent
0301,3,1,178,178,100.0
0302,3,2,223,223,100.0
0303,3,3,101,101,100.0
0305,3,5,76,76,100.0
0306,3,6,233,233,100.0
0307,3,7,138,138,100.0
0308,3,8,104,104,100.0
0309,3,9,177,177,100.0
0310,3,10,60,60,100.0
0311,3,11,97,97,100.0
0312,3,12,134,134,100.0
0313,3,13,214,214,100.0
0314,3,14,169,169,100.0
0315,3,15,125,125,100.0
0316,3,16,135,135,100.0
0317,3,17,178,178,100.0
0318,3,18,201,201,100.0
0319,3,19,193,193,100.0
0320,3,20,170,170,100.0
0321,3,21,221,221,100.0
0322,3,22,206,206,100.0
0323,3,23,105,105,100.0
0324,3,24,123,123,100.0
0325,3,25,295,295,100.0
0326,3,26,229,229,100.0
0327,3,27,82,82,100.0
0328,3,28,116,116,100.0
0329,3,29,114,114,100.0
0331,3,31,74,74,100.0
0332,3,32,224,224,100.0
0333,3,33,193,193,100.0
0334,3,34,229,229,100.0
0335,3,35,86,86,100.0
0336,3,36,57,57,100.0
0337,3,37,120,120,100.0
0338,3,38,184,184,100.0
0339,3,39,268,268,100.0
0340,3,40,133,133,100.0
0341,3,41,180,180,100.0
0402,4,2,246,246,100.0
0406,4,6,154,154,100.0
0411,4,11,32,32,100.0
0413,4,13,119,119,100.0
0414,4,14,179,179,100.0
0416,4,16,283,283,100.0
0417,4,17,224,224,100.0
0420,4,20,185,185,100.0
0421,4,21,162,162,100.0
0425,4,25,240,240,100.0
0436,4,36,147,147,100.0
0437,4,37,308,308,100.0
0438,4,38,73,73,100.0
0502,5,2,95,95,100.0
0512,5,12,57,57,100.0
0513,5,13,90,90,100.0
0516,5,16,152,152,100.0
0530,5,30,45,45,100.0
0604,6,4,38,38,100.0
0609,6,9,78,78,100.0
0615,6,15,36,36,100.0
0618,6,18,25,25,100.0
0628,6,28,23,23,100.0
0801,8,1,88,88,100.0
0802,8,2,19,19,100.0
1112,11,12,112,112,100.0
1113,11,13,106,106,100.0
1128,11,28,50,50,100.0
1131,11,31,89,89,100.0
1132,11,32,50,50,100.0
1134,11,34,49,49,100.0
1135,11,35,38,38,100.0
1502,15,2,55,55,100.0
1503,15,3,61,61,100.0
1507,15,7,40,40,100.0
1513,15,13,3,3,100.0
1514,15,14,26,26,100.0
1515,15,15,1,1,100.0
1517,15,17,68,68,100.0
1518,15,18,46,46,100.0
1520,15,20,60,60,100.0
1521,15,21,49,49,100.0
1522,15,22,56,56,100.0
1523,15,23,79,79,100.0
1524,15,24,40,40,100.0
1602,16,2,72,72,100.0
1603,16,3,59,59,100.0
1604,16,4,64,64,100.0
1605,16,5,52,52,100.0
1606,16,6,67,67,100.0
1607,16,7,69,69,100.0
1608,16,8,40,40,100.0
1609,16,9,65,65,100.0
1610,16,10,75,75,100.0
1611,16,11,27,27,100.0
1612,16,12,42,42,100.0
1614,16,14,49,49,100.0
1615,16,15,67,67,100.0
1617,16,17,28,28,100.0
1618,16,18,67,67,100.0
1619,16,19,62,62,100.0
1620,16,20,56,56,100.0
1621,16,21,48,48,100.0
1622,16,22,49,49,100.0
1623,16,23,7,7,100.0
1624,16,24,29,29,100.0
1625,16,25,81,81,100.0
1626,16,26,49,49,100.0
1627,16,27,34,34,100.0
1628,16,28,68,68,100.0
1629,16,29,3,3,100.0
1630,16,30,27,27,100.0
1631,16,31,56,56,100.0
1633,16,33,48,48,100.0
1634,16,34,63,63,100.0
1636,16,36,38,38,100.0
1706,17,6,64,64,100.0
1708,17,8,64,64,100.0
1713,17,13,0,0,0.0
1716,17,16,6,6,100.0
1725,17,25,66,66,100.0
1736,17,36,11,11,100.0
2001,20,1,131,131,100.0
2002,20,2,21,21,100.0
2003,20,3,114,114,100.0
2004,20,4,35,35,100.0
2005,20,5,116,116,100.0
2006,20,6,30,30,100.0
2007,20,7,94,94,100.0
2008,20,8,84,84,100.0
2009,20,9,177,177,100.0
2010,20,10,61,61,100.0
2011,20,11,109,109,100.0
2012,20,12,58,58,100.0
2013,20,13,99,99,100.0
2014,20,14,66,66,100.0
2015,20,15,57,57,100.0
2016,20,16,141,141,100.0
2017,20,17,49,49,100.0
2018,20,18,72,72,100.0
2019,20,19,80,80,100.0
2020,20,20,41,41,100.0
2021,20,21,73,73,100.0
2023,20,23,77,77,100.0
2024,20,24,95,95,100.0
2025,20,25,79,79,100.0
2027,20,27,70,70,100.0
2028,20,28,59,59,100.0
2029,20,29,124,124,100.0
2030,20,30,53,53,100.0
2031,20,31,125,125,100.0
2032,20,32,68,68,100.0
2033,20,33,65,65,100.0
2035,20,35,31,31,100.0
2036,20,36,36,36,100.0
2037,20,37,30,30,100.0
2038,20,38,24,24,100.0
2039,20,39,5,5,100.0
2514,25,14,0,0,0.0
2521,25,21,279,279,100.0
2527,25,27,57,57,100.0
4209,42,9,136,136,100.0
4210,42,10,208,208,100.0
4212,42,12,46,46,100.0
4214,42,14,145,145,100.0
4217,42,17,118,118,100.0
4220,42,20,112,112,100.0
4225,42,25,0,0,0.0
4227,42,27,121,121,100.0
4232,42,32,109,109,100.0
4233,42,33,189,189,100.0
4238,42,38,72,72,100.0
4239,42,39,131,131,100.0
4241,42,41,87,87,100.0
4242,42,42,154,154,100.0
