id,ward,precinct,total,Cristina Pacione-Zayas,Cristina Pacione-Zayas Percent
0107,1,7,131,131,100.0
0109,1,9,106,106,100.0
0113,1,13,81,81,100.0
0116,1,16,200,200,100.0
0119,1,19,232,232,100.0
0123,1,23,241,241,100.0
0128,1,28,28,28,100.0
0134,1,34,149,149,100.0
0141,1,41,82,82,100.0
0142,1,42,43,43,100.0
0143,1,43,131,131,100.0
2607,26,7,84,84,100.0
2634,26,34,119,119,100.0
3001,30,1,150,150,100.0
3002,30,2,14,14,100.0
3003,30,3,131,131,100.0
3004,30,4,103,103,100.0
3007,30,7,136,136,100.0
3008,30,8,173,173,100.0
3009,30,9,83,83,100.0
3012,30,12,24,24,100.0
3017,30,17,39,39,100.0
3018,30,18,167,167,100.0
3019,30,19,15,15,100.0
3020,30,20,134,134,100.0
3022,30,22,196,196,100.0
3023,30,23,123,123,100.0
3024,30,24,205,205,100.0
3025,30,25,194,194,100.0
3026,30,26,72,72,100.0
3027,30,27,82,82,100.0
3028,30,28,81,81,100.0
3031,30,31,59,59,100.0
3032,30,32,120,120,100.0
3101,31,1,46,46,100.0
3102,31,2,42,42,100.0
3103,31,3,30,30,100.0
3105,31,5,84,84,100.0
3106,31,6,51,51,100.0
3107,31,7,152,152,100.0
3108,31,8,48,48,100.0
3109,31,9,59,59,100.0
3110,31,10,81,81,100.0
3111,31,11,59,59,100.0
3112,31,12,66,66,100.0
3113,31,13,72,72,100.0
3114,31,14,63,63,100.0
3115,31,15,53,53,100.0
3117,31,17,56,56,100.0
3118,31,18,73,73,100.0
3119,31,19,55,55,100.0
3120,31,20,56,56,100.0
3121,31,21,39,39,100.0
3123,31,23,76,76,100.0
3124,31,24,78,78,100.0
3125,31,25,50,50,100.0
3126,31,26,82,82,100.0
3127,31,27,66,66,100.0
3128,31,28,32,32,100.0
3129,31,29,57,57,100.0
3130,31,30,52,52,100.0
3131,31,31,48,48,100.0
3132,31,32,27,27,100.0
3133,31,33,54,54,100.0
3134,31,34,87,87,100.0
3135,31,35,64,64,100.0
3136,31,36,69,69,100.0
3137,31,37,49,49,100.0
3138,31,38,34,34,100.0
3140,31,40,73,73,100.0
3141,31,41,57,57,100.0
3201,32,1,177,177,100.0
3203,32,3,191,191,100.0
3204,32,4,66,66,100.0
3205,32,5,153,153,100.0
3209,32,9,141,141,100.0
3210,32,10,20,20,100.0
3211,32,11,168,168,100.0
3212,32,12,135,135,100.0
3213,32,13,151,151,100.0
3214,32,14,196,196,100.0
3216,32,16,150,150,100.0
3217,32,17,179,179,100.0
3218,32,18,92,92,100.0
3219,32,19,130,130,100.0
3220,32,20,177,177,100.0
3222,32,22,258,258,100.0
3224,32,24,118,118,100.0
3225,32,25,7,7,100.0
3226,32,26,220,220,100.0
3227,32,27,121,121,100.0
3228,32,28,184,184,100.0
3229,32,29,148,148,100.0
3230,32,30,122,122,100.0
3231,32,31,127,127,100.0
3232,32,32,64,64,100.0
3233,32,33,2,2,100.0
3234,32,34,159,159,100.0
3237,32,37,160,160,100.0
3238,32,38,147,147,100.0
3240,32,40,0,0,0.0
3241,32,41,14,14,100.0
3242,32,42,68,68,100.0
3243,32,43,220,220,100.0
3301,33,1,187,187,100.0
3302,33,2,208,208,100.0
3303,33,3,257,257,100.0
3304,33,4,225,225,100.0
3305,33,5,139,139,100.0
3306,33,6,131,131,100.0
3307,33,7,200,200,100.0
3308,33,8,135,135,100.0
3309,33,9,198,198,100.0
3310,33,10,137,137,100.0
3311,33,11,200,200,100.0
3312,33,12,163,163,100.0
3313,33,13,165,165,100.0
3314,33,14,95,95,100.0
3315,33,15,208,208,100.0
3316,33,16,235,235,100.0
3317,33,17,192,192,100.0
3318,33,18,230,230,100.0
3319,33,19,171,171,100.0
3320,33,20,254,254,100.0
3321,33,21,200,200,100.0
3322,33,22,166,166,100.0
3323,33,23,214,214,100.0
3325,33,25,218,218,100.0
3326,33,26,125,125,100.0
3327,33,27,174,174,100.0
3328,33,28,165,165,100.0
3501,35,1,173,173,100.0
3502,35,2,16,16,100.0
3504,35,4,157,157,100.0
3505,35,5,136,136,100.0
3506,35,6,141,141,100.0
3509,35,9,101,101,100.0
3510,35,10,189,189,100.0
3511,35,11,192,192,100.0
3515,35,15,189,189,100.0
3517,35,17,190,190,100.0
3520,35,20,128,128,100.0
3522,35,22,168,168,100.0
3523,35,23,168,168,100.0
3524,35,24,126,126,100.0
3525,35,25,151,151,100.0
3526,35,26,114,114,100.0
3527,35,27,138,138,100.0
3528,35,28,174,174,100.0
3529,35,29,106,106,100.0
3530,35,30,103,103,100.0
3531,35,31,137,137,100.0
3616,36,16,36,36,100.0
3620,36,20,66,66,100.0
3912,39,12,138,138,100.0
3928,39,28,19,19,100.0
4501,45,1,8,8,100.0
4502,45,2,101,101,100.0
4508,45,8,8,8,100.0
4509,45,9,116,116,100.0
4510,45,10,38,38,100.0
4746,47,46,26,26,100.0
4748,47,48,22,22,100.0
