id,ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent
2441,24,41,67,67,100.0
2801,28,1,44,44,100.0
2812,28,12,72,72,100.0
2814,28,14,64,64,100.0
2831,28,31,115,115,100.0
2838,28,38,0,0,0.0
2839,28,39,46,46,100.0
2840,28,40,30,30,100.0
2841,28,41,66,66,100.0
2842,28,42,63,63,100.0
2843,28,43,100,100,100.0
2902,29,2,141,141,100.0
2903,29,3,116,116,100.0
2906,29,6,79,79,100.0
2908,29,8,60,60,100.0
2911,29,11,83,83,100.0
2914,29,14,117,117,100.0
2916,29,16,94,94,100.0
2918,29,18,105,105,100.0
2919,29,19,142,142,100.0
2920,29,20,105,105,100.0
2921,29,21,114,114,100.0
2922,29,22,105,105,100.0
2928,29,28,143,143,100.0
2934,29,34,80,80,100.0
2942,29,42,119,119,100.0
3701,37,1,105,105,100.0
3705,37,5,13,13,100.0
3706,37,6,105,105,100.0
3709,37,9,78,78,100.0
3710,37,10,112,112,100.0
3711,37,11,53,53,100.0
3714,37,14,104,104,100.0
3715,37,15,90,90,100.0
3716,37,16,118,118,100.0
3717,37,17,64,64,100.0
3718,37,18,14,14,100.0
3720,37,20,63,63,100.0
3722,37,22,46,46,100.0
3723,37,23,94,94,100.0
3724,37,24,108,108,100.0
3725,37,25,83,83,100.0
3726,37,26,137,137,100.0
3727,37,27,92,92,100.0
3729,37,29,6,6,100.0
3730,37,30,74,74,100.0
3731,37,31,110,110,100.0
3732,37,32,47,47,100.0
3733,37,33,118,118,100.0
3734,37,34,90,90,100.0
3735,37,35,81,81,100.0
3736,37,36,75,75,100.0
3738,37,38,140,140,100.0
3739,37,39,77,77,100.0
3740,37,40,108,108,100.0
3741,37,41,121,121,100.0
