id,ward,precinct,total,Ann M. Williams,Ann M. Williams Percent
0224,2,24,137,137,100.0
0226,2,26,53,53,100.0
3207,32,7,173,173,100.0
3208,32,8,168,168,100.0
3210,32,10,138,138,100.0
3215,32,15,159,159,100.0
3218,32,18,40,40,100.0
3219,32,19,18,18,100.0
3221,32,21,198,198,100.0
3223,32,23,154,154,100.0
3225,32,25,173,173,100.0
3230,32,30,1,1,100.0
3239,32,39,153,153,100.0
3240,32,40,165,165,100.0
3241,32,41,152,152,100.0
3242,32,42,67,67,100.0
3308,33,8,166,166,100.0
3324,33,24,323,323,100.0
4302,43,2,182,182,100.0
4306,43,6,108,108,100.0
4316,43,16,187,187,100.0
4318,43,18,178,178,100.0
4321,43,21,103,103,100.0
4322,43,22,74,74,100.0
4331,43,31,165,165,100.0
4339,43,39,41,41,100.0
4346,43,46,87,87,100.0
4402,44,2,163,163,100.0
4409,44,9,151,151,100.0
4410,44,10,162,162,100.0
4411,44,11,167,167,100.0
4413,44,13,138,138,100.0
4414,44,14,163,163,100.0
4416,44,16,133,133,100.0
4420,44,20,80,80,100.0
4422,44,22,159,159,100.0
4426,44,26,214,214,100.0
4427,44,27,190,190,100.0
4429,44,29,199,199,100.0
4430,44,30,220,220,100.0
4431,44,31,2,2,100.0
4432,44,32,64,64,100.0
4433,44,33,207,207,100.0
4434,44,34,121,121,100.0
4436,44,36,173,173,100.0
4437,44,37,85,85,100.0
4438,44,38,157,157,100.0
4439,44,39,188,188,100.0
4440,44,40,162,162,100.0
4603,46,3,271,271,100.0
4607,46,7,249,249,100.0
4610,46,10,68,68,100.0
4611,46,11,76,76,100.0
4613,46,13,218,218,100.0
4615,46,15,193,193,100.0
4617,46,17,215,215,100.0
4618,46,18,203,203,100.0
4619,46,19,158,158,100.0
4624,46,24,286,286,100.0
4626,46,26,102,102,100.0
4628,46,28,191,191,100.0
4629,46,29,137,137,100.0
4630,46,30,166,166,100.0
4631,46,31,194,194,100.0
4633,46,33,216,216,100.0
4635,46,35,55,55,100.0
4636,46,36,211,211,100.0
4638,46,38,24,24,100.0
4639,46,39,187,187,100.0
4701,47,1,155,155,100.0
4702,47,2,195,195,100.0
4703,47,3,208,208,100.0
4704,47,4,239,239,100.0
4706,47,6,235,235,100.0
4707,47,7,173,173,100.0
4708,47,8,228,228,100.0
4709,47,9,165,165,100.0
4711,47,11,197,197,100.0
4712,47,12,221,221,100.0
4713,47,13,263,263,100.0
4714,47,14,203,203,100.0
4716,47,16,195,195,100.0
4717,47,17,236,236,100.0
4721,47,21,257,257,100.0
4724,47,24,7,7,100.0
4725,47,25,137,137,100.0
4727,47,27,228,228,100.0
4728,47,28,20,20,100.0
4729,47,29,234,234,100.0
4733,47,33,191,191,100.0
4735,47,35,141,141,100.0
4740,47,40,189,189,100.0
4743,47,43,182,182,100.0
4746,47,46,77,77,100.0
4747,47,47,234,234,100.0
