id,ward,precinct,total,Angie Guerrero-Cuellar,Angie Guerrero-Cuellar Percent
1301,13,1,87,87,100.0
1302,13,2,76,76,100.0
1303,13,3,40,40,100.0
1304,13,4,81,81,100.0
1305,13,5,60,60,100.0
1306,13,6,95,95,100.0
1307,13,7,43,43,100.0
1308,13,8,58,58,100.0
1309,13,9,58,58,100.0
1310,13,10,72,72,100.0
1311,13,11,94,94,100.0
1312,13,12,62,62,100.0
1313,13,13,77,77,100.0
1314,13,14,78,78,100.0
1315,13,15,82,82,100.0
1316,13,16,41,41,100.0
1317,13,17,70,70,100.0
1318,13,18,61,61,100.0
1319,13,19,56,56,100.0
1320,13,20,54,54,100.0
1321,13,21,101,101,100.0
1322,13,22,90,90,100.0
1323,13,23,58,58,100.0
1324,13,24,64,64,100.0
1325,13,25,57,57,100.0
1326,13,26,79,79,100.0
1327,13,27,71,71,100.0
1328,13,28,56,56,100.0
1329,13,29,51,51,100.0
1330,13,30,33,33,100.0
1331,13,31,92,92,100.0
1332,13,32,64,64,100.0
1333,13,33,91,91,100.0
1334,13,34,67,67,100.0
1335,13,35,61,61,100.0
1336,13,36,32,32,100.0
1337,13,37,122,122,100.0
1338,13,38,56,56,100.0
1339,13,39,79,79,100.0
1340,13,40,42,42,100.0
1341,13,41,76,76,100.0
1342,13,42,93,93,100.0
1343,13,43,83,83,100.0
1344,13,44,56,56,100.0
1345,13,45,66,66,100.0
1346,13,46,58,58,100.0
1347,13,47,76,76,100.0
1348,13,48,70,70,100.0
1418,14,18,22,22,100.0
1843,18,43,12,12,100.0
2301,23,1,78,78,100.0
2302,23,2,89,89,100.0
2303,23,3,10,10,100.0
2304,23,4,70,70,100.0
2305,23,5,56,56,100.0
2306,23,6,46,46,100.0
2307,23,7,44,44,100.0
2308,23,8,81,81,100.0
2309,23,9,39,39,100.0
2310,23,10,75,75,100.0
2311,23,11,64,64,100.0
2312,23,12,78,78,100.0
2314,23,14,7,7,100.0
2318,23,18,66,66,100.0
2322,23,22,44,44,100.0
2323,23,23,94,94,100.0
2324,23,24,28,28,100.0
2325,23,25,9,9,100.0
2326,23,26,50,50,100.0
2328,23,28,65,65,100.0
2329,23,29,63,63,100.0
2330,23,30,65,65,100.0
2332,23,32,59,59,100.0
2333,23,33,58,58,100.0
2335,23,35,46,46,100.0
2336,23,36,30,30,100.0
2337,23,37,31,31,100.0
2338,23,38,68,68,100.0
2339,23,39,80,80,100.0
