ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent,Jasimone Ward,Jasimone Ward Percent
0905,9,5,64,35,54.69,29,45.31
0910,9,10,88,70,79.55,18,20.45
0917,9,17,39,30,76.92,9,23.08
0920,9,20,118,95,80.51,23,19.49
0921,9,21,104,85,81.73,19,18.27
0927,9,27,119,99,83.19,20,16.81
0929,9,29,20,16,80.0,4,20.0
0930,9,30,84,72,85.71,12,14.29
1920,19,20,81,62,76.54,19,23.46
1947,19,47,299,227,75.92,72,24.08
1949,19,49,160,130,81.25,30,18.75
2105,21,5,168,137,81.55,31,18.45
2106,21,6,98,83,84.69,15,15.31
2110,21,10,131,111,84.73,20,15.27
2112,21,12,103,80,77.67,23,22.33
2117,21,17,59,41,69.49,18,30.51
2119,21,19,156,132,84.62,24,15.38
2121,21,21,128,103,80.47,25,19.53
2122,21,22,89,74,83.15,15,16.85
2123,21,23,138,116,84.06,22,15.94
2124,21,24,161,139,86.34,22,13.66
2125,21,25,146,126,86.3,20,13.7
2127,21,27,143,116,81.12,27,18.88
2133,21,33,21,16,76.19,5,23.81
2134,21,34,53,42,79.25,11,20.75
2135,21,35,164,146,89.02,18,10.98
2136,21,36,60,43,71.67,17,28.33
2137,21,37,115,95,82.61,20,17.39
2138,21,38,102,78,76.47,24,23.53
2139,21,39,81,64,79.01,17,20.99
2140,21,40,128,102,79.69,26,20.31
2141,21,41,161,135,83.85,26,16.15
2142,21,42,68,46,67.65,22,32.35
2144,21,44,72,60,83.33,12,16.67
2145,21,45,122,100,81.97,22,18.03
2146,21,46,141,109,77.3,32,22.7
2148,21,48,67,56,83.58,11,16.42
2149,21,49,166,135,81.33,31,18.67
2150,21,50,93,71,76.34,22,23.66
3401,34,1,178,145,81.46,33,18.54
3402,34,2,137,107,78.1,30,21.9
3404,34,4,88,66,75.0,22,25.0
3405,34,5,105,75,71.43,30,28.57
3407,34,7,175,146,83.43,29,16.57
3408,34,8,91,68,74.73,23,25.27
3410,34,10,157,120,76.43,37,23.57
3412,34,12,182,142,78.02,40,21.98
3413,34,13,121,98,80.99,23,19.01
3415,34,15,90,68,75.56,22,24.44
3417,34,17,180,145,80.56,35,19.44
3418,34,18,70,55,78.57,15,21.43
3419,34,19,132,108,81.82,24,18.18
3420,34,20,196,156,79.59,40,20.41
3421,34,21,221,172,77.83,49,22.17
3422,34,22,146,114,78.08,32,21.92
3423,34,23,61,48,78.69,13,21.31
3424,34,24,98,81,82.65,17,17.35
3425,34,25,222,191,86.04,31,13.96
3427,34,27,79,59,74.68,20,25.32
3428,34,28,51,36,70.59,15,29.41
3429,34,29,105,76,72.38,29,27.62
3430,34,30,188,149,79.26,39,20.74
3432,34,32,119,87,73.11,32,26.89
3434,34,34,159,132,83.02,27,16.98
3435,34,35,172,143,83.14,29,16.86
3436,34,36,132,98,74.24,34,25.76
3439,34,39,64,42,65.63,22,34.38
3441,34,41,54,40,74.07,14,25.93
3442,34,42,97,65,67.01,32,32.99
3443,34,43,156,133,85.26,23,14.74
3444,34,44,146,127,86.99,19,13.01
3445,34,45,144,127,88.19,17,11.81
3446,34,46,116,86,74.14,30,25.86
3447,34,47,102,86,84.31,16,15.69
3448,34,48,175,142,81.14,33,18.86
3449,34,49,136,116,85.29,20,14.71
3452,34,52,125,105,84.0,20,16.0
