ward,precinct,total,Darren Bailey & Stephanie Trussell,Darren Bailey & Stephanie Trussell Percent,Paul Schimpf & Carolyn Schofield,Paul Schimpf & Carolyn Schofield Percent,Richard C. Irvin & Avery Bourne,Richard C. Irvin & Avery Bourne Percent,Gary Rabine & Aaron Del Mar,Gary Rabine & Aaron Del Mar Percent,Max Solomon & Latasha H. Fields,Max Solomon & Latasha H. Fields Percent,Jesse Sullivan & Kathleen Murphy,Jesse Sullivan & Kathleen Murphy Percent
0101,1,1,15,7,46.67,0,0.0,3,20.0,1,6.67,0,0.0,4,26.67
0102,1,2,12,1,8.33,3,25.0,5,41.67,0,0.0,0,0.0,3,25.0
0103,1,3,15,4,26.67,5,33.33,3,20.0,0,0.0,0,0.0,3,20.0
0104,1,4,20,4,20.0,1,5.0,10,50.0,3,15.0,0,0.0,2,10.0
0105,1,5,11,1,9.09,0,0.0,10,90.91,0,0.0,0,0.0,0,0.0
0106,1,6,13,1,7.69,2,15.38,7,53.85,2,15.38,0,0.0,1,7.69
0107,1,7,9,2,22.22,0,0.0,4,44.44,1,11.11,0,0.0,2,22.22
0108,1,8,15,4,26.67,2,13.33,7,46.67,1,6.67,0,0.0,1,6.67
0109,1,9,15,3,20.0,0,0.0,4,26.67,3,20.0,0,0.0,5,33.33
0110,1,10,13,3,23.08,0,0.0,9,69.23,1,7.69,0,0.0,0,0.0
0111,1,11,13,2,15.38,0,0.0,9,69.23,0,0.0,1,7.69,1,7.69
0112,1,12,21,10,47.62,2,9.52,3,14.29,1,4.76,1,4.76,4,19.05
0113,1,13,7,0,0.0,0,0.0,4,57.14,0,0.0,0,0.0,3,42.86
0114,1,14,19,4,21.05,1,5.26,10,52.63,2,10.53,1,5.26,1,5.26
0115,1,15,8,2,25.0,0,0.0,5,62.5,1,12.5,0,0.0,0,0.0
0116,1,16,10,3,30.0,0,0.0,2,20.0,1,10.0,0,0.0,4,40.0
0117,1,17,10,6,60.0,0,0.0,1,10.0,2,20.0,0,0.0,1,10.0
0118,1,18,8,4,50.0,0,0.0,1,12.5,0,0.0,0,0.0,3,37.5
0119,1,19,16,8,50.0,0,0.0,4,25.0,1,6.25,0,0.0,3,18.75
0120,1,20,11,5,45.45,0,0.0,2,18.18,1,9.09,0,0.0,3,27.27
0121,1,21,15,3,20.0,0,0.0,9,60.0,1,6.67,1,6.67,1,6.67
0122,1,22,9,2,22.22,0,0.0,5,55.56,1,11.11,0,0.0,1,11.11
0123,1,23,5,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0
0124,1,24,7,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,1,14.29
0125,1,25,4,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0
0126,1,26,8,5,62.5,0,0.0,2,25.0,0,0.0,1,12.5,0,0.0
0127,1,27,13,7,53.85,1,7.69,4,30.77,0,0.0,0,0.0,1,7.69
0128,1,28,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
0129,1,29,14,4,28.57,0,0.0,7,50.0,0,0.0,1,7.14,2,14.29
0130,1,30,13,3,23.08,0,0.0,4,30.77,1,7.69,0,0.0,5,38.46
0131,1,31,10,2,20.0,0,0.0,3,30.0,1,10.0,1,10.0,3,30.0
0132,1,32,16,5,31.25,1,6.25,5,31.25,2,12.5,1,6.25,2,12.5
0133,1,33,24,6,25.0,2,8.33,10,41.67,1,4.17,1,4.17,4,16.67
0134,1,34,6,1,16.67,0,0.0,3,50.0,1,16.67,0,0.0,1,16.67
0135,1,35,15,3,20.0,1,6.67,9,60.0,0,0.0,0,0.0,2,13.33
0136,1,36,17,4,23.53,2,11.76,9,52.94,0,0.0,0,0.0,2,11.76
0137,1,37,34,12,35.29,0,0.0,12,35.29,3,8.82,0,0.0,7,20.59
0138,1,38,11,0,0.0,0,0.0,7,63.64,1,9.09,0,0.0,3,27.27
0139,1,39,13,4,30.77,0,0.0,7,53.85,0,0.0,0,0.0,2,15.38
0140,1,40,26,10,38.46,0,0.0,10,38.46,3,11.54,0,0.0,3,11.54
0141,1,41,9,5,55.56,0,0.0,2,22.22,0,0.0,0,0.0,2,22.22
0142,1,42,5,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0
0143,1,43,8,6,75.0,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5
0144,1,44,9,2,22.22,0,0.0,6,66.67,0,0.0,1,11.11,0,0.0
0201,2,1,12,6,50.0,0,0.0,3,25.0,0,0.0,0,0.0,3,25.0
0202,2,2,31,14,45.16,3,9.68,10,32.26,0,0.0,1,3.23,3,9.68
0203,2,3,12,3,25.0,1,8.33,8,66.67,0,0.0,0,0.0,0,0.0
0204,2,4,9,3,33.33,1,11.11,5,55.56,0,0.0,0,0.0,0,0.0
0205,2,5,19,7,36.84,0,0.0,8,42.11,0,0.0,0,0.0,4,21.05
0206,2,6,14,2,14.29,3,21.43,5,35.71,2,14.29,0,0.0,2,14.29
0207,2,7,14,6,42.86,2,14.29,1,7.14,2,14.29,2,14.29,1,7.14
0208,2,8,15,2,13.33,0,0.0,11,73.33,1,6.67,0,0.0,1,6.67
0209,2,9,23,10,43.48,2,8.7,5,21.74,0,0.0,1,4.35,5,21.74
0210,2,10,48,9,18.75,6,12.5,21,43.75,4,8.33,0,0.0,8,16.67
0211,2,11,42,19,45.24,3,7.14,16,38.1,0,0.0,1,2.38,3,7.14
0212,2,12,23,6,26.09,0,0.0,12,52.17,1,4.35,0,0.0,4,17.39
0213,2,13,40,18,45.0,6,15.0,8,20.0,2,5.0,0,0.0,6,15.0
0214,2,14,20,11,55.0,1,5.0,5,25.0,2,10.0,0,0.0,1,5.0
0215,2,15,24,9,37.5,0,0.0,7,29.17,2,8.33,2,8.33,4,16.67
0216,2,16,10,6,60.0,0,0.0,4,40.0,0,0.0,0,0.0,0,0.0
0217,2,17,14,6,42.86,1,7.14,4,28.57,1,7.14,1,7.14,1,7.14
0218,2,18,27,4,14.81,3,11.11,15,55.56,1,3.7,0,0.0,4,14.81
0219,2,19,34,16,47.06,0,0.0,16,47.06,0,0.0,0,0.0,2,5.88
0220,2,20,26,6,23.08,2,7.69,13,50.0,1,3.85,0,0.0,4,15.38
0221,2,21,16,4,25.0,1,6.25,4,25.0,2,12.5,0,0.0,5,31.25
0222,2,22,46,12,26.09,3,6.52,22,47.83,1,2.17,1,2.17,7,15.22
0223,2,23,26,10,38.46,3,11.54,12,46.15,0,0.0,0,0.0,1,3.85
0224,2,24,24,12,50.0,0,0.0,10,41.67,0,0.0,0,0.0,2,8.33
0225,2,25,10,2,20.0,2,20.0,4,40.0,0,0.0,0,0.0,2,20.0
0226,2,26,27,5,18.52,0,0.0,21,77.78,0,0.0,0,0.0,1,3.7
0227,2,27,48,21,43.75,3,6.25,17,35.42,0,0.0,1,2.08,6,12.5
0228,2,28,27,11,40.74,2,7.41,11,40.74,0,0.0,0,0.0,3,11.11
0229,2,29,31,8,25.81,2,6.45,13,41.94,1,3.23,0,0.0,7,22.58
