ward,precinct,total,Joel Barry Pollak,Joel Barry Pollak Percent,Janice D. Schakowsky,Janice D. Schakowsky Percent,Simon Ribeiro,Simon Ribeiro Percent
4003,40,3,276,29,10.51,235,85.14,12,4.35
4004,40,4,275,35,12.73,229,83.27,11,4.0
4007,40,7,301,29,9.63,254,84.39,18,5.98
4008,40,8,86,22,25.58,61,70.93,3,3.49
4009,40,9,255,47,18.43,190,74.51,18,7.06
4011,40,11,239,42,17.57,190,79.5,7,2.93
4012,40,12,198,15,7.58,177,89.39,6,3.03
4013,40,13,347,38,10.95,294,84.73,15,4.32
4016,40,16,277,73,26.35,196,70.76,8,2.89
4018,40,18,299,48,16.05,240,80.27,11,3.68
4022,40,22,184,33,17.93,148,80.43,3,1.63
4026,40,26,324,35,10.8,272,83.95,17,5.25
4027,40,27,234,26,11.11,198,84.62,10,4.27
4028,40,28,325,37,11.38,282,86.77,6,1.85
4033,40,33,282,38,13.48,230,81.56,14,4.96
4035,40,35,290,77,26.55,208,71.72,5,1.72
4037,40,37,219,37,16.89,176,80.37,6,2.74
4039,40,39,207,46,22.22,155,74.88,6,2.9
4041,40,41,298,39,13.09,246,82.55,13,4.36
4042,40,42,319,59,18.5,251,78.68,9,2.82
4043,40,43,320,41,12.81,259,80.94,20,6.25
4046,40,46,359,68,18.94,279,77.72,12,3.34
4047,40,47,280,24,8.57,245,87.5,11,3.93
4101,41,1,412,207,50.24,188,45.63,17,4.13
4102,41,2,431,206,47.8,219,50.81,6,1.39
4104,41,4,408,201,49.26,199,48.77,8,1.96
4105,41,5,474,199,41.98,263,55.49,12,2.53
4107,41,7,448,195,43.53,244,54.46,9,2.01
4108,41,8,387,184,47.55,190,49.1,13,3.36
4111,41,11,384,181,47.14,190,49.48,13,3.39
4113,41,13,220,98,44.55,115,52.27,7,3.18
4115,41,15,437,198,45.31,229,52.4,10,2.29
4117,41,17,390,154,39.49,227,58.21,9,2.31
4118,41,18,327,136,41.59,177,54.13,14,4.28
4120,41,20,409,190,46.45,206,50.37,13,3.18
4125,41,25,174,56,32.18,112,64.37,6,3.45
4126,41,26,172,102,59.3,67,38.95,3,1.74
4127,41,27,132,55,41.67,73,55.3,4,3.03
4128,41,28,337,106,31.45,216,64.09,15,4.45
4129,41,29,197,61,30.96,132,67.01,4,2.03
4131,41,31,414,155,37.44,251,60.63,8,1.93
4132,41,32,249,132,53.01,113,45.38,4,1.61
4133,41,33,278,125,44.96,145,52.16,8,2.88
4134,41,34,324,158,48.77,160,49.38,6,1.85
4136,41,36,408,171,41.91,226,55.39,11,2.7
4137,41,37,443,224,50.56,210,47.4,9,2.03
4140,41,40,444,225,50.68,205,46.17,14,3.15
4141,41,41,396,168,42.42,216,54.55,12,3.03
4142,41,42,448,215,47.99,225,50.22,8,1.79
4143,41,43,369,154,41.73,209,56.64,6,1.63
4145,41,45,381,124,32.55,245,64.3,12,3.15
4148,41,48,209,75,35.89,126,60.29,8,3.83
4149,41,49,445,228,51.24,204,45.84,13,2.92
4152,41,52,453,197,43.49,234,51.66,22,4.86
4155,41,55,365,187,51.23,168,46.03,10,2.74
4156,41,56,472,223,47.25,243,51.48,6,1.27
4403,44,3,347,69,19.88,272,78.39,6,1.73
4404,44,4,315,65,20.63,247,78.41,3,0.95
4407,44,7,365,114,31.23,243,66.58,8,2.19
4418,44,18,7,3,42.86,3,42.86,1,14.29
4435,44,35,258,54,20.93,201,77.91,3,1.16
4448,44,48,260,67,25.77,189,72.69,4,1.54
4449,44,49,507,115,22.68,384,75.74,8,1.58
4601,46,1,517,97,18.76,401,77.56,19,3.68
4602,46,2,345,43,12.46,287,83.19,15,4.35
4604,46,4,316,38,12.03,269,85.13,9,2.85
4606,46,6,369,46,12.47,308,83.47,15,4.07
4607,46,7,243,34,13.99,206,84.77,3,1.23
4608,46,8,354,41,11.58,298,84.18,15,4.24
4609,46,9,312,52,16.67,244,78.21,16,5.13
4610,46,10,289,52,17.99,222,76.82,15,5.19
4611,46,11,352,67,19.03,279,79.26,6,1.7
4612,46,12,383,44,11.49,321,83.81,18,4.7
4614,46,14,285,20,7.02,252,88.42,13,4.56
4615,46,15,404,94,23.27,295,73.02,15,3.71
4616,46,16,310,51,16.45,245,79.03,14,4.52
4619,46,19,391,40,10.23,333,85.17,18,4.6
4620,46,20,243,38,15.64,201,82.72,4,1.65
4621,46,21,163,27,16.56,131,80.37,5,3.07
4622,46,22,267,49,18.35,207,77.53,11,4.12
4623,46,23,276,34,12.32,237,85.87,5,1.81
4625,46,25,448,121,27.01,314,70.09,13,2.9
4626,46,26,334,37,11.08,284,85.03,13,3.89
4627,46,27,372,100,26.88,262,70.43,10,2.69
4628,46,28,405,119,29.38,281,69.38,5,1.23
4630,46,30,355,83,23.38,264,74.37,8,2.25
4632,46,32,243,43,17.7,189,77.78,11,4.53
4633,46,33,383,70,18.28,303,79.11,10,2.61
4634,46,34,344,40,11.63,297,86.34,7,2.03
4635,46,35,412,80,19.42,307,74.51,25,6.07
4638,46,38,269,58,21.56,200,74.35,11,4.09
4639,46,39,414,111,26.81,299,72.22,4,0.97
4640,46,40,263,69,26.24,190,72.24,4,1.52
4641,46,41,312,74,23.72,231,74.04,7,2.24
4642,46,42,329,29,8.81,289,87.84,11,3.34
4645,46,45,385,69,17.92,305,79.22,11,2.86
4646,46,46,303,39,12.87,255,84.16,9,2.97
4647,46,47,141,15,10.64,117,82.98,9,6.38
4801,48,1,342,44,12.87,282,82.46,16,4.68
4802,48,2,271,54,19.93,209,77.12,8,2.95
4803,48,3,453,48,10.6,391,86.31,14,3.09
4804,48,4,421,86,20.43,325,77.2,10,2.38
4805,48,5,296,63,21.28,224,75.68,9,3.04
4806,48,6,412,74,17.96,325,78.88,13,3.16
4807,48,7,293,35,11.95,249,84.98,9,3.07
4808,48,8,253,66,26.09,180,71.15,7,2.77
4809,48,9,330,70,21.21,248,75.15,12,3.64
4810,48,10,222,23,10.36,188,84.68,11,4.95
4811,48,11,351,39,11.11,305,86.89,7,1.99
4812,48,12,322,45,13.98,270,83.85,7,2.17
4813,48,13,304,55,18.09,238,78.29,11,3.62
4814,48,14,419,155,36.99,257,61.34,7,1.67
4815,48,15,200,35,17.5,158,79.0,7,3.5
4816,48,16,287,42,14.63,235,81.88,10,3.48
4817,48,17,380,58,15.26,313,82.37,9,2.37
4818,48,18,212,20,9.43,181,85.38,11,5.19
4819,48,19,281,29,10.32,245,87.19,7,2.49
4820,48,20,210,43,20.48,163,77.62,4,1.9
4821,48,21,353,51,14.45,286,81.02,16,4.53
4822,48,22,402,83,20.65,308,76.62,11,2.74
4823,48,23,276,33,11.96,232,84.06,11,3.99
4824,48,24,177,16,9.04,154,87.01,7,3.95
4825,48,25,331,40,12.08,289,87.31,2,0.6
4826,48,26,350,60,17.14,280,80.0,10,2.86
4827,48,27,228,39,17.11,187,82.02,2,0.88
4828,48,28,271,46,16.97,218,80.44,7,2.58
4829,48,29,239,42,17.57,192,80.33,5,2.09
4830,48,30,320,34,10.63,274,85.63,12,3.75
4831,48,31,276,21,7.61,235,85.14,20,7.25
4832,48,32,269,28,10.41,226,84.01,15,5.58
4833,48,33,267,42,15.73,213,79.78,12,4.49
4834,48,34,353,51,14.45,293,83.0,9,2.55
4835,48,35,140,27,19.29,104,74.29,9,6.43
4836,48,36,281,41,14.59,228,81.14,12,4.27
4837,48,37,292,40,13.7,245,83.9,7,2.4
4838,48,38,366,45,12.3,313,85.52,8,2.19
4839,48,39,292,49,16.78,234,80.14,9,3.08
4840,48,40,228,22,9.65,201,88.16,5,2.19
4841,48,41,206,34,16.5,162,78.64,10,4.85
4842,48,42,310,25,8.06,274,88.39,11,3.55
4843,48,43,402,35,8.71,355,88.31,12,2.99
4844,48,44,414,36,8.7,365,88.16,13,3.14
4845,48,45,257,31,12.06,221,85.99,5,1.95
4846,48,46,202,26,12.87,166,82.18,10,4.95
4847,48,47,272,29,10.66,223,81.99,20,7.35
4848,48,48,346,58,16.76,275,79.48,13,3.76
4849,48,49,145,23,15.86,117,80.69,5,3.45
4850,48,50,356,47,13.2,292,82.02,17,4.78
4851,48,51,449,58,12.92,382,85.08,9,2.0
4852,48,52,239,25,10.46,206,86.19,8,3.35
4853,48,53,196,26,13.27,157,80.1,13,6.63
4854,48,54,262,25,9.54,229,87.4,8,3.05
4901,49,1,298,11,3.69,277,92.95,10,3.36
4902,49,2,423,71,16.78,338,79.91,14,3.31
4903,49,3,203,12,5.91,183,90.15,8,3.94
