ward,precinct,total,Cynthia Soto,Cynthia Soto Percent
0101,1,1,229,229,100.0
0102,1,2,254,254,100.0
0103,1,3,181,181,100.0
0104,1,4,211,211,100.0
0105,1,5,218,218,100.0
0110,1,10,236,236,100.0
0111,1,11,205,205,100.0
0114,1,14,222,222,100.0
0115,1,15,161,161,100.0
0117,1,17,146,146,100.0
0118,1,18,207,207,100.0
0121,1,21,173,173,100.0
0122,1,22,169,169,100.0
0123,1,23,175,175,100.0
0125,1,25,160,160,100.0
0126,1,26,213,213,100.0
0127,1,27,144,144,100.0
0132,1,32,132,132,100.0
0133,1,33,243,243,100.0
0135,1,35,28,28,100.0
0136,1,36,237,237,100.0
0137,1,37,169,169,100.0
0140,1,40,113,113,100.0
0143,1,43,182,182,100.0
0144,1,44,131,131,100.0
0145,1,45,212,212,100.0
0146,1,46,246,246,100.0
0147,1,47,208,208,100.0
0148,1,48,145,145,100.0
0149,1,49,128,128,100.0
0150,1,50,148,148,100.0
2601,26,1,116,116,100.0
2602,26,2,154,154,100.0
2603,26,3,138,138,100.0
2605,26,5,185,185,100.0
2607,26,7,93,93,100.0
2609,26,9,75,75,100.0
2610,26,10,108,108,100.0
2611,26,11,118,118,100.0
2612,26,12,83,83,100.0
2614,26,14,85,85,100.0
2615,26,15,107,107,100.0
2618,26,18,80,80,100.0
2620,26,20,155,155,100.0
2621,26,21,137,137,100.0
2622,26,22,106,106,100.0
2623,26,23,93,93,100.0
2624,26,24,124,124,100.0
2625,26,25,42,42,100.0
2627,26,27,135,135,100.0
2628,26,28,114,114,100.0
2629,26,29,105,105,100.0
2631,26,31,106,106,100.0
2632,26,32,103,103,100.0
2635,26,35,177,177,100.0
2636,26,36,103,103,100.0
2637,26,37,67,67,100.0
2638,26,38,125,125,100.0
2639,26,39,122,122,100.0
2640,26,40,77,77,100.0
2641,26,41,116,116,100.0
2643,26,43,99,99,100.0
2644,26,44,72,72,100.0
2645,26,45,155,155,100.0
2647,26,47,73,73,100.0
2648,26,48,153,153,100.0
2649,26,49,97,97,100.0
2650,26,50,77,77,100.0
2652,26,52,64,64,100.0
2653,26,53,91,91,100.0
2655,26,55,73,73,100.0
2656,26,56,105,105,100.0
2657,26,57,97,97,100.0
2658,26,58,80,80,100.0
2659,26,59,136,136,100.0
2661,26,61,71,71,100.0
2663,26,63,38,38,100.0
2704,27,4,116,116,100.0
2710,27,10,173,173,100.0
2713,27,13,199,199,100.0
2732,27,32,174,174,100.0
2735,27,35,182,182,100.0
2738,27,38,149,149,100.0
2741,27,41,221,221,100.0
2756,27,56,150,150,100.0
2759,27,59,206,206,100.0
3020,30,20,121,121,100.0
3023,30,23,120,120,100.0
3026,30,26,103,103,100.0
3029,30,29,91,91,100.0
3031,30,31,101,101,100.0
3032,30,32,51,51,100.0
3033,30,33,116,116,100.0
3201,32,1,259,259,100.0
3203,32,3,211,211,100.0
3211,32,11,216,216,100.0
3212,32,12,168,168,100.0
3217,32,17,278,278,100.0
3246,32,46,41,41,100.0
3514,35,14,40,40,100.0
3532,35,32,119,119,100.0
3742,37,42,3,3,100.0
