ward,precinct,total,Frederick Collins,Frederick Collins Percent,Thomas J. Dart,Thomas J. Dart Percent,Marshall P. Lewis,Marshall P. Lewis Percent
0101,1,1,271,33,12.18,222,81.92,16,5.9
0102,1,2,311,46,14.79,245,78.78,20,6.43
0103,1,3,216,24,11.11,176,81.48,16,7.41
0104,1,4,269,46,17.1,210,78.07,13,4.83
0105,1,5,270,44,16.3,212,78.52,14,5.19
0106,1,6,277,54,19.49,197,71.12,26,9.39
0107,1,7,283,51,18.02,220,77.74,12,4.24
0108,1,8,285,39,13.68,233,81.75,13,4.56
0109,1,9,212,15,7.08,168,79.25,29,13.68
0110,1,10,303,52,17.16,226,74.59,25,8.25
0111,1,11,230,32,13.91,181,78.7,17,7.39
0112,1,12,330,72,21.82,241,73.03,17,5.15
0113,1,13,337,41,12.17,265,78.64,31,9.2
0114,1,14,274,39,14.23,212,77.37,23,8.39
0115,1,15,180,11,6.11,154,85.56,15,8.33
0116,1,16,109,8,7.34,99,90.83,2,1.83
0117,1,17,171,16,9.36,145,84.8,10,5.85
0118,1,18,241,31,12.86,183,75.93,27,11.2
0119,1,19,175,16,9.14,145,82.86,14,8.0
0120,1,20,278,43,15.47,214,76.98,21,7.55
0121,1,21,217,49,22.58,161,74.19,7,3.23
0122,1,22,209,23,11.0,170,81.34,16,7.66
0123,1,23,216,39,18.06,156,72.22,21,9.72
0124,1,24,377,37,9.81,290,76.92,50,13.26
0125,1,25,198,42,21.21,145,73.23,11,5.56
0126,1,26,257,55,21.4,181,70.43,21,8.17
0127,1,27,179,41,22.91,124,69.27,14,7.82
0128,1,28,150,18,12.0,124,82.67,8,5.33
0129,1,29,284,43,15.14,216,76.06,25,8.8
0130,1,30,356,39,10.96,281,78.93,36,10.11
0131,1,31,355,91,25.63,250,70.42,14,3.94
0132,1,32,235,33,14.04,185,78.72,17,7.23
0133,1,33,281,37,13.17,220,78.29,24,8.54
0134,1,34,192,29,15.1,143,74.48,20,10.42
0135,1,35,255,62,24.31,179,70.2,14,5.49
0136,1,36,282,53,18.79,207,73.4,22,7.8
0137,1,37,200,34,17.0,142,71.0,24,12.0
0138,1,38,160,17,10.63,130,81.25,13,8.13
0139,1,39,236,30,12.71,187,79.24,19,8.05
0140,1,40,141,21,14.89,105,74.47,15,10.64
0141,1,41,203,32,15.76,156,76.85,15,7.39
0142,1,42,223,39,17.49,167,74.89,17,7.62
0143,1,43,225,25,11.11,188,83.56,12,5.33
0144,1,44,211,28,13.27,157,74.41,26,12.32
0145,1,45,238,29,12.18,189,79.41,20,8.4
0146,1,46,307,43,14.01,241,78.5,23,7.49
0147,1,47,255,45,17.65,196,76.86,14,5.49
0148,1,48,174,25,14.37,135,77.59,14,8.05
0149,1,49,154,18,11.69,119,77.27,17,11.04
0150,1,50,179,25,13.97,129,72.07,25,13.97
0201,2,1,727,147,20.22,541,74.42,39,5.36
0202,2,2,84,4,4.76,79,94.05,1,1.19
0203,2,3,382,58,15.18,300,78.53,24,6.28
0204,2,4,250,5,2.0,242,96.8,3,1.2
0205,2,5,281,12,4.27,262,93.24,7,2.49
0206,2,6,533,153,28.71,366,68.67,14,2.63
0207,2,7,345,9,2.61,330,95.65,6,1.74
0208,2,8,451,72,15.96,366,81.15,13,2.88
0209,2,9,293,14,4.78,271,92.49,8,2.73
0210,2,10,165,6,3.64,154,93.33,5,3.03
0211,2,11,496,55,11.09,419,84.48,22,4.44
0212,2,12,567,134,23.63,413,72.84,20,3.53
0213,2,13,323,22,6.81,287,88.85,14,4.33
0214,2,14,359,17,4.74,331,92.2,11,3.06
0215,2,15,178,8,4.49,166,93.26,4,2.25
0216,2,16,505,139,27.52,346,68.51,20,3.96
0217,2,17,247,7,2.83,232,93.93,8,3.24
0218,2,18,389,69,17.74,312,80.21,8,2.06
0219,2,19,566,129,22.79,411,72.61,26,4.59
0220,2,20,446,22,4.93,417,93.5,7,1.57
0221,2,21,329,27,8.21,287,87.23,15,4.56
0222,2,22,507,71,14.0,418,82.45,18,3.55
0223,2,23,204,18,8.82,179,87.75,7,3.43
0224,2,24,227,37,16.3,181,79.74,9,3.96
0225,2,25,443,42,9.48,383,86.46,18,4.06
0226,2,26,347,53,15.27,277,79.83,17,4.9
0227,2,27,240,7,2.92,224,93.33,9,3.75
0228,2,28,259,56,21.62,193,74.52,10,3.86
0229,2,29,173,16,9.25,150,86.71,7,4.05
0230,2,30,434,95,21.89,325,74.88,14,3.23
0231,2,31,295,8,2.71,282,95.59,5,1.69
0232,2,32,174,14,8.05,153,87.93,7,4.02
0233,2,33,201,5,2.49,193,96.02,3,1.49
0234,2,34,210,14,6.67,190,90.48,6,2.86
0235,2,35,88,13,14.77,67,76.14,8,9.09
0236,2,36,542,81,14.94,447,82.47,14,2.58
0237,2,37,297,51,17.17,237,79.8,9,3.03
0238,2,38,593,126,21.25,450,75.89,17,2.87
0239,2,39,327,33,10.09,287,87.77,7,2.14
0240,2,40,726,128,17.63,565,77.82,33,4.55
0241,2,41,166,4,2.41,158,95.18,4,2.41
0242,2,42,164,5,3.05,158,96.34,1,0.61
0243,2,43,409,39,9.54,355,86.8,15,3.67
0244,2,44,221,14,6.33,199,90.05,8,3.62
0245,2,45,297,23,7.74,263,88.55,11,3.7
0246,2,46,393,10,2.54,369,93.89,14,3.56
0247,2,47,205,4,1.95,195,95.12,6,2.93
0248,2,48,171,4,2.34,161,94.15,6,3.51
0249,2,49,327,55,16.82,244,74.62,28,8.56
0250,2,50,207,25,12.08,168,81.16,14,6.76
0251,2,51,217,8,3.69,201,92.63,8,3.69
0252,2,52,348,17,4.89,318,91.38,13,3.74
0253,2,53,332,67,20.18,252,75.9,13,3.92
0254,2,54,437,47,10.76,355,81.24,35,8.01
0255,2,55,193,42,21.76,140,72.54,11,5.7
0256,2,56,258,16,6.2,235,91.09,7,2.71
0301,3,1,245,6,2.45,235,95.92,4,1.63
0302,3,2,338,11,3.25,320,94.67,7,2.07
0303,3,3,335,29,8.66,298,88.96,8,2.39
0304,3,4,208,5,2.4,194,93.27,9,4.33
0305,3,5,246,9,3.66,226,91.87,11,4.47
0306,3,6,69,1,1.45,68,98.55,0,0.0
0307,3,7,283,12,4.24,263,92.93,8,2.83
0308,3,8,265,4,1.51,257,96.98,4,1.51
