ward,precinct,total,Wes Fowler,Wes Fowler Percent,Bridget Gainer,Bridget Gainer Percent
3232,32,32,16,7,43.75,9,56.25
3244,32,44,220,54,24.55,166,75.45
3247,32,47,349,145,41.55,204,58.45
3249,32,49,197,71,36.04,126,63.96
3250,32,50,391,151,38.62,240,61.38
3251,32,51,374,153,40.91,221,59.09
3901,39,1,257,118,45.91,139,54.09
3902,39,2,339,137,40.41,202,59.59
3903,39,3,264,104,39.39,160,60.61
3904,39,4,207,83,40.1,124,59.9
3915,39,15,254,111,43.7,143,56.3
3916,39,16,193,44,22.8,149,77.2
3917,39,17,209,53,25.36,156,74.64
3918,39,18,276,65,23.55,211,76.45
3920,39,20,246,101,41.06,145,58.94
3926,39,26,270,125,46.3,145,53.7
3932,39,32,178,54,30.34,124,69.66
3936,39,36,206,62,30.1,144,69.9
3937,39,37,378,133,35.19,245,64.81
3939,39,39,104,17,16.35,87,83.65
3940,39,40,179,78,43.58,101,56.42
3941,39,41,111,29,26.13,82,73.87
3942,39,42,225,95,42.22,130,57.78
3947,39,47,165,66,40.0,99,60.0
4002,40,2,161,41,25.47,120,74.53
4003,40,3,263,35,13.31,228,86.69
4004,40,4,253,37,14.62,216,85.38
4007,40,7,282,33,11.7,249,88.3
4008,40,8,79,21,26.58,58,73.42
4009,40,9,236,50,21.19,186,78.81
4010,40,10,284,72,25.35,212,74.65
4011,40,11,220,34,15.45,186,84.55
4012,40,12,187,19,10.16,168,89.84
4013,40,13,319,43,13.48,276,86.52
4015,40,15,239,45,18.83,194,81.17
4016,40,16,237,50,21.1,187,78.9
4018,40,18,284,48,16.9,236,83.1
4022,40,22,175,33,18.86,142,81.14
4025,40,25,187,55,29.41,132,70.59
4026,40,26,299,31,10.37,268,89.63
4027,40,27,207,30,14.49,177,85.51
4028,40,28,300,38,12.67,262,87.33
4029,40,29,281,73,25.98,208,74.02
4030,40,30,103,37,35.92,66,64.08
4031,40,31,203,61,30.05,142,69.95
4033,40,33,255,42,16.47,213,83.53
4035,40,35,276,77,27.9,199,72.1
