ward,precinct,total,Carl Segvich,Carl Segvich Percent,John P. Daley,John P. Daley Percent
0310,3,10,96,3,3.13,93,96.88
0319,3,19,16,3,18.75,13,81.25
1101,11,1,305,57,18.69,248,81.31
1104,11,4,272,43,15.81,229,84.19
1105,11,5,167,41,24.55,126,75.45
1107,11,7,214,39,18.22,175,81.78
1108,11,8,229,53,23.14,176,76.86
1109,11,9,153,37,24.18,116,75.82
1110,11,10,134,23,17.16,111,82.84
1111,11,11,400,111,27.75,289,72.25
1112,11,12,264,44,16.67,220,83.33
1113,11,13,224,48,21.43,176,78.57
1115,11,15,195,34,17.44,161,82.56
1116,11,16,286,55,19.23,231,80.77
1117,11,17,30,7,23.33,23,76.67
1118,11,18,196,56,28.57,140,71.43
1119,11,19,225,52,23.11,173,76.89
1120,11,20,197,29,14.72,168,85.28
1121,11,21,231,39,16.88,192,83.12
1122,11,22,210,26,12.38,184,87.62
1123,11,23,180,37,20.56,143,79.44
1124,11,24,419,58,13.84,361,86.16
1125,11,25,253,47,18.58,206,81.42
1126,11,26,282,48,17.02,234,82.98
1128,11,28,176,39,22.16,137,77.84
1129,11,29,246,42,17.07,204,82.93
1130,11,30,231,54,23.38,177,76.62
1131,11,31,185,63,34.05,122,65.95
1132,11,32,186,47,25.27,139,74.73
1133,11,33,153,35,22.88,118,77.12
1134,11,34,77,30,38.96,47,61.04
1135,11,35,335,76,22.69,259,77.31
1137,11,37,316,81,25.63,235,74.37
1138,11,38,331,85,25.68,246,74.32
1139,11,39,363,83,22.87,280,77.13
1140,11,40,159,28,17.61,131,82.39
1141,11,41,138,31,22.46,107,77.54
1142,11,42,175,43,24.57,132,75.43
1143,11,43,257,66,25.68,191,74.32
1144,11,44,249,51,20.48,198,79.52
1145,11,45,125,48,38.4,77,61.6
1147,11,47,220,54,24.55,166,75.45
1148,11,48,102,24,23.53,78,76.47
1149,11,49,208,62,29.81,146,70.19
1150,11,50,129,39,30.23,90,69.77
1208,12,8,167,28,16.77,139,83.23
1301,13,1,268,74,27.61,194,72.39
1302,13,2,183,26,14.21,157,85.79
1304,13,4,382,135,35.34,247,64.66
1305,13,5,225,41,18.22,184,81.78
1306,13,6,243,66,27.16,177,72.84
1307,13,7,236,36,15.25,200,84.75
1308,13,8,276,105,38.04,171,61.96
1309,13,9,280,54,19.29,226,80.71
1310,13,10,217,42,19.35,175,80.65
1311,13,11,245,47,19.18,198,80.82
1312,13,12,212,58,27.36,154,72.64
1313,13,13,293,43,14.68,250,85.32
1314,13,14,239,62,25.94,177,74.06
