ward,precinct,total,Edward Harmening,Edward Harmening Percent,James Patrick Doran,James Patrick Doran Percent,Thomas J. Murphy,Thomas J. Murphy Percent,David J. Coleman,David J. Coleman Percent
1301,13,1,165,88,53.33,32,19.39,37,22.42,8,4.85
1302,13,2,119,75,63.03,10,8.4,19,15.97,15,12.61
1303,13,3,181,49,27.07,43,23.76,62,34.25,27,14.92
1304,13,4,224,78,34.82,52,23.21,80,35.71,14,6.25
1305,13,5,150,37,24.67,29,19.33,57,38.0,27,18.0
1306,13,6,127,54,42.52,11,8.66,45,35.43,17,13.39
1307,13,7,142,75,52.82,20,14.08,33,23.24,14,9.86
1308,13,8,174,73,41.95,43,24.71,49,28.16,9,5.17
1309,13,9,154,69,44.81,24,15.58,53,34.42,8,5.19
1310,13,10,130,56,43.08,31,23.85,28,21.54,15,11.54
1311,13,11,137,60,43.8,12,8.76,40,29.2,25,18.25
1312,13,12,117,50,42.74,15,12.82,37,31.62,15,12.82
1313,13,13,200,146,73.0,19,9.5,27,13.5,8,4.0
1314,13,14,124,45,36.29,20,16.13,44,35.48,15,12.1
1315,13,15,197,106,53.81,22,11.17,45,22.84,24,12.18
1316,13,16,197,98,49.75,35,17.77,52,26.4,12,6.09
1317,13,17,159,73,45.91,28,17.61,48,30.19,10,6.29
1318,13,18,149,55,36.91,40,26.85,35,23.49,19,12.75
1319,13,19,176,101,57.39,11,6.25,42,23.86,22,12.5
1320,13,20,159,62,38.99,30,18.87,42,26.42,25,15.72
1321,13,21,158,43,27.22,26,16.46,69,43.67,20,12.66
1322,13,22,102,41,40.2,10,9.8,38,37.25,13,12.75
1323,13,23,129,61,47.29,21,16.28,34,26.36,13,10.08
1324,13,24,141,86,60.99,19,13.48,28,19.86,8,5.67
1325,13,25,112,35,31.25,23,20.54,45,40.18,9,8.04
1326,13,26,153,90,58.82,17,11.11,37,24.18,9,5.88
1327,13,27,167,69,41.32,40,23.95,41,24.55,17,10.18
1328,13,28,108,46,42.59,21,19.44,33,30.56,8,7.41
1329,13,29,145,71,48.97,20,13.79,38,26.21,16,11.03
1330,13,30,203,102,50.25,31,15.27,52,25.62,18,8.87
1331,13,31,188,86,45.74,24,12.77,55,29.26,23,12.23
1332,13,32,131,30,22.9,13,9.92,50,38.17,38,29.01
1333,13,33,147,78,53.06,27,18.37,33,22.45,9,6.12
1334,13,34,234,172,73.5,15,6.41,29,12.39,18,7.69
1335,13,35,181,117,64.64,11,6.08,36,19.89,17,9.39
1336,13,36,85,24,28.24,17,20.0,32,37.65,12,14.12
1337,13,37,156,84,53.85,12,7.69,42,26.92,18,11.54
1338,13,38,147,42,28.57,36,24.49,58,39.46,11,7.48
1339,13,39,143,92,64.34,14,9.79,32,22.38,5,3.5
1340,13,40,175,75,42.86,32,18.29,48,27.43,20,11.43
1341,13,41,122,43,35.25,22,18.03,38,31.15,19,15.57
1342,13,42,168,75,44.64,17,10.12,64,38.1,12,7.14
1343,13,43,179,91,50.84,24,13.41,49,27.37,15,8.38
1344,13,44,165,108,65.45,14,8.48,29,17.58,14,8.48
1345,13,45,191,140,73.3,14,7.33,31,16.23,6,3.14
1346,13,46,130,48,36.92,17,13.08,51,39.23,14,10.77
1347,13,47,142,66,46.48,13,9.15,46,32.39,17,11.97
1401,14,1,85,34,40.0,18,21.18,24,28.24,9,10.59
1402,14,2,116,48,41.38,20,17.24,39,33.62,9,7.76
1403,14,3,163,59,36.2,30,18.4,49,30.06,25,15.34
1404,14,4,99,42,42.42,14,14.14,28,28.28,15,15.15
1406,14,6,127,47,37.01,24,18.9,37,29.13,19,14.96
1409,14,9,159,78,49.06,25,15.72,37,23.27,19,11.95
1413,14,13,176,89,50.57,22,12.5,47,26.7,18,10.23
1425,14,25,139,56,40.29,26,18.71,50,35.97,7,5.04
1427,14,27,171,68,39.77,30,17.54,58,33.92,15,8.77
1428,14,28,135,63,46.67,21,15.56,29,21.48,22,16.3
1501,15,1,80,12,15.0,18,22.5,29,36.25,21,26.25
1508,15,8,87,11,12.64,9,10.34,35,40.23,32,36.78
1510,15,10,67,11,16.42,21,31.34,21,31.34,14,20.9
1514,15,14,95,12,12.63,17,17.89,43,45.26,23,24.21
1516,15,16,62,7,11.29,16,25.81,27,43.55,12,19.35
1528,15,28,89,12,13.48,19,21.35,42,47.19,16,17.98
1534,15,34,6,1,16.67,1,16.67,2,33.33,2,33.33
1541,15,41,101,16,15.84,11,10.89,40,39.6,34,33.66
1546,15,46,22,1,4.55,2,9.09,9,40.91,10,45.45
1551,15,51,37,5,13.51,9,24.32,11,29.73,12,32.43
1617,16,17,87,13,14.94,22,25.29,27,31.03,25,28.74
1639,16,39,72,9,12.5,18,25.0,24,33.33,21,29.17
1711,17,11,96,8,8.33,12,12.5,50,52.08,26,27.08
1732,17,32,91,10,10.99,15,16.48,43,47.25,23,25.27
1740,17,40,67,11,16.42,11,16.42,26,38.81,19,28.36
1756,17,56,95,10,10.53,13,13.68,42,44.21,30,31.58
1757,17,57,109,9,8.26,12,11.01,54,49.54,34,31.19
1758,17,58,0,0,0.0,0,0.0,0,0.0,0,0.0
1759,17,59,52,1,1.92,6,11.54,24,46.15,21,40.38
1760,17,60,126,9,7.14,14,11.11,61,48.41,42,33.33
1761,17,61,81,6,7.41,9,11.11,42,51.85,24,29.63
1762,17,62,56,11,19.64,4,7.14,22,39.29,19,33.93
1763,17,63,43,2,4.65,4,9.3,20,46.51,17,39.53
1764,17,64,62,9,14.52,4,6.45,27,43.55,22,35.48
1801,18,1,68,8,11.76,4,5.88,42,61.76,14,20.59
1802,18,2,135,15,11.11,13,9.63,73,54.07,34,25.19
1803,18,3,133,49,36.84,19,14.29,52,39.1,13,9.77
1804,18,4,175,14,8.0,21,12.0,98,56.0,42,24.0
1805,18,5,104,10,9.62,18,17.31,54,51.92,22,21.15
1806,18,6,121,28,23.14,13,10.74,51,42.15,29,23.97
1807,18,7,119,12,10.08,20,16.81,68,57.14,19,15.97
1808,18,8,67,17,25.37,3,4.48,34,50.75,13,19.4
1809,18,9,187,22,11.76,32,17.11,102,54.55,31,16.58
1810,18,10,256,42,16.41,62,24.22,106,41.41,46,17.97
1811,18,11,128,21,16.41,16,12.5,68,53.13,23,17.97
1812,18,12,198,20,10.1,28,14.14,105,53.03,45,22.73
1813,18,13,161,25,15.53,26,16.15,83,51.55,27,16.77
1814,18,14,180,16,8.89,18,10.0,105,58.33,41,22.78
1815,18,15,74,14,18.92,15,20.27,33,44.59,12,16.22
1816,18,16,151,14,9.27,15,9.93,94,62.25,28,18.54
1817,18,17,121,29,23.97,7,5.79,62,51.24,23,19.01
1818,18,18,161,20,12.42,19,11.8,78,48.45,44,27.33
1819,18,19,202,23,11.39,13,6.44,119,58.91,47,23.27
1821,18,21,217,33,15.21,24,11.06,111,51.15,49,22.58
1822,18,22,175,22,12.57,27,15.43,97,55.43,29,16.57
1823,18,23,114,13,11.4,13,11.4,64,56.14,24,21.05
1826,18,26,135,27,20.0,15,11.11,59,43.7,34,25.19
1827,18,27,120,21,17.5,13,10.83,55,45.83,31,25.83
1828,18,28,153,60,39.22,20,13.07,58,37.91,15,9.8
1829,18,29,139,21,15.11,21,15.11,64,46.04,33,23.74
1831,18,31,99,13,13.13,11,11.11,57,57.58,18,18.18
1832,18,32,213,19,8.92,11,5.16,131,61.5,52,24.41
1833,18,33,123,20,16.26,13,10.57,61,49.59,29,23.58
1834,18,34,259,36,13.9,48,18.53,115,44.4,60,23.17
1835,18,35,215,27,12.56,50,23.26,106,49.3,32,14.88
1836,18,36,101,9,8.91,13,12.87,67,66.34,12,11.88
1837,18,37,133,17,12.78,24,18.05,69,51.88,23,17.29
1839,18,39,103,12,11.65,14,13.59,47,45.63,30,29.13
1840,18,40,188,32,17.02,27,14.36,92,48.94,37,19.68
1841,18,41,147,26,17.69,31,21.09,69,46.94,21,14.29
1842,18,42,81,16,19.75,7,8.64,38,46.91,20,24.69
1843,18,43,77,8,10.39,15,19.48,35,45.45,19,24.68
1844,18,44,87,11,12.64,10,11.49,45,51.72,21,24.14
1847,18,47,94,26,27.66,9,9.57,40,42.55,19,20.21
1848,18,48,89,22,24.72,14,15.73,44,49.44,9,10.11
1849,18,49,93,13,13.98,12,12.9,41,44.09,27,29.03
1850,18,50,119,18,15.13,12,10.08,57,47.9,32,26.89
1854,18,54,149,16,10.74,22,14.77,80,53.69,31,20.81
1855,18,55,155,52,33.55,17,10.97,70,45.16,16,10.32
1856,18,56,90,17,18.89,14,15.56,46,51.11,13,14.44
1857,18,57,94,15,15.96,9,9.57,52,55.32,18,19.15
1858,18,58,100,15,15.0,16,16.0,43,43.0,26,26.0
1859,18,59,124,10,8.06,12,9.68,71,57.26,31,25.0
1862,18,62,97,11,11.34,15,15.46,54,55.67,17,17.53
1901,19,1,294,115,39.12,117,39.8,37,12.59,25,8.5
1902,19,2,210,71,33.81,38,18.1,39,18.57,62,29.52
1903,19,3,183,105,57.38,22,12.02,31,16.94,25,13.66
1904,19,4,223,133,59.64,28,12.56,50,22.42,12,5.38
1905,19,5,251,63,25.1,26,10.36,50,19.92,112,44.62
1906,19,6,191,106,55.5,43,22.51,30,15.71,12,6.28
1907,19,7,261,134,51.34,44,16.86,52,19.92,31,11.88
1908,19,8,153,82,53.59,15,9.8,50,32.68,6,3.92
1909,19,9,170,47,27.65,57,33.53,34,20.0,32,18.82
1910,19,10,322,98,30.43,35,10.87,35,10.87,154,47.83
1911,19,11,237,130,54.85,30,12.66,68,28.69,9,3.8
1912,19,12,197,123,62.44,21,10.66,42,21.32,11,5.58
1913,19,13,142,11,7.75,16,11.27,39,27.46,76,53.52
1914,19,14,140,69,49.29,39,27.86,20,14.29,12,8.57
1915,19,15,159,52,32.7,33,20.75,61,38.36,13,8.18
1916,19,16,269,135,50.19,89,33.09,36,13.38,9,3.35
1917,19,17,246,99,40.24,58,23.58,37,15.04,52,21.14
1918,19,18,302,97,32.12,53,17.55,39,12.91,113,37.42
1919,19,19,245,80,32.65,56,22.86,42,17.14,67,27.35
1920,19,20,202,50,24.75,51,25.25,38,18.81,63,31.19
1921,19,21,157,66,42.04,30,19.11,53,33.76,8,5.1
1922,19,22,251,91,36.25,47,18.73,65,25.9,48,19.12
1923,19,23,278,128,46.04,72,25.9,48,17.27,30,10.79
1924,19,24,196,112,57.14,29,14.8,44,22.45,11,5.61
1925,19,25,282,121,42.91,54,19.15,56,19.86,51,18.09
