ward,precinct,total,David E. Miller,David E. Miller Percent,S. Raja Krishnamoorthi,S. Raja Krishnamoorthi Percent,Clinton A. ''Clint'' Krislov,Clinton A. ''Clint'' Krislov Percent
0101,1,1,103,34,33.01,59,57.28,10,9.71
0102,1,2,85,20,23.53,54,63.53,11,12.94
0103,1,3,64,20,31.25,35,54.69,9,14.06
0104,1,4,97,14,14.43,74,76.29,9,9.28
0105,1,5,88,31,35.23,49,55.68,8,9.09
0106,1,6,98,24,24.49,63,64.29,11,11.22
0107,1,7,83,29,34.94,48,57.83,6,7.23
0108,1,8,93,28,30.11,54,58.06,11,11.83
0109,1,9,113,36,31.86,65,57.52,12,10.62
0110,1,10,101,19,18.81,73,72.28,9,8.91
0111,1,11,65,15,23.08,42,64.62,8,12.31
0112,1,12,117,30,25.64,79,67.52,8,6.84
0113,1,13,136,51,37.5,75,55.15,10,7.35
0114,1,14,82,20,24.39,56,68.29,6,7.32
0115,1,15,72,34,47.22,31,43.06,7,9.72
0116,1,16,51,28,54.9,15,29.41,8,15.69
0117,1,17,69,11,15.94,51,73.91,7,10.14
0118,1,18,85,39,45.88,40,47.06,6,7.06
0119,1,19,70,27,38.57,40,57.14,3,4.29
0120,1,20,123,52,42.28,51,41.46,20,16.26
0121,1,21,70,16,22.86,46,65.71,8,11.43
0122,1,22,78,35,44.87,36,46.15,7,8.97
0123,1,23,73,30,41.1,37,50.68,6,8.22
0124,1,24,166,55,33.13,99,59.64,12,7.23
0125,1,25,63,22,34.92,32,50.79,9,14.29
0126,1,26,62,15,24.19,42,67.74,5,8.06
0127,1,27,62,21,33.87,38,61.29,3,4.84
0128,1,28,64,19,29.69,37,57.81,8,12.5
0129,1,29,100,24,24.0,61,61.0,15,15.0
0130,1,30,145,66,45.52,62,42.76,17,11.72
0131,1,31,79,21,26.58,55,69.62,3,3.8
0132,1,32,111,50,45.05,43,38.74,18,16.22
0133,1,33,114,51,44.74,55,48.25,8,7.02
0134,1,34,59,16,27.12,32,54.24,11,18.64
0135,1,35,62,12,19.35,48,77.42,2,3.23
0136,1,36,88,29,32.95,44,50.0,15,17.05
0137,1,37,82,26,31.71,48,58.54,8,9.76
0138,1,38,48,19,39.58,15,31.25,14,29.17
0139,1,39,85,43,50.59,33,38.82,9,10.59
0140,1,40,31,10,32.26,16,51.61,5,16.13
0141,1,41,73,22,30.14,47,64.38,4,5.48
0142,1,42,65,21,32.31,43,66.15,1,1.54
0143,1,43,92,40,43.48,45,48.91,7,7.61
0144,1,44,65,16,24.62,46,70.77,3,4.62
0145,1,45,97,38,39.18,49,50.52,10,10.31
0146,1,46,98,24,24.49,65,66.33,9,9.18
0147,1,47,79,15,18.99,56,70.89,8,10.13
0148,1,48,67,28,41.79,25,37.31,14,20.9
0149,1,49,44,12,27.27,30,68.18,2,4.55
0150,1,50,60,14,23.33,41,68.33,5,8.33
0201,2,1,208,58,27.88,138,66.35,12,5.77
0202,2,2,30,15,50.0,9,30.0,6,20.0
0203,2,3,162,72,44.44,78,48.15,12,7.41
0204,2,4,93,62,66.67,24,25.81,7,7.53
0205,2,5,136,84,61.76,45,33.09,7,5.15
0206,2,6,143,21,14.69,110,76.92,12,8.39
0207,2,7,193,128,66.32,57,29.53,8,4.15
0208,2,8,211,82,38.86,117,55.45,12,5.69
0209,2,9,114,64,56.14,45,39.47,5,4.39
0210,2,10,102,66,64.71,31,30.39,5,4.9
0211,2,11,279,59,21.15,196,70.25,24,8.6
0212,2,12,151,39,25.83,108,71.52,4,2.65
0213,2,13,146,74,50.68,62,42.47,10,6.85
0214,2,14,231,134,58.01,89,38.53,8,3.46
0215,2,15,58,34,58.62,23,39.66,1,1.72
0216,2,16,158,30,18.99,123,77.85,5,3.16
0217,2,17,81,58,71.6,17,20.99,6,7.41
0218,2,18,175,51,29.14,114,65.14,10,5.71
0219,2,19,202,74,36.63,116,57.43,12,5.94
0220,2,20,248,137,55.24,104,41.94,7,2.82
0221,2,21,185,107,57.84,69,37.3,9,4.86
0222,2,22,266,88,33.08,156,58.65,22,8.27
0223,2,23,101,55,54.46,40,39.6,6,5.94
0224,2,24,73,30,41.1,33,45.21,10,13.7
0225,2,25,177,87,49.15,79,44.63,11,6.21
0226,2,26,136,60,44.12,65,47.79,11,8.09
0227,2,27,112,80,71.43,28,25.0,4,3.57
0228,2,28,99,29,29.29,65,65.66,5,5.05
0229,2,29,92,48,52.17,39,42.39,5,5.43
0230,2,30,155,48,30.97,102,65.81,5,3.23
0231,2,31,154,93,60.39,53,34.42,8,5.19
0232,2,32,57,29,50.88,22,38.6,6,10.53
0233,2,33,65,45,69.23,18,27.69,2,3.08
0234,2,34,125,86,68.8,30,24.0,9,7.2
0235,2,35,31,2,6.45,28,90.32,1,3.23
0236,2,36,235,89,37.87,141,60.0,5,2.13
0237,2,37,134,28,20.9,98,73.13,8,5.97
0238,2,38,208,62,29.81,134,64.42,12,5.77
0239,2,39,111,60,54.05,45,40.54,6,5.41
0240,2,40,247,116,46.96,118,47.77,13,5.26
0241,2,41,63,46,73.02,14,22.22,3,4.76
0242,2,42,99,56,56.57,34,34.34,9,9.09
0243,2,43,256,97,37.89,138,53.91,21,8.2
0244,2,44,128,72,56.25,43,33.59,13,10.16
0245,2,45,117,70,59.83,43,36.75,4,3.42
0246,2,46,242,147,60.74,86,35.54,9,3.72
0247,2,47,100,69,69.0,29,29.0,2,2.0
0248,2,48,84,60,71.43,17,20.24,7,8.33
0249,2,49,113,27,23.89,66,58.41,20,17.7
0250,2,50,107,51,47.66,49,45.79,7,6.54
0251,2,51,93,60,64.52,33,35.48,0,0.0
0252,2,52,172,105,61.05,55,31.98,12,6.98
0253,2,53,115,36,31.3,73,63.48,6,5.22
0254,2,54,185,34,18.38,126,68.11,25,13.51
0255,2,55,62,22,35.48,35,56.45,5,8.06
0256,2,56,131,84,64.12,40,30.53,7,5.34
0301,3,1,125,88,70.4,31,24.8,6,4.8
0302,3,2,209,131,62.68,64,30.62,14,6.7
0303,3,3,147,68,46.26,73,49.66,6,4.08
0304,3,4,99,60,60.61,33,33.33,6,6.06
0305,3,5,145,96,66.21,44,30.34,5,3.45
0306,3,6,36,19,52.78,10,27.78,7,19.44
0307,3,7,180,127,70.56,49,27.22,4,2.22
0308,3,8,115,76,66.09,33,28.7,6,5.22
0309,3,9,141,87,61.7,44,31.21,10,7.09
0310,3,10,44,33,75.0,9,20.45,2,4.55
0311,3,11,126,78,61.9,43,34.13,5,3.97
0312,3,12,110,73,66.36,31,28.18,6,5.45
0313,3,13,77,31,40.26,35,45.45,11,14.29
0314,3,14,106,70,66.04,29,27.36,7,6.6
0315,3,15,148,96,64.86,40,27.03,12,8.11
0316,3,16,111,78,70.27,31,27.93,2,1.8
0317,3,17,70,47,67.14,19,27.14,4,5.71
0318,3,18,70,50,71.43,16,22.86,4,5.71
0319,3,19,38,21,55.26,12,31.58,5,13.16
0320,3,20,109,73,66.97,34,31.19,2,1.83
0321,3,21,51,32,62.75,14,27.45,5,9.8
0322,3,22,77,49,63.64,22,28.57,6,7.79
0323,3,23,114,78,68.42,32,28.07,4,3.51
0324,3,24,167,105,62.87,53,31.74,9,5.39
0325,3,25,82,59,71.95,16,19.51,7,8.54
0326,3,26,40,28,70.0,10,25.0,2,5.0
0327,3,27,129,89,68.99,37,28.68,3,2.33
0328,3,28,225,67,29.78,152,67.56,6,2.67
0329,3,29,129,86,66.67,30,23.26,13,10.08
0330,3,30,108,66,61.11,39,36.11,3,2.78
0331,3,31,205,145,70.73,52,25.37,8,3.9
0332,3,32,90,58,64.44,29,32.22,3,3.33
0333,3,33,177,114,64.41,52,29.38,11,6.21
0334,3,34,132,82,62.12,45,34.09,5,3.79
0335,3,35,136,97,71.32,33,24.26,6,4.41
0336,3,36,37,26,70.27,10,27.03,1,2.7
0337,3,37,56,34,60.71,19,33.93,3,5.36
0338,3,38,225,152,67.56,53,23.56,20,8.89
0339,3,39,247,154,62.35,82,33.2,11,4.45
0340,3,40,136,85,62.5,45,33.09,6,4.41
0341,3,41,143,81,56.64,54,37.76,8,5.59
0342,3,42,82,52,63.41,27,32.93,3,3.66
0343,3,43,19,12,63.16,7,36.84,0,0.0
0344,3,44,27,17,62.96,6,22.22,4,14.81
0345,3,45,178,100,56.18,68,38.2,10,5.62
0346,3,46,13,9,69.23,1,7.69,3,23.08
0347,3,47,88,63,71.59,22,25.0,3,3.41
0348,3,48,87,64,73.56,17,19.54,6,6.9
0349,3,49,35,20,57.14,11,31.43,4,11.43
0350,3,50,79,56,70.89,18,22.78,5,6.33
0401,4,1,241,92,38.17,132,54.77,17,7.05
0402,4,2,242,141,58.26,91,37.6,10,4.13
