ward,precinct,total,Mark M. Weiman,Mark M. Weiman Percent
0101,1,1,11,11,100.0
0106,1,6,17,17,100.0
0111,1,11,0,0,0.0
0144,1,44,6,6,100.0
0201,2,1,43,43,100.0
0202,2,2,0,0,0.0
0203,2,3,13,13,100.0
0204,2,4,0,0,0.0
0205,2,5,3,3,100.0
0206,2,6,40,40,100.0
0207,2,7,3,3,100.0
0208,2,8,32,32,100.0
0209,2,9,3,3,100.0
0210,2,10,0,0,0.0
0211,2,11,27,27,100.0
0212,2,12,38,38,100.0
0213,2,13,11,11,100.0
0214,2,14,0,0,0.0
0215,2,15,1,1,100.0
0216,2,16,30,30,100.0
0217,2,17,1,1,100.0
0218,2,18,29,29,100.0
0219,2,19,33,33,100.0
0220,2,20,3,3,100.0
0221,2,21,5,5,100.0
0222,2,22,27,27,100.0
0223,2,23,3,3,100.0
0224,2,24,11,11,100.0
0225,2,25,18,18,100.0
0226,2,26,13,13,100.0
0227,2,27,0,0,0.0
0228,2,28,16,16,100.0
0229,2,29,6,6,100.0
0230,2,30,34,34,100.0
0232,2,32,8,8,100.0
0233,2,33,2,2,100.0
0234,2,34,5,5,100.0
0235,2,35,7,7,100.0
0236,2,36,18,18,100.0
0237,2,37,28,28,100.0
0238,2,38,46,46,100.0
0239,2,39,8,8,100.0
0240,2,40,38,38,100.0
0241,2,41,0,0,0.0
0242,2,42,1,1,100.0
0243,2,43,17,17,100.0
0245,2,45,4,4,100.0
0247,2,47,2,2,100.0
0248,2,48,0,0,0.0
0249,2,49,16,16,100.0
0250,2,50,6,6,100.0
0251,2,51,5,5,100.0
0252,2,52,3,3,100.0
0253,2,53,13,13,100.0
0254,2,54,19,19,100.0
0255,2,55,19,19,100.0
0256,2,56,1,1,100.0
0301,3,1,0,0,0.0
0302,3,2,1,1,100.0
0303,3,3,11,11,100.0
0304,3,4,0,0,0.0
0306,3,6,1,1,100.0
0308,3,8,1,1,100.0
0309,3,9,1,1,100.0
0310,3,10,2,2,100.0
0311,3,11,1,1,100.0
0312,3,12,3,3,100.0
0314,3,14,0,0,0.0
0315,3,15,1,1,100.0
0316,3,16,1,1,100.0
0317,3,17,1,1,100.0
0318,3,18,0,0,0.0
0320,3,20,0,0,0.0
0321,3,21,0,0,0.0
0322,3,22,0,0,0.0
0323,3,23,1,1,100.0
0324,3,24,3,3,100.0
0325,3,25,0,0,0.0
0326,3,26,0,0,0.0
0327,3,27,0,0,0.0
0328,3,28,34,34,100.0
0329,3,29,0,0,0.0
0331,3,31,1,1,100.0
0332,3,32,0,0,0.0
0333,3,33,0,0,0.0
0335,3,35,0,0,0.0
0336,3,36,0,0,0.0
0337,3,37,0,0,0.0
0339,3,39,1,1,100.0
0340,3,40,0,0,0.0
0342,3,42,1,1,100.0
0343,3,43,0,0,0.0
0345,3,45,16,16,100.0
