ward,precinct,total,Paul Chialdikas,Paul Chialdikas Percent,Jimmy Lee Tillman II,Jimmy Lee Tillman II Percent,No Candidate,No Candidate Percent
0101,1,1,18,9,50.0,9,50.0,0,0.0
0102,1,2,18,12,66.67,6,33.33,0,0.0
0103,1,3,8,6,75.0,2,25.0,0,0.0
0104,1,4,9,7,77.78,2,22.22,0,0.0
0105,1,5,12,6,50.0,6,50.0,0,0.0
0106,1,6,20,14,70.0,6,30.0,0,0.0
0107,1,7,18,13,72.22,5,27.78,0,0.0
0108,1,8,13,6,46.15,7,53.85,0,0.0
0109,1,9,15,8,53.33,7,46.67,0,0.0
0110,1,10,9,5,55.56,4,44.44,0,0.0
0111,1,11,16,12,75.0,4,25.0,0,0.0
0112,1,12,16,10,62.5,6,37.5,0,0.0
0113,1,13,19,9,47.37,10,52.63,0,0.0
0114,1,14,4,2,50.0,2,50.0,0,0.0
0115,1,15,3,1,33.33,2,66.67,0,0.0
0116,1,16,2,0,0.0,2,100.0,0,0.0
0117,1,17,6,3,50.0,3,50.0,0,0.0
0118,1,18,13,7,53.85,6,46.15,0,0.0
0119,1,19,12,8,66.67,4,33.33,0,0.0
0120,1,20,11,6,54.55,5,45.45,0,0.0
0121,1,21,18,11,61.11,7,38.89,0,0.0
0122,1,22,7,4,57.14,3,42.86,0,0.0
0123,1,23,13,10,76.92,3,23.08,0,0.0
0124,1,24,12,10,83.33,2,16.67,0,0.0
0125,1,25,13,7,53.85,6,46.15,0,0.0
0126,1,26,24,15,62.5,9,37.5,0,0.0
0127,1,27,17,10,58.82,7,41.18,0,0.0
0128,1,28,5,2,40.0,3,60.0,0,0.0
0129,1,29,18,11,61.11,7,38.89,0,0.0
0130,1,30,7,3,42.86,4,57.14,0,0.0
0131,1,31,25,18,72.0,7,28.0,0,0.0
0132,1,32,10,8,80.0,2,20.0,0,0.0
0133,1,33,19,12,63.16,7,36.84,0,0.0
0134,1,34,9,7,77.78,2,22.22,0,0.0
0135,1,35,7,5,71.43,2,28.57,0,0.0
0136,1,36,18,13,72.22,5,27.78,0,0.0
0137,1,37,13,9,69.23,4,30.77,0,0.0
0138,1,38,8,5,62.5,3,37.5,0,0.0
0139,1,39,12,10,83.33,2,16.67,0,0.0
0140,1,40,6,4,66.67,2,33.33,0,0.0
0141,1,41,14,9,64.29,5,35.71,0,0.0
0142,1,42,14,10,71.43,4,28.57,0,0.0
0143,1,43,11,9,81.82,2,18.18,0,0.0
0144,1,44,11,7,63.64,4,36.36,0,0.0
0145,1,45,7,4,57.14,3,42.86,0,0.0
0146,1,46,14,10,71.43,4,28.57,0,0.0
0147,1,47,7,4,57.14,3,42.86,0,0.0
0148,1,48,2,0,0.0,2,100.0,0,0.0
0149,1,49,10,7,70.0,3,30.0,0,0.0
0150,1,50,7,5,71.43,2,28.57,0,0.0
0201,2,1,52,30,57.69,22,42.31,0,0.0
0202,2,2,0,0,0.0,0,0.0,0,0.0
0203,2,3,18,12,66.67,6,33.33,0,0.0
0204,2,4,0,0,0.0,0,0.0,0,0.0
0205,2,5,4,2,50.0,2,50.0,0,0.0
0206,2,6,45,30,66.67,15,33.33,0,0.0
0207,2,7,3,2,66.67,1,33.33,0,0.0
0208,2,8,41,24,58.54,17,41.46,0,0.0
0209,2,9,2,2,100.0,0,0.0,0,0.0
0210,2,10,1,0,0.0,1,100.0,0,0.0
0211,2,11,34,24,70.59,10,29.41,0,0.0
0212,2,12,42,29,69.05,13,30.95,0,0.0
0213,2,13,12,8,66.67,4,33.33,0,0.0
0214,2,14,10,6,60.0,4,40.0,0,0.0
0215,2,15,2,1,50.0,1,50.0,0,0.0
0216,2,16,34,20,58.82,14,41.18,0,0.0
0217,2,17,1,0,0.0,1,100.0,0,0.0
0218,2,18,37,24,64.86,13,35.14,0,0.0
0219,2,19,40,27,67.5,13,32.5,0,0.0
0220,2,20,5,2,40.0,3,60.0,0,0.0
0221,2,21,11,6,54.55,5,45.45,0,0.0
0222,2,22,33,19,57.58,14,42.42,0,0.0
0223,2,23,4,2,50.0,2,50.0,0,0.0
0224,2,24,17,8,47.06,9,52.94,0,0.0
0225,2,25,20,14,70.0,6,30.0,0,0.0
0226,2,26,17,12,70.59,5,29.41,0,0.0
0227,2,27,0,0,0.0,0,0.0,0,0.0
0228,2,28,23,15,65.22,8,34.78,0,0.0
0229,2,29,9,4,44.44,5,55.56,0,0.0
0230,2,30,38,26,68.42,12,31.58,0,0.0
0231,2,31,6,3,50.0,3,50.0,0,0.0
0232,2,32,12,8,66.67,4,33.33,0,0.0
0233,2,33,2,0,0.0,2,100.0,0,0.0
0234,2,34,4,4,100.0,0,0.0,0,0.0
0235,2,35,11,6,54.55,5,45.45,0,0.0
0236,2,36,21,13,61.9,8,38.1,0,0.0
0237,2,37,43,27,62.79,16,37.21,0,0.0
0238,2,38,53,30,56.6,23,43.4,0,0.0
0239,2,39,9,7,77.78,2,22.22,0,0.0
0240,2,40,45,31,68.89,14,31.11,0,0.0
0241,2,41,0,0,0.0,0,0.0,0,0.0
0242,2,42,1,0,0.0,1,100.0,0,0.0
0243,2,43,24,14,58.33,10,41.67,0,0.0
0244,2,44,5,3,60.0,2,40.0,0,0.0
0245,2,45,4,3,75.0,1,25.0,0,0.0
0246,2,46,2,0,0.0,2,100.0,0,0.0
0247,2,47,2,1,50.0,1,50.0,0,0.0
0248,2,48,1,0,0.0,1,100.0,0,0.0
0249,2,49,21,11,52.38,10,47.62,0,0.0
0250,2,50,10,7,70.0,3,30.0,0,0.0
0251,2,51,8,3,37.5,5,62.5,0,0.0
0252,2,52,4,2,50.0,2,50.0,0,0.0
0253,2,53,17,11,64.71,6,35.29,0,0.0
0254,2,54,25,16,64.0,9,36.0,0,0.0
0255,2,55,25,17,68.0,8,32.0,0,0.0
0256,2,56,1,1,100.0,0,0.0,0,0.0
0301,3,1,0,0,0.0,0,0.0,0,0.0
0302,3,2,0,0,0.0,0,0.0,0,0.0
0303,3,3,16,11,68.75,5,31.25,0,0.0
0304,3,4,0,0,0.0,0,0.0,0,0.0
0305,3,5,3,1,33.33,2,66.67,0,0.0
0306,3,6,2,0,0.0,2,100.0,0,0.0
0307,3,7,3,2,66.67,1,33.33,0,0.0
0308,3,8,2,1,50.0,1,50.0,0,0.0
0309,3,9,2,1,50.0,1,50.0,0,0.0
0310,3,10,1,0,0.0,1,100.0,0,0.0
0311,3,11,2,1,50.0,1,50.0,0,0.0
0312,3,12,4,1,25.0,3,75.0,0,0.0
