ward,precinct,total,No Candidate,No Candidate Percent
3318,33,18,0,0,0.0
3805,38,5,0,0,0.0
3807,38,7,0,0,0.0
3810,38,10,0,0,0.0
3820,38,20,0,0,0.0
3901,39,1,0,0,0.0
3902,39,2,0,0,0.0
3903,39,3,0,0,0.0
3904,39,4,0,0,0.0
3905,39,5,0,0,0.0
3906,39,6,0,0,0.0
3907,39,7,0,0,0.0
3908,39,8,0,0,0.0
3909,39,9,0,0,0.0
3910,39,10,0,0,0.0
3911,39,11,0,0,0.0
3912,39,12,0,0,0.0
3914,39,14,0,0,0.0
3915,39,15,0,0,0.0
3916,39,16,0,0,0.0
3917,39,17,0,0,0.0
3918,39,18,0,0,0.0
3919,39,19,0,0,0.0
3920,39,20,0,0,0.0
3921,39,21,0,0,0.0
3925,39,25,0,0,0.0
3926,39,26,0,0,0.0
3932,39,32,0,0,0.0
3933,39,33,0,0,0.0
3934,39,34,0,0,0.0
3935,39,35,0,0,0.0
3936,39,36,0,0,0.0
3937,39,37,0,0,0.0
3938,39,38,0,0,0.0
3939,39,39,0,0,0.0
3940,39,40,0,0,0.0
3941,39,41,0,0,0.0
3942,39,42,0,0,0.0
3943,39,43,0,0,0.0
3945,39,45,0,0,0.0
3947,39,47,0,0,0.0
4001,40,1,0,0,0.0
4002,40,2,0,0,0.0
4010,40,10,0,0,0.0
4017,40,17,0,0,0.0
4020,40,20,0,0,0.0
4024,40,24,0,0,0.0
4029,40,29,0,0,0.0
4030,40,30,0,0,0.0
4031,40,31,0,0,0.0
4032,40,32,0,0,0.0
4034,40,34,0,0,0.0
4038,40,38,0,0,0.0
4048,40,48,0,0,0.0
4049,40,49,0,0,0.0
4106,41,6,0,0,0.0
4110,41,10,0,0,0.0
4114,41,14,0,0,0.0
4119,41,19,0,0,0.0
4123,41,23,0,0,0.0
4139,41,39,0,0,0.0
4144,41,44,0,0,0.0
4147,41,47,0,0,0.0
4154,41,54,0,0,0.0
4157,41,57,0,0,0.0
4504,45,4,0,0,0.0
4505,45,5,0,0,0.0
4510,45,10,0,0,0.0
4512,45,12,0,0,0.0
4514,45,14,0,0,0.0
4524,45,24,0,0,0.0
4536,45,36,0,0,0.0
5025,50,25,0,0,0.0
5044,50,44,0,0,0.0
5045,50,45,0,0,0.0
