ward,precinct,total,Paloma Andrade,Paloma Andrade Percent
0313,3,13,0,0,0.0
0319,3,19,0,0,0.0
1101,11,1,0,0,0.0
1102,11,2,2,2,100.0
1103,11,3,0,0,0.0
1106,11,6,3,3,100.0
1110,11,10,0,0,0.0
1117,11,17,1,1,100.0
1130,11,30,1,1,100.0
1201,12,1,0,0,0.0
1202,12,2,1,1,100.0
1203,12,3,0,0,0.0
1204,12,4,0,0,0.0
1205,12,5,1,1,100.0
1206,12,6,0,0,0.0
1207,12,7,2,2,100.0
1208,12,8,0,0,0.0
1209,12,9,0,0,0.0
1210,12,10,1,1,100.0
1211,12,11,1,1,100.0
1212,12,12,0,0,0.0
1213,12,13,0,0,0.0
1214,12,14,1,1,100.0
1215,12,15,0,0,0.0
1216,12,16,0,0,0.0
1217,12,17,0,0,0.0
1218,12,18,1,1,100.0
1219,12,19,1,1,100.0
1220,12,20,1,1,100.0
1221,12,21,2,2,100.0
1222,12,22,3,3,100.0
1223,12,23,0,0,0.0
1224,12,24,2,2,100.0
1303,13,3,0,0,0.0
1305,13,5,0,0,0.0
1315,13,15,4,4,100.0
1316,13,16,1,1,100.0
1318,13,18,0,0,0.0
1320,13,20,0,0,0.0
1328,13,28,1,1,100.0
1330,13,30,1,1,100.0
1331,13,31,0,0,0.0
1333,13,33,1,1,100.0
1334,13,34,0,0,0.0
1335,13,35,0,0,0.0
1339,13,39,0,0,0.0
1340,13,40,0,0,0.0
1346,13,46,0,0,0.0
1401,14,1,2,2,100.0
1403,14,3,1,1,100.0
1404,14,4,0,0,0.0
1405,14,5,0,0,0.0
1406,14,6,0,0,0.0
1407,14,7,0,0,0.0
1408,14,8,0,0,0.0
1409,14,9,0,0,0.0
1410,14,10,1,1,100.0
1411,14,11,0,0,0.0
1412,14,12,0,0,0.0
1413,14,13,0,0,0.0
1414,14,14,0,0,0.0
1415,14,15,0,0,0.0
1416,14,16,2,2,100.0
1417,14,17,0,0,0.0
1418,14,18,1,1,100.0
1419,14,19,0,0,0.0
1420,14,20,0,0,0.0
1421,14,21,1,1,100.0
1422,14,22,0,0,0.0
1423,14,23,2,2,100.0
1424,14,24,2,2,100.0
1426,14,26,0,0,0.0
1427,14,27,0,0,0.0
1429,14,29,0,0,0.0
1430,14,30,1,1,100.0
1431,14,31,0,0,0.0
1432,14,32,2,2,100.0
1433,14,33,0,0,0.0
1434,14,34,0,0,0.0
1435,14,35,0,0,0.0
1501,15,1,0,0,0.0
1510,15,10,1,1,100.0
1514,15,14,0,0,0.0
1516,15,16,3,3,100.0
1525,15,25,0,0,0.0
1528,15,28,0,0,0.0
1532,15,32,0,0,0.0
1544,15,44,0,0,0.0
1549,15,49,0,0,0.0
1601,16,1,0,0,0.0
1604,16,4,0,0,0.0
1613,16,13,0,0,0.0
1617,16,17,0,0,0.0
1621,16,21,6,6,100.0
1623,16,23,0,0,0.0
1632,16,32,0,0,0.0
1635,16,35,0,0,0.0
1639,16,39,3,3,100.0
1642,16,42,1,1,100.0
1644,16,44,0,0,0.0
2004,20,4,1,1,100.0
2008,20,8,0,0,0.0
2015,20,15,0,0,0.0
2021,20,21,0,0,0.0
2041,20,41,0,0,0.0
2201,22,1,0,0,0.0
2202,22,2,3,3,100.0
2203,22,3,0,0,0.0
2204,22,4,0,0,0.0
2205,22,5,0,0,0.0
2206,22,6,0,0,0.0
2208,22,8,0,0,0.0
2209,22,9,0,0,0.0
2210,22,10,0,0,0.0
2211,22,11,2,2,100.0
2212,22,12,0,0,0.0
2213,22,13,1,1,100.0
2214,22,14,0,0,0.0
2215,22,15,0,0,0.0
2216,22,16,1,1,100.0
2217,22,17,0,0,0.0
2218,22,18,0,0,0.0
2220,22,20,0,0,0.0
2222,22,22,0,0,0.0
2223,22,23,0,0,0.0
2224,22,24,1,1,100.0
2225,22,25,0,0,0.0
2226,22,26,1,1,100.0
2227,22,27,0,0,0.0
2228,22,28,0,0,0.0
2229,22,29,0,0,0.0
2306,23,6,1,1,100.0
2309,23,9,1,1,100.0
2324,23,24,1,1,100.0
2329,23,29,1,1,100.0
2444,24,44,0,0,0.0
2453,24,53,1,1,100.0
2501,25,1,0,0,0.0
2502,25,2,2,2,100.0
2503,25,3,0,0,0.0
2505,25,5,3,3,100.0
2507,25,7,3,3,100.0
2508,25,8,1,1,100.0
2509,25,9,0,0,0.0
2511,25,11,3,3,100.0
2512,25,12,0,0,0.0
2513,25,13,0,0,0.0
2515,25,15,0,0,0.0
2517,25,17,1,1,100.0
2519,25,19,1,1,100.0
2520,25,20,0,0,0.0
2522,25,22,0,0,0.0
2523,25,23,2,2,100.0
2524,25,24,2,2,100.0
2529,25,29,0,0,0.0
2530,25,30,1,1,100.0
2531,25,31,1,1,100.0
2829,28,29,0,0,0.0
2834,28,34,0,0,0.0
2838,28,38,0,0,0.0
