ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Rosanna Pulido,Rosanna Pulido Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,David J Anderson,David J Anderson Percent
0107,1,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0128,1,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0142,1,42,2,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0
2902,29,2,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
2909,29,9,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33
2924,29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2930,29,30,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2932,29,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3001,30,1,5,1,20.0,0,0.0,0,0.0,1,20.0,1,20.0,2,40.0
3002,30,2,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0
3003,30,3,3,0,0.0,0,0.0,2,66.67,1,33.33,0,0.0,0,0.0
3006,30,6,5,0,0.0,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0
3007,30,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3008,30,8,6,3,50.0,0,0.0,0,0.0,2,33.33,0,0.0,1,16.67
3009,30,9,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
3010,30,10,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0
3011,30,11,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0
3012,30,12,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3013,30,13,11,0,0.0,1,9.09,2,18.18,2,18.18,2,18.18,4,36.36
3014,30,14,3,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0
3015,30,15,6,1,16.67,0,0.0,3,50.0,1,16.67,0,0.0,1,16.67
3016,30,16,8,3,37.5,0,0.0,2,25.0,1,12.5,2,25.0,0,0.0
3017,30,17,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
3025,30,25,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0
3028,30,28,3,1,33.33,0,0.0,0,0.0,2,66.67,0,0.0,0,0.0
3030,30,30,4,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,1,25.0
3034,30,34,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
