ward,precinct,total,Marianne Jackson,Marianne Jackson Percent
1106,11,6,528,528,100.0
1107,11,7,254,254,100.0
2219,22,19,0,0,0.0
2221,22,21,375,375,100.0
2401,24,1,271,271,100.0
2402,24,2,300,300,100.0
2403,24,3,350,350,100.0
2404,24,4,240,240,100.0
2405,24,5,178,178,100.0
2406,24,6,304,304,100.0
2408,24,8,145,145,100.0
2409,24,9,298,298,100.0
2410,24,10,141,141,100.0
2411,24,11,340,340,100.0
2412,24,12,203,203,100.0
2413,24,13,179,179,100.0
2414,24,14,270,270,100.0
2415,24,15,176,176,100.0
2417,24,17,219,219,100.0
2418,24,18,306,306,100.0
2419,24,19,361,361,100.0
2420,24,20,269,269,100.0
2421,24,21,180,180,100.0
2422,24,22,421,421,100.0
2423,24,23,281,281,100.0
2424,24,24,372,372,100.0
2425,24,25,236,236,100.0
2426,24,26,388,388,100.0
2427,24,27,311,311,100.0
2428,24,28,237,237,100.0
2429,24,29,218,218,100.0
2430,24,30,172,172,100.0
2431,24,31,340,340,100.0
2432,24,32,184,184,100.0
2433,24,33,199,199,100.0
2434,24,34,273,273,100.0
2435,24,35,306,306,100.0
2436,24,36,374,374,100.0
2437,24,37,202,202,100.0
2438,24,38,243,243,100.0
2440,24,40,309,309,100.0
2441,24,41,211,211,100.0
2503,25,3,494,494,100.0
2504,25,4,294,294,100.0
2510,25,10,546,546,100.0
2516,25,16,506,506,100.0
2520,25,20,239,239,100.0
2525,25,25,0,0,0.0
2527,25,27,277,277,100.0
2529,25,29,323,323,100.0
2531,25,31,669,669,100.0
2602,26,2,164,164,100.0
2610,26,10,160,160,100.0
2617,26,17,221,221,100.0
2631,26,31,0,0,0.0
2646,26,46,190,190,100.0
2702,27,2,348,348,100.0
2703,27,3,210,210,100.0
2704,27,4,216,216,100.0
2705,27,5,249,249,100.0
2708,27,8,297,297,100.0
2710,27,10,355,355,100.0
2714,27,14,212,212,100.0
2715,27,15,222,222,100.0
2716,27,16,415,415,100.0
2717,27,17,385,385,100.0
2718,27,18,259,259,100.0
2719,27,19,204,204,100.0
2722,27,22,205,205,100.0
2723,27,23,258,258,100.0
2724,27,24,232,232,100.0
2725,27,25,321,321,100.0
2726,27,26,258,258,100.0
2727,27,27,438,438,100.0
2729,27,29,256,256,100.0
2730,27,30,177,177,100.0
2731,27,31,271,271,100.0
2732,27,32,287,287,100.0
2733,27,33,254,254,100.0
2734,27,34,223,223,100.0
2736,27,36,273,273,100.0
2739,27,39,246,246,100.0
2741,27,41,307,307,100.0
2743,27,43,266,266,100.0
2744,27,44,257,257,100.0
2745,27,45,648,648,100.0
2749,27,49,270,270,100.0
2750,27,50,329,329,100.0
2801,28,1,266,266,100.0
2802,28,2,271,271,100.0
2803,28,3,263,263,100.0
2804,28,4,258,258,100.0
2805,28,5,147,147,100.0
2806,28,6,141,141,100.0
2807,28,7,338,338,100.0
2808,28,8,339,339,100.0
2809,28,9,303,303,100.0
2810,28,10,374,374,100.0
2811,28,11,614,614,100.0
2812,28,12,322,322,100.0
2813,28,13,243,243,100.0
2814,28,14,298,298,100.0
2815,28,15,96,96,100.0
2816,28,16,213,213,100.0
2817,28,17,272,272,100.0
2818,28,18,250,250,100.0
2819,28,19,271,271,100.0
2820,28,20,311,311,100.0
2821,28,21,273,273,100.0
2822,28,22,265,265,100.0
2823,28,23,388,388,100.0
2824,28,24,272,272,100.0
2825,28,25,369,369,100.0
2826,28,26,366,366,100.0
2827,28,27,299,299,100.0
2828,28,28,352,352,100.0
2829,28,29,169,169,100.0
2830,28,30,54,54,100.0
2831,28,31,374,374,100.0
2832,28,32,341,341,100.0
2833,28,33,346,346,100.0
2834,28,34,541,541,100.0
2835,28,35,363,363,100.0
2836,28,36,169,169,100.0
2837,28,37,403,403,100.0
2838,28,38,129,129,100.0
2839,28,39,231,231,100.0
2840,28,40,422,422,100.0
2841,28,41,256,256,100.0
2842,28,42,365,365,100.0
2843,28,43,370,370,100.0
2844,28,44,213,213,100.0
2845,28,45,334,334,100.0
2846,28,46,498,498,100.0
2902,29,2,510,510,100.0
2903,29,3,426,426,100.0
2904,29,4,421,421,100.0
2905,29,5,333,333,100.0
2906,29,6,320,320,100.0
2908,29,8,361,361,100.0
2911,29,11,225,225,100.0
2913,29,13,391,391,100.0
2914,29,14,347,347,100.0
2916,29,16,443,443,100.0
2918,29,18,411,411,100.0
2919,29,19,426,426,100.0
2920,29,20,480,480,100.0
2921,29,21,458,458,100.0
2922,29,22,265,265,100.0
2925,29,25,432,432,100.0
2926,29,26,357,357,100.0
2927,29,27,317,317,100.0
2928,29,28,457,457,100.0
2933,29,33,229,229,100.0
2934,29,34,219,219,100.0
2935,29,35,286,286,100.0
2937,29,37,351,351,100.0
2940,29,40,426,426,100.0
2941,29,41,329,329,100.0
2942,29,42,400,400,100.0
2944,29,44,468,468,100.0
3701,37,1,247,247,100.0
3703,37,3,280,280,100.0
3704,37,4,293,293,100.0
3705,37,5,348,348,100.0
3706,37,6,341,341,100.0
3707,37,7,222,222,100.0
3708,37,8,237,237,100.0
3709,37,9,383,383,100.0
3711,37,11,273,273,100.0
3713,37,13,270,270,100.0
3714,37,14,365,365,100.0
3715,37,15,380,380,100.0
3717,37,17,289,289,100.0
3718,37,18,305,305,100.0
3719,37,19,297,297,100.0
3720,37,20,302,302,100.0
3721,37,21,259,259,100.0
3722,37,22,19,19,100.0
3723,37,23,326,326,100.0
3724,37,24,48,48,100.0
3725,37,25,339,339,100.0
3727,37,27,361,361,100.0
3728,37,28,294,294,100.0
3729,37,29,343,343,100.0
3730,37,30,305,305,100.0
3731,37,31,353,353,100.0
3732,37,32,307,307,100.0
3733,37,33,327,327,100.0
3734,37,34,312,312,100.0
3735,37,35,374,374,100.0
3736,37,36,332,332,100.0
3737,37,37,384,384,100.0
3738,37,38,378,378,100.0
3739,37,39,312,312,100.0
3740,37,40,372,372,100.0
3741,37,41,167,167,100.0
4203,42,3,519,519,100.0
4212,42,12,136,136,100.0
4216,42,16,471,471,100.0
4218,42,18,551,551,100.0
4221,42,21,498,498,100.0
4236,42,36,603,603,100.0
4241,42,41,472,472,100.0
