ward,precinct,total,Trump & Pence,Trump & Pence Percent,Clinton & Kaine,Clinton & Kaine Percent,Johnson & Weld,Johnson & Weld Percent,Stein & Baraka,Stein & Baraka Percent
0101,1,1,618,48,7.77,533,86.25,17,2.75,20,3.24
0102,1,2,587,32,5.45,526,89.61,14,2.39,15,2.56
0103,1,3,729,60,8.23,626,85.87,27,3.7,16,2.19
0104,1,4,701,63,8.99,589,84.02,37,5.28,12,1.71
0105,1,5,706,66,9.35,606,85.84,23,3.26,11,1.56
0106,1,6,629,69,10.97,520,82.67,25,3.97,15,2.38
0107,1,7,444,30,6.76,388,87.39,18,4.05,8,1.8
0108,1,8,610,48,7.87,533,87.38,19,3.11,10,1.64
0109,1,9,529,44,8.32,455,86.01,17,3.21,13,2.46
0110,1,10,784,80,10.2,651,83.04,38,4.85,15,1.91
0111,1,11,703,71,10.1,595,84.64,21,2.99,16,2.28
0112,1,12,735,99,13.47,601,81.77,19,2.59,16,2.18
0113,1,13,278,27,9.71,237,85.25,6,2.16,8,2.88
0114,1,14,651,46,7.07,576,88.48,19,2.92,10,1.54
0115,1,15,576,54,9.38,493,85.59,16,2.78,13,2.26
0116,1,16,595,39,6.55,524,88.07,18,3.03,14,2.35
0117,1,17,551,34,6.17,488,88.57,13,2.36,16,2.9
0118,1,18,660,29,4.39,591,89.55,14,2.12,26,3.94
0119,1,19,780,38,4.87,705,90.38,15,1.92,22,2.82
0120,1,20,494,30,6.07,432,87.45,19,3.85,13,2.63
0121,1,21,750,53,7.07,652,86.93,34,4.53,11,1.47
0122,1,22,403,17,4.22,365,90.57,16,3.97,5,1.24
0123,1,23,818,55,6.72,716,87.53,19,2.32,28,3.42
0124,1,24,568,33,5.81,501,88.2,15,2.64,19,3.35
0125,1,25,588,47,7.99,505,85.88,17,2.89,19,3.23
0126,1,26,432,34,7.87,374,86.57,10,2.31,14,3.24
0127,1,27,655,51,7.79,568,86.72,29,4.43,7,1.07
0128,1,28,223,13,5.83,205,91.93,3,1.35,2,0.9
0129,1,29,613,45,7.34,537,87.6,19,3.1,12,1.96
0130,1,30,707,43,6.08,625,88.4,18,2.55,21,2.97
0131,1,31,635,39,6.14,559,88.03,18,2.83,19,2.99
0132,1,32,617,65,10.53,519,84.12,22,3.57,11,1.78
0133,1,33,705,80,11.35,589,83.55,28,3.97,8,1.13
0134,1,34,546,31,5.68,484,88.64,12,2.2,19,3.48
0135,1,35,794,86,10.83,648,81.61,30,3.78,30,3.78
0136,1,36,682,83,12.17,554,81.23,29,4.25,16,2.35
0137,1,37,641,95,14.82,510,79.56,24,3.74,12,1.87
0138,1,38,648,49,7.56,569,87.81,18,2.78,12,1.85
0139,1,39,546,65,11.9,458,83.88,14,2.56,9,1.65
0140,1,40,630,81,12.86,518,82.22,17,2.7,14,2.22
0141,1,41,343,20,5.83,306,89.21,8,2.33,9,2.62
0142,1,42,188,20,10.64,157,83.51,3,1.6,8,4.26
0143,1,43,410,38,9.27,343,83.66,20,4.88,9,2.2
0144,1,44,525,22,4.19,471,89.71,18,3.43,14,2.67
0201,2,1,703,74,10.53,591,84.07,32,4.55,6,0.85
0202,2,2,523,109,20.84,388,74.19,20,3.82,6,1.15
0203,2,3,764,60,7.85,655,85.73,34,4.45,15,1.96
0204,2,4,587,50,8.52,503,85.69,23,3.92,11,1.87
0205,2,5,773,76,9.83,629,81.37,50,6.47,18,2.33
0206,2,6,646,66,10.22,543,84.06,25,3.87,12,1.86
0207,2,7,633,74,11.69,524,82.78,28,4.42,7,1.11
0208,2,8,780,83,10.64,642,82.31,39,5.0,16,2.05
0209,2,9,605,134,22.15,436,72.07,30,4.96,5,0.83
0210,2,10,575,163,28.35,391,68.0,16,2.78,5,0.87
0211,2,11,649,138,21.26,483,74.42,22,3.39,6,0.92
0212,2,12,603,61,10.12,511,84.74,25,4.15,6,1.0
