ward,precinct,total,Juliana Stratton,Juliana Stratton Percent
0227,2,27,111,111,100.0
0229,2,29,193,193,100.0
0232,2,32,438,438,100.0
0236,2,36,409,409,100.0
0238,2,38,253,253,100.0
0239,2,39,315,315,100.0
0240,2,40,601,601,100.0
0241,2,41,416,416,100.0
0242,2,42,315,315,100.0
0243,2,43,686,686,100.0
0245,2,45,474,474,100.0
0301,3,1,482,482,100.0
0302,3,2,541,541,100.0
0303,3,3,10,10,100.0
0306,3,6,580,580,100.0
0307,3,7,367,367,100.0
0308,3,8,509,509,100.0
0309,3,9,530,530,100.0
0311,3,11,297,297,100.0
0312,3,12,299,299,100.0
0314,3,14,562,562,100.0
0315,3,15,559,559,100.0
0316,3,16,523,523,100.0
0317,3,17,641,641,100.0
0318,3,18,291,291,100.0
0320,3,20,549,549,100.0
0321,3,21,379,379,100.0
0322,3,22,725,725,100.0
0323,3,23,486,486,100.0
0324,3,24,481,481,100.0
0325,3,25,799,799,100.0
0327,3,27,284,284,100.0
0328,3,28,318,318,100.0
0329,3,29,522,522,100.0
0331,3,31,316,316,100.0
0332,3,32,616,616,100.0
0333,3,33,620,620,100.0
0334,3,34,647,647,100.0
0335,3,35,265,265,100.0
0336,3,36,180,180,100.0
0337,3,37,484,484,100.0
0338,3,38,426,426,100.0
0339,3,39,684,684,100.0
0340,3,40,589,589,100.0
0341,3,41,119,119,100.0
0402,4,2,635,635,100.0
0406,4,6,440,440,100.0
0411,4,11,125,125,100.0
0414,4,14,553,553,100.0
0416,4,16,601,601,100.0
0421,4,21,243,243,100.0
0425,4,25,587,587,100.0
0436,4,36,247,247,100.0
0438,4,38,157,157,100.0
0502,5,2,447,447,100.0
0512,5,12,405,405,100.0
0513,5,13,23,23,100.0
0530,5,30,66,66,100.0
0607,6,7,7,7,100.0
0701,7,1,89,89,100.0
0703,7,3,4,4,100.0
0801,8,1,336,336,100.0
0802,8,2,109,109,100.0
0809,8,9,292,292,100.0
0813,8,13,489,489,100.0
0816,8,16,163,163,100.0
0820,8,20,457,457,100.0
0821,8,21,581,581,100.0
0826,8,26,217,217,100.0
0828,8,28,458,458,100.0
0843,8,43,27,27,100.0
0854,8,54,248,248,100.0
0855,8,55,323,323,100.0
2001,20,1,464,464,100.0
2003,20,3,356,356,100.0
2007,20,7,450,450,100.0
2008,20,8,318,318,100.0
2010,20,10,366,366,100.0
2011,20,11,550,550,100.0
2012,20,12,375,375,100.0
2014,20,14,226,226,100.0
2018,20,18,346,346,100.0
2019,20,19,445,445,100.0
2023,20,23,504,504,100.0
2027,20,27,1,1,100.0
2030,20,30,220,220,100.0
2031,20,31,505,505,100.0
2033,20,33,298,298,100.0
2035,20,35,397,397,100.0
2037,20,37,155,155,100.0
2039,20,39,15,15,100.0
2738,27,38,161,161,100.0
4210,42,10,413,413,100.0
4214,42,14,426,426,100.0
4215,42,15,105,105,100.0
4219,42,19,363,363,100.0
4220,42,20,567,567,100.0
4222,42,22,273,273,100.0
4223,42,23,515,515,100.0
4225,42,25,544,544,100.0
4227,42,27,357,357,100.0
4232,42,32,546,546,100.0
4233,42,33,615,615,100.0
4239,42,39,604,604,100.0
4240,42,40,166,166,100.0
4242,42,42,881,881,100.0
