ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent
0301,3,1,131,131,100.0
0303,3,3,414,414,100.0
0305,3,5,383,383,100.0
0310,3,10,294,294,100.0
0313,3,13,590,590,100.0
0318,3,18,450,450,100.0
0326,3,26,569,569,100.0
0329,3,29,74,74,100.0
0336,3,36,146,146,100.0
0341,3,41,297,297,100.0
0413,4,13,621,621,100.0
0416,4,16,152,152,100.0
0417,4,17,676,676,100.0
0420,4,20,424,424,100.0
0421,4,21,476,476,100.0
0437,4,37,824,824,100.0
0615,6,15,148,148,100.0
0618,6,18,40,40,100.0
0628,6,28,86,86,100.0
1112,11,12,497,497,100.0
1113,11,13,476,476,100.0
1121,11,21,515,515,100.0
1124,11,24,470,470,100.0
1128,11,28,190,190,100.0
1129,11,29,439,439,100.0
1131,11,31,406,406,100.0
1132,11,32,184,184,100.0
1134,11,34,118,118,100.0
1135,11,35,81,81,100.0
1501,15,1,350,350,100.0
1502,15,2,303,303,100.0
1503,15,3,250,250,100.0
1505,15,5,70,70,100.0
1507,15,7,153,153,100.0
1513,15,13,89,89,100.0
1514,15,14,56,56,100.0
1517,15,17,303,303,100.0
1518,15,18,317,317,100.0
1520,15,20,261,261,100.0
1521,15,21,280,280,100.0
1522,15,22,33,33,100.0
1523,15,23,335,335,100.0
1524,15,24,330,330,100.0
1602,16,2,288,288,100.0
1603,16,3,313,313,100.0
1604,16,4,349,349,100.0
1605,16,5,315,315,100.0
1606,16,6,147,147,100.0
1608,16,8,266,266,100.0
1609,16,9,385,385,100.0
1610,16,10,326,326,100.0
1612,16,12,321,321,100.0
1614,16,14,330,330,100.0
1615,16,15,380,380,100.0
1617,16,17,130,130,100.0
1618,16,18,333,333,100.0
1619,16,19,329,329,100.0
1620,16,20,316,316,100.0
1621,16,21,304,304,100.0
1622,16,22,337,337,100.0
1625,16,25,380,380,100.0
1626,16,26,297,297,100.0
1627,16,27,317,317,100.0
1628,16,28,313,313,100.0
1630,16,30,57,57,100.0
1631,16,31,363,363,100.0
1633,16,33,18,18,100.0
1634,16,34,320,320,100.0
1636,16,36,274,274,100.0
1701,17,1,0,0,0.0
1706,17,6,382,382,100.0
1708,17,8,214,214,100.0
1716,17,16,46,46,100.0
1717,17,17,22,22,100.0
1725,17,25,320,320,100.0
1850,18,50,142,142,100.0
2002,20,2,185,185,100.0
2004,20,4,213,213,100.0
2006,20,6,224,224,100.0
2013,20,13,479,479,100.0
2015,20,15,430,430,100.0
2017,20,17,268,268,100.0
2020,20,20,365,365,100.0
2021,20,21,355,355,100.0
2025,20,25,344,344,100.0
2027,20,27,241,241,100.0
2029,20,29,496,496,100.0
2032,20,32,418,418,100.0
2036,20,36,169,169,100.0
2038,20,38,172,172,100.0
2039,20,39,36,36,100.0
2514,25,14,0,0,0.0
2521,25,21,792,792,100.0
2527,25,27,265,265,100.0
4205,42,5,433,433,100.0
4209,42,9,594,594,100.0
4210,42,10,257,257,100.0
4212,42,12,167,167,100.0
4214,42,14,205,205,100.0
4215,42,15,323,323,100.0
4217,42,17,720,720,100.0
4218,42,18,658,658,100.0
4221,42,21,409,409,100.0
4233,42,33,0,0,0.0
4236,42,36,510,510,100.0
4237,42,37,398,398,100.0
4238,42,38,480,480,100.0
4241,42,41,363,363,100.0
