ward,precinct,total,Lou Lang,Lou Lang Percent
4004,40,4,214,214,100.0
4010,40,10,372,372,100.0
4029,40,29,32,32,100.0
4035,40,35,3,3,100.0
4039,40,39,97,97,100.0
5001,50,1,389,389,100.0
5002,50,2,249,249,100.0
5003,50,3,330,330,100.0
5004,50,4,421,421,100.0
5005,50,5,261,261,100.0
5006,50,6,416,416,100.0
5007,50,7,452,452,100.0
5008,50,8,76,76,100.0
5009,50,9,322,322,100.0
5010,50,10,409,409,100.0
5011,50,11,278,278,100.0
5012,50,12,163,163,100.0
5013,50,13,500,500,100.0
5014,50,14,109,109,100.0
5015,50,15,430,430,100.0
5016,50,16,122,122,100.0
5017,50,17,358,358,100.0
5018,50,18,88,88,100.0
5019,50,19,255,255,100.0
5020,50,20,418,418,100.0
5021,50,21,332,332,100.0
5022,50,22,299,299,100.0
5023,50,23,249,249,100.0
5025,50,25,296,296,100.0
5026,50,26,442,442,100.0
5027,50,27,104,104,100.0
5028,50,28,402,402,100.0
5029,50,29,453,453,100.0
5030,50,30,285,285,100.0
5031,50,31,492,492,100.0
5032,50,32,481,481,100.0
5033,50,33,301,301,100.0
5034,50,34,505,505,100.0
5035,50,35,484,484,100.0
5036,50,36,337,337,100.0
5037,50,37,416,416,100.0
5038,50,38,162,162,100.0
5039,50,39,291,291,100.0
5040,50,40,378,378,100.0
