ward,precinct,total,Andy Kirchoff,Andy Kirchoff Percent,Elizabeth Hernandez,Elizabeth Hernandez Percent
1216,12,16,14,1,7.14,13,92.86
2203,22,3,613,31,5.06,582,94.94
2204,22,4,212,10,4.72,202,95.28
2205,22,5,442,23,5.2,419,94.8
2206,22,6,444,35,7.88,409,92.12
2207,22,7,275,18,6.55,257,93.45
2209,22,9,402,22,5.47,380,94.53
2210,22,10,9,0,0.0,9,100.0
2211,22,11,395,25,6.33,370,93.67
2213,22,13,180,16,8.89,164,91.11
2215,22,15,78,6,7.69,72,92.31
2216,22,16,27,3,11.11,24,88.89
2217,22,17,401,31,7.73,370,92.27
2218,22,18,196,12,6.12,184,93.88
2220,22,20,430,28,6.51,402,93.49
2224,22,24,525,37,7.05,488,92.95
2225,22,25,436,18,4.13,418,95.87
