ward,precinct,total,Eileen O'Neill Burke,Eileen O'Neill Burke Percent
0101,1,1,472,472,100.0
0102,1,2,448,448,100.0
0103,1,3,546,546,100.0
0104,1,4,522,522,100.0
0105,1,5,503,503,100.0
0106,1,6,447,447,100.0
0107,1,7,341,341,100.0
0108,1,8,417,417,100.0
0109,1,9,373,373,100.0
0110,1,10,580,580,100.0
0111,1,11,516,516,100.0
0112,1,12,519,519,100.0
0113,1,13,196,196,100.0
0114,1,14,487,487,100.0
0115,1,15,407,407,100.0
0116,1,16,461,461,100.0
0117,1,17,402,402,100.0
0118,1,18,494,494,100.0
0119,1,19,601,601,100.0
0120,1,20,388,388,100.0
0121,1,21,547,547,100.0
0122,1,22,312,312,100.0
0123,1,23,635,635,100.0
0124,1,24,412,412,100.0
0125,1,25,423,423,100.0
0126,1,26,316,316,100.0
0127,1,27,474,474,100.0
0128,1,28,133,133,100.0
0129,1,29,459,459,100.0
0130,1,30,518,518,100.0
0131,1,31,465,465,100.0
0132,1,32,442,442,100.0
0133,1,33,502,502,100.0
0134,1,34,430,430,100.0
0135,1,35,580,580,100.0
0136,1,36,501,501,100.0
0137,1,37,459,459,100.0
0138,1,38,462,462,100.0
0139,1,39,389,389,100.0
0140,1,40,453,453,100.0
0141,1,41,258,258,100.0
0142,1,42,153,153,100.0
0143,1,43,298,298,100.0
0144,1,44,424,424,100.0
0201,2,1,525,525,100.0
0202,2,2,347,347,100.0
0203,2,3,554,554,100.0
0204,2,4,415,415,100.0
0205,2,5,568,568,100.0
0206,2,6,492,492,100.0
0207,2,7,459,459,100.0
0208,2,8,553,553,100.0
0209,2,9,385,385,100.0
0210,2,10,341,341,100.0
0211,2,11,414,414,100.0
0212,2,12,427,427,100.0
0213,2,13,398,398,100.0
0214,2,14,489,489,100.0
0215,2,15,449,449,100.0
0216,2,16,462,462,100.0
0217,2,17,557,557,100.0
0218,2,18,452,452,100.0
0219,2,19,267,267,100.0
0220,2,20,548,548,100.0
0221,2,21,482,482,100.0
0222,2,22,473,473,100.0
0223,2,23,279,279,100.0
0224,2,24,452,452,100.0
0225,2,25,540,540,100.0
0226,2,26,400,400,100.0
0227,2,27,410,410,100.0
0228,2,28,536,536,100.0
0229,2,29,501,501,100.0
0230,2,30,384,384,100.0
0231,2,31,529,529,100.0
0232,2,32,407,407,100.0
0233,2,33,653,653,100.0
0234,2,34,348,348,100.0
0235,2,35,607,607,100.0
0236,2,36,351,351,100.0
0237,2,37,418,418,100.0
0238,2,38,397,397,100.0
0239,2,39,295,295,100.0
