ward,precinct,total,D. Renee Jackson,D. Renee Jackson Percent
0901,9,1,355,355,100.0
0902,9,2,317,317,100.0
0903,9,3,262,262,100.0
0904,9,4,279,279,100.0
0905,9,5,313,313,100.0
0906,9,6,343,343,100.0
0907,9,7,241,241,100.0
0908,9,8,388,388,100.0
0909,9,9,385,385,100.0
0910,9,10,279,279,100.0
0911,9,11,257,257,100.0
0913,9,13,16,16,100.0
0914,9,14,62,62,100.0
0915,9,15,331,331,100.0
0916,9,16,330,330,100.0
0917,9,17,272,272,100.0
0918,9,18,246,246,100.0
0919,9,19,334,334,100.0
0920,9,20,345,345,100.0
0921,9,21,312,312,100.0
0922,9,22,359,359,100.0
0926,9,26,448,448,100.0
0927,9,27,302,302,100.0
0928,9,28,243,243,100.0
0929,9,29,306,306,100.0
0930,9,30,277,277,100.0
0931,9,31,269,269,100.0
0932,9,32,334,334,100.0
0933,9,33,267,267,100.0
0934,9,34,297,297,100.0
0935,9,35,131,131,100.0
0937,9,37,378,378,100.0
0938,9,38,343,343,100.0
0939,9,39,393,393,100.0
0940,9,40,369,369,100.0
0941,9,41,284,284,100.0
0943,9,43,338,338,100.0
0944,9,44,283,283,100.0
0945,9,45,314,314,100.0
0946,9,46,361,361,100.0
1928,19,28,278,278,100.0
1943,19,43,155,155,100.0
2101,21,1,324,324,100.0
2102,21,2,94,94,100.0
2103,21,3,374,374,100.0
2105,21,5,392,392,100.0
2106,21,6,311,311,100.0
2107,21,7,352,352,100.0
2108,21,8,374,374,100.0
2109,21,9,373,373,100.0
2110,21,10,328,328,100.0
2111,21,11,312,312,100.0
2112,21,12,330,330,100.0
2113,21,13,212,212,100.0
2114,21,14,397,397,100.0
2116,21,16,297,297,100.0
2117,21,17,166,166,100.0
2118,21,18,393,393,100.0
2119,21,19,379,379,100.0
2120,21,20,36,36,100.0
2121,21,21,303,303,100.0
2122,21,22,331,331,100.0
2123,21,23,331,331,100.0
2124,21,24,366,366,100.0
2125,21,25,311,311,100.0
2127,21,27,355,355,100.0
2129,21,29,373,373,100.0
2132,21,32,337,337,100.0
2133,21,33,203,203,100.0
2134,21,34,265,265,100.0
2135,21,35,364,364,100.0
2136,21,36,374,374,100.0
2137,21,37,285,285,100.0
2138,21,38,381,381,100.0
2139,21,39,278,278,100.0
2140,21,40,301,301,100.0
2141,21,41,324,324,100.0
2142,21,42,390,390,100.0
2144,21,44,193,193,100.0
2145,21,45,320,320,100.0
2146,21,46,377,377,100.0
2148,21,48,118,118,100.0
2149,21,49,382,382,100.0
2150,21,50,303,303,100.0
2152,21,52,38,38,100.0
3401,34,1,394,394,100.0
3402,34,2,270,270,100.0
3403,34,3,391,391,100.0
3404,34,4,282,282,100.0
3405,34,5,329,329,100.0
3406,34,6,410,410,100.0
3407,34,7,402,402,100.0
3408,34,8,285,285,100.0
3409,34,9,301,301,100.0
3410,34,10,373,373,100.0
3411,34,11,322,322,100.0
3412,34,12,370,370,100.0
3413,34,13,375,375,100.0
3414,34,14,298,298,100.0
3415,34,15,361,361,100.0
3416,34,16,321,321,100.0
3418,34,18,262,262,100.0
3419,34,19,327,327,100.0
3420,34,20,408,408,100.0
3421,34,21,436,436,100.0
3422,34,22,328,328,100.0
3423,34,23,290,290,100.0
3424,34,24,322,322,100.0
3425,34,25,400,400,100.0
3426,34,26,414,414,100.0
3427,34,27,327,327,100.0
3428,34,28,231,231,100.0
3429,34,29,291,291,100.0
3430,34,30,302,302,100.0
3431,34,31,323,323,100.0
3432,34,32,371,371,100.0
3433,34,33,334,334,100.0
3434,34,34,385,385,100.0
3435,34,35,420,420,100.0
3436,34,36,315,315,100.0
3437,34,37,260,260,100.0
3438,34,38,189,189,100.0
3439,34,39,274,274,100.0
3440,34,40,397,397,100.0
3441,34,41,263,263,100.0
3442,34,42,344,344,100.0
3443,34,43,335,335,100.0
3444,34,44,358,358,100.0
3445,34,45,370,370,100.0
3446,34,46,244,244,100.0
3447,34,47,366,366,100.0
3448,34,48,399,399,100.0
3449,34,49,266,266,100.0
3450,34,50,332,332,100.0
3451,34,51,390,390,100.0
3452,34,52,265,265,100.0
3453,34,53,269,269,100.0
