ward,precinct,total,Edward A. Arce,Edward A. Arce Percent
0228,2,28,38,38,100.0
0313,3,13,147,147,100.0
0319,3,19,87,87,100.0
0347,3,47,5,5,100.0
1101,11,1,263,263,100.0
1102,11,2,228,228,100.0
1103,11,3,190,190,100.0
1104,11,4,234,234,100.0
1105,11,5,164,164,100.0
1106,11,6,272,272,100.0
1107,11,7,192,192,100.0
1108,11,8,200,200,100.0
1109,11,9,140,140,100.0
1110,11,10,147,147,100.0
1111,11,11,347,347,100.0
1116,11,16,267,267,100.0
1117,11,17,342,342,100.0
1118,11,18,153,153,100.0
1119,11,19,206,206,100.0
1120,11,20,152,152,100.0
1121,11,21,204,204,100.0
1122,11,22,165,165,100.0
1123,11,23,156,156,100.0
1124,11,24,345,345,100.0
1125,11,25,228,228,100.0
1126,11,26,307,307,100.0
1129,11,29,233,233,100.0
1130,11,30,213,213,100.0
1133,11,33,135,135,100.0
1135,11,35,244,244,100.0
1137,11,37,236,236,100.0
1138,11,38,275,275,100.0
1140,11,40,122,122,100.0
1141,11,41,116,116,100.0
1142,11,42,69,69,100.0
1144,11,44,216,216,100.0
1150,11,50,145,145,100.0
1201,12,1,111,111,100.0
1202,12,2,151,151,100.0
1203,12,3,176,176,100.0
1204,12,4,128,128,100.0
1205,12,5,168,168,100.0
1206,12,6,132,132,100.0
1207,12,7,221,221,100.0
1208,12,8,289,289,100.0
1209,12,9,134,134,100.0
1210,12,10,191,191,100.0
1211,12,11,271,271,100.0
1212,12,12,165,165,100.0
1213,12,13,251,251,100.0
1214,12,14,175,175,100.0
1215,12,15,123,123,100.0
1216,12,16,170,170,100.0
1217,12,17,167,167,100.0
1218,12,18,201,201,100.0
1219,12,19,248,248,100.0
1220,12,20,164,164,100.0
1221,12,21,205,205,100.0
1222,12,22,146,146,100.0
1223,12,23,185,185,100.0
1224,12,24,209,209,100.0
1405,14,5,237,237,100.0
1407,14,7,174,174,100.0
1408,14,8,140,140,100.0
1410,14,10,204,204,100.0
1411,14,11,148,148,100.0
1412,14,12,164,164,100.0
1414,14,14,176,176,100.0
1415,14,15,233,233,100.0
1416,14,16,210,210,100.0
1417,14,17,165,165,100.0
1418,14,18,204,204,100.0
1419,14,19,266,266,100.0
1420,14,20,170,170,100.0
1421,14,21,166,166,100.0
1422,14,22,239,239,100.0
1423,14,23,267,267,100.0
1424,14,24,120,120,100.0
1426,14,26,232,232,100.0
1429,14,29,216,216,100.0
1430,14,30,168,168,100.0
1431,14,31,181,181,100.0
1432,14,32,128,128,100.0
1433,14,33,137,137,100.0
1434,14,34,178,178,100.0
1435,14,35,232,232,100.0
1506,15,6,233,233,100.0
1509,15,9,234,234,100.0
1511,15,11,268,268,100.0
1513,15,13,166,166,100.0
1515,15,15,216,216,100.0
1522,15,22,287,287,100.0
1524,15,24,183,183,100.0
1525,15,25,257,257,100.0
1527,15,27,169,169,100.0
1529,15,29,107,107,100.0
1530,15,30,228,228,100.0
1532,15,32,238,238,100.0
1538,15,38,183,183,100.0
1544,15,44,211,211,100.0
1545,15,45,142,142,100.0
1548,15,48,131,131,100.0
1549,15,49,187,187,100.0
1550,15,50,154,154,100.0
1601,16,1,170,170,100.0
1602,16,2,152,152,100.0
1604,16,4,177,177,100.0
1607,16,7,210,210,100.0
1611,16,11,227,227,100.0
1613,16,13,180,180,100.0
1621,16,21,218,218,100.0
1623,16,23,200,200,100.0
1632,16,32,184,184,100.0
1635,16,35,249,249,100.0
1639,16,39,48,48,100.0
1642,16,42,196,196,100.0
1644,16,44,215,215,100.0
2004,20,4,208,208,100.0
2008,20,8,74,74,100.0
2015,20,15,202,202,100.0
2021,20,21,124,124,100.0
2041,20,41,89,89,100.0
2201,22,1,147,147,100.0
2202,22,2,139,139,100.0
2203,22,3,210,210,100.0
2204,22,4,173,173,100.0
2205,22,5,203,203,100.0
2206,22,6,159,159,100.0
2208,22,8,161,161,100.0
2209,22,9,216,216,100.0
2210,22,10,186,186,100.0
2211,22,11,173,173,100.0
2212,22,12,135,135,100.0
2213,22,13,223,223,100.0
2214,22,14,145,145,100.0
2215,22,15,159,159,100.0
2216,22,16,195,195,100.0
2217,22,17,204,204,100.0
2218,22,18,190,190,100.0
2219,22,19,174,174,100.0
2220,22,20,192,192,100.0
2222,22,22,158,158,100.0
2223,22,23,191,191,100.0
2224,22,24,143,143,100.0
2225,22,25,147,147,100.0
2226,22,26,127,127,100.0
2227,22,27,236,236,100.0
2228,22,28,143,143,100.0
2229,22,29,132,132,100.0
2331,23,31,233,233,100.0
2410,24,10,6,6,100.0
2444,24,44,272,272,100.0
2453,24,53,221,221,100.0
2501,25,1,267,267,100.0
2502,25,2,363,363,100.0
2503,25,3,114,114,100.0
2505,25,5,245,245,100.0
2506,25,6,184,184,100.0
2507,25,7,240,240,100.0
2508,25,8,275,275,100.0
2509,25,9,348,348,100.0
2511,25,11,313,313,100.0
2512,25,12,283,283,100.0
2513,25,13,292,292,100.0
2515,25,15,261,261,100.0
2517,25,17,400,400,100.0
2519,25,19,269,269,100.0
2520,25,20,336,336,100.0
2522,25,22,168,168,100.0
2523,25,23,313,313,100.0
2524,25,24,349,349,100.0
2525,25,25,180,180,100.0
2527,25,27,221,221,100.0
2529,25,29,232,232,100.0
2530,25,30,275,275,100.0
2531,25,31,185,185,100.0
2829,28,29,229,229,100.0
2834,28,34,45,45,100.0
2838,28,38,107,107,100.0
2853,28,53,153,153,100.0
