ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Antoine Members,Antoine Members Percent
0214,2,14,404,380,94.06,24,5.94
0220,2,20,346,323,93.35,23,6.65
0231,2,31,420,408,97.14,12,2.86
0244,2,44,276,261,94.57,15,5.43
0246,2,46,516,494,95.74,22,4.26
0305,3,5,332,311,93.67,21,6.33
0307,3,7,368,358,97.28,10,2.72
0320,3,20,110,104,94.55,6,5.45
0323,3,23,61,61,100.0,0,0.0
0330,3,30,302,298,98.68,4,1.32
0334,3,34,317,305,96.21,12,3.79
0336,3,36,19,19,100.0,0,0.0
0338,3,38,458,450,98.25,8,1.75
0341,3,41,310,281,90.65,29,9.35
0344,3,44,173,169,97.69,4,2.31
0349,3,49,12,12,100.0,0,0.0
0401,4,1,741,671,90.55,70,9.45
0402,4,2,629,598,95.07,31,4.93
0403,4,3,595,578,97.14,17,2.86
0408,4,8,563,544,96.63,19,3.37
0409,4,9,686,666,97.08,20,2.92
0412,4,12,275,268,97.45,7,2.55
0413,4,13,345,323,93.62,22,6.38
0416,4,16,595,584,98.15,11,1.85
0417,4,17,493,431,87.42,62,12.58
0418,4,18,518,504,97.3,14,2.7
0419,4,19,524,509,97.14,15,2.86
0420,4,20,324,319,98.46,5,1.54
0421,4,21,551,519,94.19,32,5.81
0422,4,22,524,500,95.42,24,4.58
0423,4,23,362,327,90.33,35,9.67
0424,4,24,520,486,93.46,34,6.54
0426,4,26,554,542,97.83,12,2.17
0428,4,28,313,281,89.78,32,10.22
0429,4,29,376,348,92.55,28,7.45
0431,4,31,324,298,91.98,26,8.02
0432,4,32,496,447,90.12,49,9.88
0433,4,33,404,393,97.28,11,2.72
0434,4,34,341,302,88.56,39,11.44
0437,4,37,92,90,97.83,2,2.17
0438,4,38,641,601,93.76,40,6.24
0439,4,39,361,351,97.23,10,2.77
0440,4,40,511,490,95.89,21,4.11
0441,4,41,261,233,89.27,28,10.73
0442,4,42,82,82,100.0,0,0.0
0443,4,43,320,294,91.88,26,8.13
0444,4,44,320,296,92.5,24,7.5
0445,4,45,582,553,95.02,29,4.98
0446,4,46,366,355,96.99,11,3.01
0447,4,47,688,646,93.9,42,6.1
0448,4,48,489,450,92.02,39,7.98
0449,4,49,326,323,99.08,3,0.92
0450,4,50,432,425,98.38,7,1.62
0451,4,51,446,432,96.86,14,3.14
0452,4,52,548,539,98.36,9,1.64
0502,5,2,428,421,98.36,7,1.64
0503,5,3,241,228,94.61,13,5.39
0505,5,5,479,476,99.37,3,0.63
0508,5,8,518,464,89.58,54,10.42
0509,5,9,434,426,98.16,8,1.84
0510,5,10,445,438,98.43,7,1.57
0512,5,12,327,322,98.47,5,1.53
0513,5,13,423,405,95.74,18,4.26
0515,5,15,355,321,90.42,34,9.58
0516,5,16,390,384,98.46,6,1.54
0517,5,17,497,488,98.19,9,1.81
0518,5,18,471,458,97.24,13,2.76
0519,5,19,273,268,98.17,5,1.83
0520,5,20,288,287,99.65,1,0.35
0522,5,22,422,416,98.58,6,1.42
0523,5,23,329,320,97.26,9,2.74
0525,5,25,490,485,98.98,5,1.02
0527,5,27,621,538,86.63,83,13.37
0530,5,30,373,320,85.79,53,14.21
0533,5,33,252,247,98.02,5,1.98
0535,5,35,366,323,88.25,43,11.75
0539,5,39,474,428,90.3,46,9.7
0541,5,41,382,345,90.31,37,9.69
0545,5,45,251,247,98.41,4,1.59
0548,5,48,296,269,90.88,27,9.12
0550,5,50,381,377,98.95,4,1.05
0551,5,51,364,359,98.63,5,1.37
0552,5,52,103,95,92.23,8,7.77
0553,5,53,436,405,92.89,31,7.11
0555,5,55,390,382,97.95,8,2.05
0601,6,1,473,468,98.94,5,1.06
0602,6,2,471,468,99.36,3,0.64
0603,6,3,478,469,98.12,9,1.88
0604,6,4,425,420,98.82,5,1.18
0605,6,5,299,297,99.33,2,0.67
0606,6,6,353,351,99.43,2,0.57
0607,6,7,507,498,98.22,9,1.78
0608,6,8,521,513,98.46,8,1.54
0609,6,9,384,377,98.18,7,1.82
0610,6,10,513,505,98.44,8,1.56
0611,6,11,437,428,97.94,9,2.06
0612,6,12,481,474,98.54,7,1.46
0613,6,13,399,394,98.75,5,1.25
0614,6,14,529,518,97.92,11,2.08
0615,6,15,325,321,98.77,4,1.23
0616,6,16,478,466,97.49,12,2.51
0617,6,17,480,472,98.33,8,1.67
0618,6,18,348,346,99.43,2,0.57
0619,6,19,521,511,98.08,10,1.92
0620,6,20,448,440,98.21,8,1.79
0623,6,23,374,368,98.4,6,1.6
0624,6,24,463,454,98.06,9,1.94
0625,6,25,353,351,99.43,2,0.57
0626,6,26,490,479,97.76,11,2.24
