ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Daniel Cunningham,Daniel Cunningham Percent,Omar N. LÃ³pez,Omar N. LÃ³pez Percent
0101,1,1,206,156,75.73,30,14.56,20,9.71
0102,1,2,532,397,74.62,85,15.98,50,9.4
0103,1,3,427,333,77.99,54,12.65,40,9.37
0104,1,4,444,327,73.65,67,15.09,50,11.26
0105,1,5,560,428,76.43,86,15.36,46,8.21
0107,1,7,425,292,68.71,111,26.12,22,5.18
0108,1,8,497,380,76.46,68,13.68,49,9.86
0109,1,9,380,283,74.47,47,12.37,50,13.16
0110,1,10,552,392,71.01,97,17.57,63,11.41
0111,1,11,366,275,75.14,61,16.67,30,8.2
0112,1,12,633,450,71.09,138,21.8,45,7.11
0113,1,13,564,446,79.08,51,9.04,67,11.88
0114,1,14,426,341,80.05,46,10.8,39,9.15
0115,1,15,336,292,86.9,18,5.36,26,7.74
0116,1,16,164,155,94.51,8,4.88,1,0.61
0117,1,17,391,296,75.7,53,13.55,42,10.74
0118,1,18,420,330,78.57,42,10.0,48,11.43
0119,1,19,306,230,75.16,46,15.03,30,9.8
0120,1,20,431,333,77.26,57,13.23,41,9.51
0121,1,21,398,291,73.12,87,21.86,20,5.03
0122,1,22,386,319,82.64,24,6.22,43,11.14
0123,1,23,378,276,73.02,60,15.87,42,11.11
0124,1,24,576,431,74.83,59,10.24,86,14.93
0125,1,25,381,288,75.59,64,16.8,29,7.61
0126,1,26,474,322,67.93,108,22.78,44,9.28
0127,1,27,336,253,75.3,64,19.05,19,5.65
0128,1,28,81,71,87.65,8,9.88,2,2.47
0129,1,29,474,350,73.84,76,16.03,48,10.13
0130,1,30,631,500,79.24,69,10.94,62,9.83
0131,1,31,658,433,65.81,186,28.27,39,5.93
0132,1,32,434,331,76.27,66,15.21,37,8.53
0133,1,33,485,373,76.91,79,16.29,33,6.8
0134,1,34,333,257,77.18,44,13.21,32,9.61
0135,1,35,460,330,71.74,101,21.96,29,6.3
0136,1,36,503,364,72.37,90,17.89,49,9.74
0137,1,37,408,325,79.66,48,11.76,35,8.58
0138,1,38,286,229,80.07,36,12.59,21,7.34
0139,1,39,482,400,82.99,50,10.37,32,6.64
0140,1,40,226,175,77.43,35,15.49,16,7.08
0141,1,41,381,283,74.28,65,17.06,33,8.66
0142,1,42,190,145,76.32,32,16.84,13,6.84
0143,1,43,370,291,78.65,62,16.76,17,4.59
0144,1,44,46,33,71.74,5,10.87,8,17.39
0145,1,45,455,366,80.44,43,9.45,46,10.11
0146,1,46,473,354,74.84,77,16.28,42,8.88
0147,1,47,504,366,72.62,99,19.64,39,7.74
0148,1,48,268,195,72.76,44,16.42,29,10.82
0149,1,49,326,242,74.23,54,16.56,30,9.2
0150,1,50,379,287,75.73,57,15.04,35,9.23
0313,3,13,250,218,87.2,24,9.6,8,3.2
1101,11,1,47,35,74.47,8,17.02,4,8.51
1103,11,3,282,237,84.04,32,11.35,13,4.61
1110,11,10,220,175,79.55,31,14.09,14,6.36
1118,11,18,34,25,73.53,3,8.82,6,17.65
1126,11,26,20,19,95.0,1,5.0,0,0.0
1130,11,30,0,0,0.0,0,0.0,0,0.0
1201,12,1,171,148,86.55,14,8.19,9,5.26
1202,12,2,267,221,82.77,33,12.36,13,4.87
1203,12,3,285,231,81.05,35,12.28,19,6.67
1204,12,4,200,167,83.5,19,9.5,14,7.0
1205,12,5,258,219,84.88,27,10.47,12,4.65
1206,12,6,155,137,88.39,4,2.58,14,9.03
1207,12,7,347,299,86.17,16,4.61,32,9.22
1208,12,8,424,346,81.6,54,12.74,24,5.66
1209,12,9,239,212,88.7,15,6.28,12,5.02
1210,12,10,280,232,82.86,35,12.5,13,4.64
1211,12,11,391,353,90.28,22,5.63,16,4.09
1212,12,12,265,214,80.75,34,12.83,17,6.42
1213,12,13,407,337,82.8,49,12.04,21,5.16
1214,12,14,294,241,81.97,37,12.59,16,5.44
1215,12,15,227,203,89.43,6,2.64,18,7.93
1216,12,16,263,233,88.59,18,6.84,12,4.56
1217,12,17,265,231,87.17,21,7.92,13,4.91
1218,12,18,264,221,83.71,10,3.79,33,12.5
1219,12,19,387,321,82.95,41,10.59,25,6.46
1220,12,20,253,221,87.35,20,7.91,12,4.74
1221,12,21,329,273,82.98,39,11.85,17,5.17
1222,12,22,220,178,80.91,16,7.27,26,11.82
1223,12,23,289,259,89.62,21,7.27,9,3.11
1224,12,24,305,250,81.97,37,12.13,18,5.9
1303,13,3,459,363,79.08,81,17.65,15,3.27
1401,14,1,207,180,86.96,19,9.18,8,3.86
1403,14,3,362,330,91.16,22,6.08,10,2.76
1404,14,4,253,206,81.42,28,11.07,19,7.51
1405,14,5,412,387,93.93,12,2.91,13,3.16
1406,14,6,269,232,86.25,27,10.04,10,3.72
1407,14,7,257,207,80.54,41,15.95,9,3.5
1408,14,8,198,176,88.89,15,7.58,7,3.54
1409,14,9,285,259,90.88,21,7.37,5,1.75
1410,14,10,312,248,79.49,46,14.74,18,5.77
