ward,precinct,total,William ''Willie'' Delgado,William ''Willie'' Delgado Percent
0101,1,1,399,399,100.0
0102,1,2,413,413,100.0
0103,1,3,357,357,100.0
0104,1,4,356,356,100.0
0105,1,5,427,427,100.0
0110,1,10,439,439,100.0
0111,1,11,315,315,100.0
0114,1,14,344,344,100.0
0115,1,15,270,270,100.0
0117,1,17,328,328,100.0
0118,1,18,320,320,100.0
0121,1,21,301,301,100.0
0122,1,22,310,310,100.0
0123,1,23,302,302,100.0
0125,1,25,302,302,100.0
0126,1,26,374,374,100.0
0127,1,27,240,240,100.0
0132,1,32,210,210,100.0
0133,1,33,369,369,100.0
0135,1,35,64,64,100.0
0136,1,36,396,396,100.0
0137,1,37,333,333,100.0
0140,1,40,175,175,100.0
0143,1,43,283,283,100.0
0144,1,44,152,152,100.0
0145,1,45,356,356,100.0
0146,1,46,375,375,100.0
0147,1,47,398,398,100.0
0148,1,48,191,191,100.0
0149,1,49,258,258,100.0
0150,1,50,298,298,100.0
2601,26,1,201,201,100.0
2602,26,2,245,245,100.0
2603,26,3,218,218,100.0
2604,26,4,186,186,100.0
2605,26,5,284,284,100.0
2606,26,6,143,143,100.0
2607,26,7,181,181,100.0
2609,26,9,181,181,100.0
2610,26,10,160,160,100.0
2611,26,11,195,195,100.0
2612,26,12,171,171,100.0
2613,26,13,199,199,100.0
2614,26,14,199,199,100.0
2615,26,15,213,213,100.0
2616,26,16,164,164,100.0
2618,26,18,157,157,100.0
2620,26,20,332,332,100.0
2621,26,21,288,288,100.0
2622,26,22,174,174,100.0
2623,26,23,181,181,100.0
2624,26,24,213,213,100.0
2625,26,25,89,89,100.0
2626,26,26,176,176,100.0
2627,26,27,211,211,100.0
2628,26,28,202,202,100.0
2629,26,29,237,237,100.0
2630,26,30,237,237,100.0
2631,26,31,178,178,100.0
2632,26,32,289,289,100.0
2635,26,35,256,256,100.0
2636,26,36,199,199,100.0
2637,26,37,134,134,100.0
2638,26,38,216,216,100.0
2639,26,39,224,224,100.0
2640,26,40,141,141,100.0
2641,26,41,191,191,100.0
2642,26,42,238,238,100.0
2643,26,43,169,169,100.0
2644,26,44,124,124,100.0
2645,26,45,259,259,100.0
2647,26,47,148,148,100.0
2648,26,48,245,245,100.0
2649,26,49,166,166,100.0
2650,26,50,162,162,100.0
2652,26,52,111,111,100.0
2653,26,53,195,195,100.0
2654,26,54,189,189,100.0
2655,26,55,131,131,100.0
2656,26,56,212,212,100.0
2657,26,57,143,143,100.0
2658,26,58,162,162,100.0
2659,26,59,213,213,100.0
2660,26,60,226,226,100.0
2661,26,61,138,138,100.0
2662,26,62,226,226,100.0
2663,26,63,80,80,100.0
2704,27,4,243,243,100.0
2710,27,10,303,303,100.0
2713,27,13,289,289,100.0
2727,27,27,0,0,0.0
2732,27,32,209,209,100.0
2735,27,35,318,318,100.0
2738,27,38,280,280,100.0
2741,27,41,340,340,100.0
2756,27,56,260,260,100.0
2759,27,59,339,339,100.0
2902,29,2,293,293,100.0
2906,29,6,164,164,100.0
2907,29,7,230,230,100.0
2909,29,9,190,190,100.0
2910,29,10,180,180,100.0
2924,29,24,251,251,100.0
2930,29,30,204,204,100.0
2932,29,32,279,279,100.0
2939,29,39,273,273,100.0
3002,30,2,196,196,100.0
3004,30,4,261,261,100.0
3005,30,5,186,186,100.0
3006,30,6,197,197,100.0
3009,30,9,81,81,100.0
3010,30,10,230,230,100.0
3011,30,11,191,191,100.0
3012,30,12,223,223,100.0
3017,30,17,150,150,100.0
3020,30,20,224,224,100.0
3021,30,21,299,299,100.0
3022,30,22,304,304,100.0
3023,30,23,267,267,100.0
3024,30,24,260,260,100.0
3026,30,26,182,182,100.0
3027,30,27,366,366,100.0
3028,30,28,189,189,100.0
3029,30,29,166,166,100.0
3031,30,31,198,198,100.0
3032,30,32,105,105,100.0
3033,30,33,211,211,100.0
3034,30,34,254,254,100.0
3035,30,35,250,250,100.0
3037,30,37,192,192,100.0
3040,30,40,268,268,100.0
3041,30,41,288,288,100.0
3103,31,3,189,189,100.0
3110,31,10,129,129,100.0
3112,31,12,210,210,100.0
3115,31,15,125,125,100.0
3117,31,17,232,232,100.0
3120,31,20,178,178,100.0
3121,31,21,245,245,100.0
3123,31,23,132,132,100.0
3124,31,24,193,193,100.0
3125,31,25,221,221,100.0
3127,31,27,192,192,100.0
3129,31,29,180,180,100.0
3134,31,34,189,189,100.0
3135,31,35,166,166,100.0
3136,31,36,257,257,100.0
3137,31,37,230,230,100.0
3139,31,39,147,147,100.0
3140,31,40,146,146,100.0
3142,31,42,266,266,100.0
3143,31,43,235,235,100.0
3144,31,44,223,223,100.0
3145,31,45,195,195,100.0
3151,31,51,139,139,100.0
3201,32,1,430,430,100.0
3203,32,3,390,390,100.0
3211,32,11,350,350,100.0
3212,32,12,283,283,100.0
3217,32,17,492,492,100.0
3246,32,46,62,62,100.0
3502,35,2,317,317,100.0
3514,35,14,93,93,100.0
3523,35,23,241,241,100.0
3532,35,32,202,202,100.0
3535,35,35,346,346,100.0
3601,36,1,265,265,100.0
3603,36,3,361,361,100.0
3604,36,4,228,228,100.0
3606,36,6,40,40,100.0
3636,36,36,264,264,100.0
3641,36,41,160,160,100.0
3651,36,51,320,320,100.0
3653,36,53,93,93,100.0
3701,37,1,237,237,100.0
3702,37,2,90,90,100.0
3711,37,11,168,168,100.0
3719,37,19,324,324,100.0
3739,37,39,330,330,100.0
3742,37,42,323,323,100.0
3816,38,16,262,262,100.0
3853,38,53,72,72,100.0
