ward,precinct,total,Don Harmon,Don Harmon Percent
2816,28,16,269,269,100.0
2847,28,47,265,265,100.0
2904,29,4,348,348,100.0
2905,29,5,335,335,100.0
2908,29,8,261,261,100.0
2911,29,11,367,367,100.0
2913,29,13,376,376,100.0
2918,29,18,429,429,100.0
2923,29,23,365,365,100.0
2926,29,26,301,301,100.0
2929,29,29,427,427,100.0
2933,29,33,245,245,100.0
2935,29,35,301,301,100.0
2937,29,37,329,329,100.0
2940,29,40,484,484,100.0
2941,29,41,393,393,100.0
2943,29,43,425,425,100.0
2944,29,44,298,298,100.0
2945,29,45,299,299,100.0
2946,29,46,371,371,100.0
2947,29,47,448,448,100.0
2948,29,48,336,336,100.0
3602,36,2,244,244,100.0
3616,36,16,446,446,100.0
3622,36,22,362,362,100.0
3623,36,23,143,143,100.0
3624,36,24,333,333,100.0
3633,36,33,242,242,100.0
3644,36,44,323,323,100.0
3645,36,45,284,284,100.0
3654,36,54,393,393,100.0
3655,36,55,387,387,100.0
3705,37,5,420,420,100.0
3706,37,6,427,427,100.0
3707,37,7,436,436,100.0
3709,37,9,391,391,100.0
3717,37,17,361,361,100.0
3718,37,18,376,376,100.0
3729,37,29,419,419,100.0
3732,37,32,386,386,100.0
3735,37,35,332,332,100.0
3737,37,37,353,353,100.0
3738,37,38,449,449,100.0
4127,41,27,143,143,100.0
