ward,precinct,total,Jackie Marie Portman,Jackie Marie Portman Percent
0214,2,14,329,329,100.0
0220,2,20,206,206,100.0
0231,2,31,254,254,100.0
0244,2,44,181,181,100.0
0246,2,46,344,344,100.0
0301,3,1,207,207,100.0
0302,3,2,287,287,100.0
0304,3,4,221,221,100.0
0305,3,5,217,217,100.0
0307,3,7,179,179,100.0
0308,3,8,316,316,100.0
0309,3,9,242,242,100.0
0310,3,10,114,114,100.0
0311,3,11,300,300,100.0
0312,3,12,237,237,100.0
0314,3,14,204,204,100.0
0315,3,15,279,279,100.0
0316,3,16,211,211,100.0
0317,3,17,125,125,100.0
0318,3,18,144,144,100.0
0320,3,20,185,185,100.0
0321,3,21,131,131,100.0
0322,3,22,133,133,100.0
0323,3,23,228,228,100.0
0324,3,24,329,329,100.0
0325,3,25,208,208,100.0
0326,3,26,105,105,100.0
0327,3,27,255,255,100.0
0329,3,29,192,192,100.0
0330,3,30,209,209,100.0
0331,3,31,340,340,100.0
0332,3,32,238,238,100.0
0333,3,33,338,338,100.0
0334,3,34,206,206,100.0
0335,3,35,265,265,100.0
0336,3,36,82,82,100.0
0337,3,37,108,108,100.0
0338,3,38,293,293,100.0
0339,3,39,233,233,100.0
0340,3,40,234,234,100.0
0341,3,41,201,201,100.0
0342,3,42,217,217,100.0
0343,3,43,72,72,100.0
0344,3,44,96,96,100.0
0346,3,46,64,64,100.0
0347,3,47,141,141,100.0
0348,3,48,159,159,100.0
0349,3,49,96,96,100.0
0350,3,50,154,154,100.0
0401,4,1,468,468,100.0
0402,4,2,465,465,100.0
0403,4,3,390,390,100.0
0404,4,4,340,340,100.0
0405,4,5,404,404,100.0
0406,4,6,105,105,100.0
0407,4,7,394,394,100.0
0408,4,8,416,416,100.0
0409,4,9,452,452,100.0
0410,4,10,374,374,100.0
0411,4,11,370,370,100.0
0412,4,12,202,202,100.0
0413,4,13,231,231,100.0
0414,4,14,285,285,100.0
0415,4,15,260,260,100.0
0416,4,16,436,436,100.0
0417,4,17,312,312,100.0
0418,4,18,352,352,100.0
0419,4,19,331,331,100.0
0420,4,20,213,213,100.0
0421,4,21,375,375,100.0
0422,4,22,338,338,100.0
0423,4,23,240,240,100.0
0424,4,24,333,333,100.0
0425,4,25,279,279,100.0
0426,4,26,354,354,100.0
0427,4,27,324,324,100.0
0428,4,28,213,213,100.0
0429,4,29,242,242,100.0
0430,4,30,264,264,100.0
0431,4,31,161,161,100.0
0432,4,32,302,302,100.0
0433,4,33,292,292,100.0
0434,4,34,217,217,100.0
0435,4,35,226,226,100.0
0436,4,36,236,236,100.0
0437,4,37,54,54,100.0
0438,4,38,434,434,100.0
0439,4,39,254,254,100.0
0440,4,40,317,317,100.0
0441,4,41,177,177,100.0
0442,4,42,344,344,100.0
0443,4,43,206,206,100.0
0444,4,44,212,212,100.0
0445,4,45,380,380,100.0
0446,4,46,264,264,100.0
0447,4,47,507,507,100.0
0448,4,48,322,322,100.0
0449,4,49,217,217,100.0
0450,4,50,257,257,100.0
0451,4,51,298,298,100.0
0452,4,52,324,324,100.0
0501,5,1,310,310,100.0
0502,5,2,249,249,100.0
0503,5,3,170,170,100.0
0504,5,4,184,184,100.0
0505,5,5,298,298,100.0
0506,5,6,323,323,100.0
0507,5,7,318,318,100.0
0508,5,8,289,289,100.0
0509,5,9,276,276,100.0
0510,5,10,289,289,100.0
0511,5,11,230,230,100.0
0513,5,13,279,279,100.0
0514,5,14,324,324,100.0
0515,5,15,210,210,100.0
0516,5,16,250,250,100.0
0517,5,17,293,293,100.0
0518,5,18,292,292,100.0
0519,5,19,171,171,100.0
0520,5,20,158,158,100.0
0521,5,21,299,299,100.0
0522,5,22,257,257,100.0
0523,5,23,201,201,100.0
0524,5,24,166,166,100.0
0525,5,25,276,276,100.0
0526,5,26,349,349,100.0
0527,5,27,357,357,100.0
0528,5,28,275,275,100.0
0529,5,29,298,298,100.0
0530,5,30,212,212,100.0
0531,5,31,317,317,100.0
0532,5,32,408,408,100.0
0533,5,33,152,152,100.0
0534,5,34,338,338,100.0
0535,5,35,230,230,100.0
0536,5,36,201,201,100.0
0537,5,37,221,221,100.0
0538,5,38,217,217,100.0
0539,5,39,270,270,100.0
0540,5,40,376,376,100.0
0541,5,41,213,213,100.0
0542,5,42,319,319,100.0
0543,5,43,298,298,100.0
0544,5,44,377,377,100.0
0545,5,45,157,157,100.0
0546,5,46,297,297,100.0
0547,5,47,261,261,100.0
0548,5,48,184,184,100.0
0549,5,49,73,73,100.0
0550,5,50,95,95,100.0
0551,5,51,226,226,100.0
0552,5,52,62,62,100.0
0553,5,53,279,279,100.0
0554,5,54,395,395,100.0
0555,5,55,240,240,100.0
0607,6,7,323,323,100.0
0615,6,15,194,194,100.0
0618,6,18,232,232,100.0
0620,6,20,289,289,100.0
0630,6,30,297,297,100.0
0632,6,32,340,340,100.0
0633,6,33,402,402,100.0
0639,6,39,154,154,100.0
0648,6,48,303,303,100.0
0661,6,61,199,199,100.0
0662,6,62,330,330,100.0
0709,7,9,259,259,100.0
0711,7,11,286,286,100.0
0735,7,35,354,354,100.0
0740,7,40,329,329,100.0
0744,7,44,425,425,100.0
0745,7,45,335,335,100.0
0750,7,50,166,166,100.0
0857,8,57,275,275,100.0
0869,8,69,79,79,100.0
0870,8,70,448,448,100.0
1112,11,12,164,164,100.0
1113,11,13,196,196,100.0
1115,11,15,168,168,100.0
1127,11,27,117,117,100.0
1128,11,28,145,145,100.0
1131,11,31,109,109,100.0
1132,11,32,134,134,100.0
1134,11,34,104,104,100.0
1139,11,39,217,217,100.0
1142,11,42,75,75,100.0
1143,11,43,213,213,100.0
1145,11,45,98,98,100.0
1146,11,46,76,76,100.0
1147,11,47,180,180,100.0
1148,11,48,71,71,100.0
1149,11,49,149,149,100.0
1502,15,2,155,155,100.0
1503,15,3,191,191,100.0
1504,15,4,201,201,100.0
1505,15,5,192,192,100.0
1507,15,7,199,199,100.0
1512,15,12,127,127,100.0
1517,15,17,174,174,100.0
1518,15,18,126,126,100.0
1519,15,19,145,145,100.0
1520,15,20,137,137,100.0
1521,15,21,153,153,100.0
1523,15,23,148,148,100.0
1526,15,26,186,186,100.0
1531,15,31,154,154,100.0
1533,15,33,174,174,100.0
1534,15,34,113,113,100.0
1535,15,35,175,175,100.0
1536,15,36,196,196,100.0
1537,15,37,158,158,100.0
1539,15,39,200,200,100.0
1540,15,40,212,212,100.0
1542,15,42,151,151,100.0
1543,15,43,190,190,100.0
1546,15,46,123,123,100.0
1547,15,47,195,195,100.0
1551,15,51,126,126,100.0
1552,15,52,164,164,100.0
1603,16,3,155,155,100.0
1605,16,5,189,189,100.0
1606,16,6,67,67,100.0
1608,16,8,233,233,100.0
1609,16,9,213,213,100.0
1610,16,10,320,320,100.0
1612,16,12,161,161,100.0
1614,16,14,202,202,100.0
1615,16,15,223,223,100.0
1616,16,16,209,209,100.0
1618,16,18,180,180,100.0
1619,16,19,258,258,100.0
1620,16,20,151,151,100.0
1622,16,22,208,208,100.0
1624,16,24,75,75,100.0
1625,16,25,154,154,100.0
1626,16,26,191,191,100.0
1627,16,27,186,186,100.0
1628,16,28,235,235,100.0
1629,16,29,182,182,100.0
1630,16,30,215,215,100.0
1631,16,31,214,214,100.0
1633,16,33,143,143,100.0
1634,16,34,179,179,100.0
1636,16,36,226,226,100.0
1637,16,37,152,152,100.0
1638,16,38,157,157,100.0
1640,16,40,196,196,100.0
1641,16,41,99,99,100.0
1643,16,43,260,260,100.0
1644,16,44,4,4,100.0
1701,17,1,148,148,100.0
1706,17,6,207,207,100.0
1708,17,8,189,189,100.0
1713,17,13,156,156,100.0
1714,17,14,219,219,100.0
1716,17,16,214,214,100.0
