ward,precinct,total,Ann Collins Dole,Ann Collins Dole Percent,James A. Shapiro,James A. Shapiro Percent,Debra Kramer Marcus,Debra Kramer Marcus Percent,Daniel Thomas Gillespie,Daniel Thomas Gillespie Percent,James Byrne,James Byrne Percent,Aaron J. Weiss,Aaron J. Weiss Percent,Gideon Abraham Baum,Gideon Abraham Baum Percent
0201,2,1,251,97,38.65,39,15.54,42,16.73,28,11.16,25,9.96,9,3.59,11,4.38
0207,2,7,267,63,23.6,48,17.98,48,17.98,25,9.36,66,24.72,8,3.0,9,3.37
0208,2,8,254,69,27.17,45,17.72,51,20.08,28,11.02,38,14.96,11,4.33,12,4.72
0211,2,11,307,92,29.97,74,24.1,50,16.29,19,6.19,40,13.03,13,4.23,19,6.19
0212,2,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0218,2,18,198,64,32.32,28,14.14,35,17.68,23,11.62,31,15.66,5,2.53,12,6.06
0219,2,19,216,63,29.17,37,17.13,37,17.13,18,8.33,45,20.83,5,2.31,11,5.09
0220,2,20,28,9,32.14,5,17.86,5,17.86,3,10.71,5,17.86,0,0.0,1,3.57
0221,2,21,200,53,26.5,39,19.5,26,13.0,15,7.5,48,24.0,7,3.5,12,6.0
0222,2,22,326,101,30.98,66,20.25,64,19.63,27,8.28,51,15.64,3,0.92,14,4.29
0224,2,24,126,33,26.19,28,22.22,14,11.11,16,12.7,19,15.08,12,9.52,4,3.17
0226,2,26,176,53,30.11,28,15.91,31,17.61,13,7.39,39,22.16,5,2.84,7,3.98
0230,2,30,219,72,32.88,39,17.81,36,16.44,16,7.31,42,19.18,6,2.74,8,3.65
0235,2,35,56,20,35.71,7,12.5,12,21.43,4,7.14,8,14.29,3,5.36,2,3.57
0236,2,36,254,74,29.13,43,16.93,28,11.02,13,5.12,73,28.74,11,4.33,12,4.72
0237,2,37,175,65,37.14,38,21.71,30,17.14,7,4.0,23,13.14,7,4.0,5,2.86
0238,2,38,261,77,29.5,45,17.24,37,14.18,31,11.88,56,21.46,9,3.45,6,2.3
0240,2,40,312,84,26.92,71,22.76,52,16.67,36,11.54,49,15.71,11,3.53,9,2.88
0243,2,43,252,65,25.79,63,25.0,38,15.08,17,6.75,43,17.06,12,4.76,14,5.56
0249,2,49,128,43,33.59,21,16.41,22,17.19,16,12.5,15,11.72,7,5.47,4,3.13
0253,2,53,184,58,31.52,31,16.85,29,15.76,20,10.87,24,13.04,12,6.52,10,5.43
0254,2,54,227,74,32.6,57,25.11,41,18.06,15,6.61,26,11.45,6,2.64,8,3.52
0255,2,55,59,14,23.73,17,28.81,3,5.08,4,6.78,16,27.12,2,3.39,3,5.08
0303,3,3,191,62,32.46,39,20.42,29,15.18,16,8.38,31,16.23,6,3.14,8,4.19
0306,3,6,153,35,22.88,32,20.92,23,15.03,13,8.5,37,24.18,8,5.23,5,3.27
0328,3,28,321,119,37.07,51,15.89,47,14.64,36,11.21,40,12.46,16,4.98,12,3.74
0345,3,45,234,79,33.76,52,22.22,34,14.53,21,8.97,26,11.11,9,3.85,13,5.56
1114,11,14,135,32,23.7,31,22.96,14,10.37,11,8.15,40,29.63,4,2.96,3,2.22
1127,11,27,28,10,35.71,3,10.71,3,10.71,3,10.71,8,28.57,1,3.57,0,0.0
1136,11,36,46,17,36.96,13,28.26,1,2.17,5,10.87,7,15.22,1,2.17,2,4.35
2514,25,14,72,22,30.56,13,18.06,4,5.56,11,15.28,12,16.67,4,5.56,6,8.33
2516,25,16,79,34,43.04,9,11.39,12,15.19,11,13.92,11,13.92,1,1.27,1,1.27
2518,25,18,131,41,31.3,23,17.56,27,20.61,14,10.69,20,15.27,2,1.53,4,3.05
2705,27,5,56,15,26.79,19,33.93,7,12.5,5,8.93,5,8.93,3,5.36,2,3.57
2706,27,6,75,19,25.33,11,14.67,13,17.33,8,10.67,18,24.0,4,5.33,2,2.67
2709,27,9,195,53,27.18,40,20.51,25,12.82,27,13.85,33,16.92,7,3.59,10,5.13
2711,27,11,63,19,30.16,15,23.81,7,11.11,6,9.52,9,14.29,4,6.35,3,4.76
2712,27,12,129,38,29.46,28,21.71,26,20.16,13,10.08,10,7.75,10,7.75,4,3.1
2716,27,16,44,12,27.27,5,11.36,8,18.18,8,18.18,11,25.0,0,0.0,0,0.0
2720,27,20,205,40,19.51,46,22.44,29,14.15,33,16.1,37,18.05,10,4.88,10,4.88
2721,27,21,96,24,25.0,17,17.71,10,10.42,12,12.5,28,29.17,3,3.13,2,2.08
2728,27,28,141,33,23.4,23,16.31,20,14.18,13,9.22,33,23.4,6,4.26,13,9.22
2737,27,37,76,19,25.0,16,21.05,5,6.58,5,6.58,26,34.21,0,0.0,5,6.58
2739,27,39,84,8,9.52,10,11.9,6,7.14,18,21.43,36,42.86,4,4.76,2,2.38
2742,27,42,109,31,28.44,19,17.43,15,13.76,12,11.01,20,18.35,8,7.34,4,3.67
2743,27,43,79,18,22.78,7,8.86,4,5.06,12,15.19,30,37.97,2,2.53,6,7.59
2750,27,50,158,54,34.18,30,18.99,15,9.49,20,12.66,21,13.29,9,5.7,9,5.7
2751,27,51,58,14,24.14,7,12.07,7,12.07,15,25.86,14,24.14,1,1.72,0,0.0
3207,32,7,125,47,37.6,23,18.4,15,12.0,18,14.4,9,7.2,8,6.4,5,4.0
3208,32,8,208,78,37.5,35,16.83,30,14.42,25,12.02,20,9.62,13,6.25,7,3.37
3210,32,10,174,44,25.29,46,26.44,31,17.82,16,9.2,21,12.07,7,4.02,9,5.17
3213,32,13,81,17,20.99,17,20.99,24,29.63,6,7.41,8,9.88,2,2.47,7,8.64
3218,32,18,132,46,34.85,24,18.18,13,9.85,25,18.94,12,9.09,7,5.3,5,3.79
3220,32,20,105,33,31.43,23,21.9,21,20.0,4,3.81,12,11.43,6,5.71,6,5.71
3223,32,23,148,43,29.05,38,25.68,19,12.84,18,12.16,15,10.14,6,4.05,9,6.08
3227,32,27,34,12,35.29,4,11.76,13,38.24,1,2.94,2,5.88,0,0.0,2,5.88
3232,32,32,142,49,34.51,24,16.9,31,21.83,18,12.68,15,10.56,5,3.52,0,0.0
3237,32,37,154,33,21.43,51,33.12,31,20.13,9,5.84,16,10.39,9,5.84,5,3.25
3238,32,38,180,73,40.56,30,16.67,30,16.67,19,10.56,12,6.67,7,3.89,9,5.0
3239,32,39,171,66,38.6,34,19.88,28,16.37,10,5.85,13,7.6,11,6.43,9,5.26
3243,32,43,159,55,34.59,34,21.38,39,24.53,9,5.66,11,6.92,7,4.4,4,2.52
3244,32,44,123,42,34.15,29,23.58,16,13.01,10,8.13,13,10.57,6,4.88,7,5.69
3246,32,46,5,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,1,20.0
3247,32,47,198,81,40.91,51,25.76,23,11.62,14,7.07,17,8.59,6,3.03,6,3.03
3248,32,48,181,68,37.57,35,19.34,25,13.81,13,7.18,21,11.6,7,3.87,12,6.63
3249,32,49,114,38,33.33,19,16.67,20,17.54,14,12.28,11,9.65,6,5.26,6,5.26
3250,32,50,188,77,40.96,37,19.68,25,13.3,15,7.98,20,10.64,5,2.66,9,4.79
3251,32,51,195,81,41.54,44,22.56,22,11.28,17,8.72,15,7.69,8,4.1,8,4.1
4003,40,3,182,56,30.77,31,17.03,21,11.54,27,14.84,27,14.84,16,8.79,4,2.2
4004,40,4,172,69,40.12,33,19.19,15,8.72,17,9.88,28,16.28,7,4.07,3,1.74
4007,40,7,178,60,33.71,30,16.85,29,16.29,10,5.62,32,17.98,10,5.62,7,3.93
4011,40,11,176,48,27.27,35,19.89,24,13.64,19,10.8,30,17.05,15,8.52,5,2.84
4016,40,16,172,50,29.07,47,27.33,9,5.23,12,6.98,42,24.42,6,3.49,6,3.49
4022,40,22,95,31,32.63,14,14.74,12,12.63,8,8.42,17,17.89,8,8.42,5,5.26
4023,40,23,215,70,32.56,39,18.14,31,14.42,32,14.88,20,9.3,9,4.19,14,6.51
4027,40,27,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4033,40,33,176,48,27.27,27,15.34,22,12.5,22,12.5,28,15.91,15,8.52,14,7.95
4037,40,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4040,40,40,118,37,31.36,33,27.97,13,11.02,11,9.32,17,14.41,4,3.39,3,2.54
4041,40,41,215,72,33.49,37,17.21,36,16.74,8,3.72,40,18.6,11,5.12,11,5.12
