ward,precinct,total,Joann Thompson,Joann Thompson Percent
1601,16,1,122,122,100.0
1602,16,2,128,128,100.0
1603,16,3,124,124,100.0
1604,16,4,78,78,100.0
1605,16,5,148,148,100.0
1606,16,6,72,72,100.0
1607,16,7,164,164,100.0
1608,16,8,149,149,100.0
1609,16,9,193,193,100.0
1610,16,10,253,253,100.0
1611,16,11,191,191,100.0
1612,16,12,116,116,100.0
1613,16,13,109,109,100.0
1614,16,14,167,167,100.0
1615,16,15,186,186,100.0
1616,16,16,144,144,100.0
1617,16,17,115,115,100.0
1618,16,18,182,182,100.0
1619,16,19,202,202,100.0
1620,16,20,129,129,100.0
1621,16,21,111,111,100.0
1622,16,22,123,123,100.0
1623,16,23,136,136,100.0
1624,16,24,52,52,100.0
1625,16,25,106,106,100.0
1626,16,26,146,146,100.0
1627,16,27,174,174,100.0
1628,16,28,169,169,100.0
1629,16,29,127,127,100.0
1630,16,30,149,149,100.0
1631,16,31,189,189,100.0
1632,16,32,128,128,100.0
1633,16,33,124,124,100.0
1634,16,34,124,124,100.0
1635,16,35,149,149,100.0
1636,16,36,154,154,100.0
1637,16,37,99,99,100.0
1638,16,38,102,102,100.0
1639,16,39,124,124,100.0
1640,16,40,185,185,100.0
1641,16,41,85,85,100.0
1642,16,42,143,143,100.0
1643,16,43,165,165,100.0
1644,16,44,152,152,100.0
