ward,precinct,total,Latasha Thomas,Latasha Thomas Percent
1701,17,1,115,115,100.0
1702,17,2,192,192,100.0
1703,17,3,122,122,100.0
1704,17,4,287,287,100.0
1705,17,5,141,141,100.0
1706,17,6,133,133,100.0
1707,17,7,228,228,100.0
1708,17,8,153,153,100.0
1709,17,9,123,123,100.0
1710,17,10,193,193,100.0
1711,17,11,200,200,100.0
1712,17,12,274,274,100.0
1713,17,13,121,121,100.0
1714,17,14,160,160,100.0
1715,17,15,173,173,100.0
1716,17,16,147,147,100.0
1717,17,17,148,148,100.0
1718,17,18,204,204,100.0
1719,17,19,74,74,100.0
1720,17,20,160,160,100.0
1721,17,21,242,242,100.0
1722,17,22,193,193,100.0
1723,17,23,117,117,100.0
1724,17,24,189,189,100.0
1725,17,25,116,116,100.0
1726,17,26,191,191,100.0
1727,17,27,232,232,100.0
1728,17,28,159,159,100.0
1729,17,29,205,205,100.0
1730,17,30,196,196,100.0
1731,17,31,150,150,100.0
1732,17,32,187,187,100.0
1733,17,33,165,165,100.0
1734,17,34,135,135,100.0
1735,17,35,132,132,100.0
1736,17,36,105,105,100.0
1737,17,37,159,159,100.0
1738,17,38,171,171,100.0
1739,17,39,142,142,100.0
1740,17,40,151,151,100.0
1741,17,41,136,136,100.0
1742,17,42,153,153,100.0
1743,17,43,147,147,100.0
1744,17,44,129,129,100.0
1745,17,45,126,126,100.0
1746,17,46,189,189,100.0
1747,17,47,110,110,100.0
1748,17,48,216,216,100.0
1749,17,49,106,106,100.0
1750,17,50,168,168,100.0
1751,17,51,207,207,100.0
1752,17,52,235,235,100.0
1753,17,53,169,169,100.0
1754,17,54,212,212,100.0
1755,17,55,172,172,100.0
1756,17,56,204,204,100.0
1757,17,57,202,202,100.0
1758,17,58,132,132,100.0
1759,17,59,107,107,100.0
1760,17,60,242,242,100.0
1761,17,61,171,171,100.0
1762,17,62,137,137,100.0
1763,17,63,139,139,100.0
1764,17,64,115,115,100.0
