ward,precinct,total,Michael R. Zalewski,Michael R. Zalewski Percent
2301,23,1,210,210,100.0
2302,23,2,251,251,100.0
2303,23,3,178,178,100.0
2304,23,4,224,224,100.0
2305,23,5,172,172,100.0
2306,23,6,179,179,100.0
2307,23,7,56,56,100.0
2308,23,8,225,225,100.0
2309,23,9,203,203,100.0
2310,23,10,210,210,100.0
2311,23,11,225,225,100.0
2312,23,12,213,213,100.0
2313,23,13,264,264,100.0
2314,23,14,74,74,100.0
2315,23,15,187,187,100.0
2316,23,16,239,239,100.0
2317,23,17,238,238,100.0
2318,23,18,160,160,100.0
2319,23,19,170,170,100.0
2320,23,20,198,198,100.0
2321,23,21,159,159,100.0
2322,23,22,212,212,100.0
2323,23,23,187,187,100.0
2324,23,24,157,157,100.0
2325,23,25,150,150,100.0
2326,23,26,211,211,100.0
2327,23,27,166,166,100.0
2328,23,28,210,210,100.0
2329,23,29,178,178,100.0
2330,23,30,184,184,100.0
2331,23,31,216,216,100.0
2332,23,32,232,232,100.0
2333,23,33,211,211,100.0
2334,23,34,163,163,100.0
2335,23,35,150,150,100.0
2336,23,36,283,283,100.0
2337,23,37,153,153,100.0
2338,23,38,201,201,100.0
2339,23,39,186,186,100.0
2340,23,40,189,189,100.0
2341,23,41,183,183,100.0
2342,23,42,148,148,100.0
2343,23,43,217,217,100.0
2344,23,44,235,235,100.0
2345,23,45,234,234,100.0
2346,23,46,217,217,100.0
2347,23,47,221,221,100.0
2348,23,48,171,171,100.0
2349,23,49,214,214,100.0
2350,23,50,113,113,100.0
2351,23,51,189,189,100.0
2352,23,52,225,225,100.0
2353,23,53,126,126,100.0
2354,23,54,248,248,100.0
2355,23,55,207,207,100.0
2356,23,56,162,162,100.0
