ward,precinct,total,Jesse White,Jesse White Percent
2701,27,1,181,181,100.0
2702,27,2,147,147,100.0
2703,27,3,171,171,100.0
2704,27,4,112,112,100.0
2705,27,5,58,58,100.0
2706,27,6,91,91,100.0
2707,27,7,153,153,100.0
2708,27,8,185,185,100.0
2709,27,9,230,230,100.0
2710,27,10,303,303,100.0
2711,27,11,179,179,100.0
2712,27,12,148,148,100.0
2713,27,13,106,106,100.0
2714,27,14,214,214,100.0
2715,27,15,122,122,100.0
2716,27,16,59,59,100.0
2717,27,17,137,137,100.0
2718,27,18,124,124,100.0
2719,27,19,181,181,100.0
2720,27,20,287,287,100.0
2721,27,21,111,111,100.0
2722,27,22,185,185,100.0
2723,27,23,42,42,100.0
2724,27,24,165,165,100.0
2725,27,25,101,101,100.0
2726,27,26,168,168,100.0
2727,27,27,149,149,100.0
2728,27,28,163,163,100.0
2729,27,29,147,147,100.0
2730,27,30,105,105,100.0
2731,27,31,136,136,100.0
2732,27,32,125,125,100.0
2733,27,33,176,176,100.0
2734,27,34,152,152,100.0
2735,27,35,143,143,100.0
2736,27,36,167,167,100.0
2737,27,37,137,137,100.0
2738,27,38,111,111,100.0
2739,27,39,112,112,100.0
2740,27,40,142,142,100.0
2741,27,41,159,159,100.0
2742,27,42,130,130,100.0
2743,27,43,98,98,100.0
2744,27,44,136,136,100.0
2745,27,45,140,140,100.0
2746,27,46,201,201,100.0
2747,27,47,145,145,100.0
2748,27,48,187,187,100.0
2749,27,49,227,227,100.0
2750,27,50,185,185,100.0
2751,27,51,95,95,100.0
2752,27,52,167,167,100.0
2753,27,53,127,127,100.0
2754,27,54,168,168,100.0
2755,27,55,171,171,100.0
2756,27,56,112,112,100.0
2757,27,57,106,106,100.0
2758,27,58,59,59,100.0
2759,27,59,189,189,100.0
