ward,precinct,total,Reinaldo ''Ray'' Hernandez,Reinaldo ''Ray'' Hernandez Percent,Joseph Berrios,Joseph Berrios Percent
3101,31,1,72,21,29.17,51,70.83
3102,31,2,100,40,40.0,60,60.0
3103,31,3,129,25,19.38,104,80.62
3104,31,4,122,45,36.89,77,63.11
3105,31,5,142,52,36.62,90,63.38
3106,31,6,136,59,43.38,77,56.62
3107,31,7,131,54,41.22,77,58.78
3108,31,8,113,49,43.36,64,56.64
3109,31,9,111,38,34.23,73,65.77
3110,31,10,57,17,29.82,40,70.18
3111,31,11,87,23,26.44,64,73.56
3112,31,12,116,29,25.0,87,75.0
3113,31,13,103,39,37.86,64,62.14
3114,31,14,111,33,29.73,78,70.27
3115,31,15,72,33,45.83,39,54.17
3116,31,16,81,36,44.44,45,55.56
3117,31,17,124,36,29.03,88,70.97
3118,31,18,119,36,30.25,83,69.75
3119,31,19,113,41,36.28,72,63.72
3120,31,20,104,56,53.85,48,46.15
3121,31,21,144,67,46.53,77,53.47
3122,31,22,99,30,30.3,69,69.7
3123,31,23,73,32,43.84,41,56.16
3124,31,24,100,40,40.0,60,60.0
3125,31,25,141,45,31.91,96,68.09
3126,31,26,79,29,36.71,50,63.29
3127,31,27,135,55,40.74,80,59.26
3128,31,28,121,42,34.71,79,65.29
3129,31,29,114,42,36.84,72,63.16
3130,31,30,169,40,23.67,129,76.33
3131,31,31,183,61,33.33,122,66.67
3132,31,32,146,43,29.45,103,70.55
3133,31,33,122,45,36.89,77,63.11
3134,31,34,97,30,30.93,67,69.07
3135,31,35,98,32,32.65,66,67.35
3136,31,36,156,53,33.97,103,66.03
3137,31,37,113,46,40.71,67,59.29
3138,31,38,73,24,32.88,49,67.12
3139,31,39,62,22,35.48,40,64.52
3140,31,40,68,23,33.82,45,66.18
3141,31,41,126,66,52.38,60,47.62
3142,31,42,168,73,43.45,95,56.55
3143,31,43,124,46,37.1,78,62.9
3144,31,44,104,43,41.35,61,58.65
3145,31,45,107,39,36.45,68,63.55
3146,31,46,110,25,22.73,85,77.27
3147,31,47,146,67,45.89,79,54.11
3148,31,48,105,45,42.86,60,57.14
3149,31,49,50,26,52.0,24,48.0
3150,31,50,137,50,36.5,87,63.5
3151,31,51,96,40,41.67,56,58.33
