ward,precinct,total,Patricia J. Cullerton,Patricia J. Cullerton Percent
3801,38,1,191,191,100.0
3802,38,2,132,132,100.0
3803,38,3,107,107,100.0
3804,38,4,80,80,100.0
3805,38,5,253,253,100.0
3806,38,6,152,152,100.0
3807,38,7,166,166,100.0
3808,38,8,97,97,100.0
3809,38,9,146,146,100.0
3810,38,10,173,173,100.0
3811,38,11,122,122,100.0
3812,38,12,152,152,100.0
3813,38,13,125,125,100.0
3814,38,14,123,123,100.0
3815,38,15,103,103,100.0
3816,38,16,155,155,100.0
3817,38,17,140,140,100.0
3818,38,18,167,167,100.0
3819,38,19,199,199,100.0
3820,38,20,188,188,100.0
3821,38,21,143,143,100.0
3822,38,22,155,155,100.0
3823,38,23,122,122,100.0
3824,38,24,113,113,100.0
3825,38,25,173,173,100.0
3826,38,26,107,107,100.0
3827,38,27,106,106,100.0
3828,38,28,126,126,100.0
3829,38,29,132,132,100.0
3830,38,30,167,167,100.0
3831,38,31,194,194,100.0
3832,38,32,177,177,100.0
3833,38,33,128,128,100.0
3834,38,34,105,105,100.0
3835,38,35,166,166,100.0
3836,38,36,175,175,100.0
3837,38,37,154,154,100.0
3838,38,38,175,175,100.0
3839,38,39,145,145,100.0
3840,38,40,118,118,100.0
3841,38,41,239,239,100.0
3842,38,42,198,198,100.0
3843,38,43,160,160,100.0
3844,38,44,169,169,100.0
3845,38,45,165,165,100.0
3846,38,46,136,136,100.0
3847,38,47,155,155,100.0
3848,38,48,151,151,100.0
3849,38,49,134,134,100.0
3850,38,50,149,149,100.0
3851,38,51,112,112,100.0
3852,38,52,163,163,100.0
3853,38,53,36,36,100.0
