ward,precinct,total,Tom Sharpe,Tom Sharpe Percent
4601,46,1,275,275,100.0
4602,46,2,207,207,100.0
4603,46,3,210,210,100.0
4604,46,4,163,163,100.0
4605,46,5,136,136,100.0
4606,46,6,184,184,100.0
4607,46,7,113,113,100.0
4608,46,8,171,171,100.0
4609,46,9,170,170,100.0
4610,46,10,157,157,100.0
4611,46,11,194,194,100.0
4612,46,12,171,171,100.0
4613,46,13,159,159,100.0
4614,46,14,147,147,100.0
4615,46,15,206,206,100.0
4616,46,16,126,126,100.0
4617,46,17,238,238,100.0
4618,46,18,189,189,100.0
4619,46,19,211,211,100.0
4620,46,20,125,125,100.0
4621,46,21,71,71,100.0
4622,46,22,114,114,100.0
4623,46,23,129,129,100.0
4624,46,24,147,147,100.0
4625,46,25,185,185,100.0
4626,46,26,177,177,100.0
4627,46,27,207,207,100.0
4628,46,28,190,190,100.0
4629,46,29,166,166,100.0
4630,46,30,195,195,100.0
4631,46,31,209,209,100.0
4632,46,32,97,97,100.0
4633,46,33,223,223,100.0
4634,46,34,170,170,100.0
4635,46,35,181,181,100.0
4636,46,36,187,187,100.0
4637,46,37,133,133,100.0
4638,46,38,128,128,100.0
4639,46,39,189,189,100.0
4640,46,40,133,133,100.0
4641,46,41,141,141,100.0
4642,46,42,167,167,100.0
4643,46,43,244,244,100.0
4644,46,44,151,151,100.0
4645,46,45,211,211,100.0
4646,46,46,157,157,100.0
4647,46,47,80,80,100.0
