ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert Dallas,Robert Dallas Percent
0101,1,1,107,77,71.96,30,28.04
0106,1,6,185,144,77.84,41,22.16
0111,1,11,3,2,66.67,1,33.33
0144,1,44,111,90,81.08,21,18.92
0201,2,1,307,251,81.76,56,18.24
0202,2,2,59,54,91.53,5,8.47
0203,2,3,277,236,85.2,41,14.8
0204,2,4,206,201,97.57,5,2.43
0205,2,5,310,296,95.48,14,4.52
0206,2,6,270,215,79.63,55,20.37
0207,2,7,314,298,94.9,16,5.1
0208,2,8,317,271,85.49,46,14.51
0209,2,9,239,225,94.14,14,5.86
0210,2,10,221,209,94.57,12,5.43
0211,2,11,374,323,86.36,51,13.64
0212,2,12,266,220,82.71,46,17.29
0213,2,13,267,234,87.64,33,12.36
0214,2,14,47,45,95.74,2,4.26
0215,2,15,140,134,95.71,6,4.29
0216,2,16,248,210,84.68,38,15.32
0217,2,17,216,206,95.37,10,4.63
0218,2,18,243,207,85.19,36,14.81
0219,2,19,277,226,81.59,51,18.41
0220,2,20,40,34,85.0,6,15.0
0221,2,21,277,265,95.67,12,4.33
0222,2,22,375,332,88.53,43,11.47
0223,2,23,188,172,91.49,16,8.51
0224,2,24,165,138,83.64,27,16.36
0225,2,25,334,311,93.11,23,6.89
0226,2,26,221,192,86.88,29,13.12
0227,2,27,217,211,97.24,6,2.76
0228,2,28,131,101,77.1,30,22.9
0229,2,29,159,151,94.97,8,5.03
0230,2,30,253,207,81.82,46,18.18
0232,2,32,132,119,90.15,13,9.85
0233,2,33,165,162,98.18,3,1.82
0234,2,34,272,259,95.22,13,4.78
0235,2,35,67,51,76.12,16,23.88
0236,2,36,320,281,87.81,39,12.19
0237,2,37,222,192,86.49,30,13.51
0238,2,38,313,260,83.07,53,16.93
0239,2,39,247,220,89.07,27,10.93
0240,2,40,385,337,87.53,48,12.47
0241,2,41,141,136,96.45,5,3.55
0242,2,42,139,132,94.96,7,5.04
0243,2,43,328,299,91.16,29,8.84
0245,2,45,247,236,95.55,11,4.45
0247,2,47,164,159,96.95,5,3.05
0248,2,48,192,188,97.92,4,2.08
0249,2,49,168,138,82.14,30,17.86
0250,2,50,160,134,83.75,26,16.25
0251,2,51,220,209,95.0,11,5.0
0252,2,52,293,274,93.52,19,6.48
0253,2,53,220,186,84.55,34,15.45
0254,2,54,281,240,85.41,41,14.59
0255,2,55,70,65,92.86,5,7.14
0256,2,56,261,245,93.87,16,6.13
0301,3,1,257,242,94.16,15,5.84
0302,3,2,345,332,96.23,13,3.77
0303,3,3,248,226,91.13,22,8.87
0304,3,4,207,196,94.69,11,5.31
0306,3,6,166,160,96.39,6,3.61
0308,3,8,242,227,93.8,15,6.2
0309,3,9,234,215,91.88,19,8.12
0310,3,10,111,104,93.69,7,6.31
0311,3,11,272,258,94.85,14,5.15
0312,3,12,242,232,95.87,10,4.13
0314,3,14,134,134,100.0,0,0.0
0315,3,15,268,250,93.28,18,6.72
0316,3,16,230,224,97.39,6,2.61
0317,3,17,132,128,96.97,4,3.03
0318,3,18,117,108,92.31,9,7.69
0320,3,20,172,162,94.19,10,5.81
0321,3,21,135,123,91.11,12,8.89
0322,3,22,145,140,96.55,5,3.45
0323,3,23,103,96,93.2,7,6.8
0324,3,24,241,231,95.85,10,4.15
0325,3,25,175,167,95.43,8,4.57
0326,3,26,100,97,97.0,3,3.0
0327,3,27,223,217,97.31,6,2.69
0328,3,28,402,340,84.58,62,15.42
0329,3,29,188,181,96.28,7,3.72
0331,3,31,355,336,94.65,19,5.35
0332,3,32,202,197,97.52,5,2.48
0333,3,33,323,299,92.57,24,7.43
0335,3,35,231,217,93.94,14,6.06
0336,3,36,97,90,92.78,7,7.22
0337,3,37,103,97,94.17,6,5.83
0339,3,39,259,248,95.75,11,4.25
0340,3,40,195,186,95.38,9,4.62
0342,3,42,168,162,96.43,6,3.57
0343,3,43,71,62,87.32,9,12.68
0345,3,45,295,270,91.53,25,8.47
0346,3,46,49,49,100.0,0,0.0
0347,3,47,155,149,96.13,6,3.87
0348,3,48,185,178,96.22,7,3.78
0349,3,49,87,75,86.21,12,13.79
0350,3,50,210,201,95.71,9,4.29
0404,4,4,306,285,93.14,21,6.86
0405,4,5,356,340,95.51,16,4.49
0406,4,6,122,116,95.08,6,4.92
0407,4,7,352,336,95.45,16,4.55
0410,4,10,332,317,95.48,15,4.52
0411,4,11,396,378,95.45,18,4.55
0414,4,14,229,214,93.45,15,6.55
0415,4,15,231,217,93.94,14,6.06
0425,4,25,227,219,96.48,8,3.52
0427,4,27,290,279,96.21,11,3.79
0430,4,30,255,240,94.12,15,5.88
0435,4,35,211,197,93.36,14,6.64
0436,4,36,204,192,94.12,12,5.88
0442,4,42,201,188,93.53,13,6.47
1114,11,14,147,114,77.55,33,22.45
1127,11,27,142,110,77.46,32,22.54
1128,11,28,120,87,72.5,33,27.5
1134,11,34,54,47,87.04,7,12.96
1136,11,36,50,47,94.0,3,6.0
1146,11,46,92,84,91.3,8,8.7
1201,12,1,19,10,52.63,9,47.37
1206,12,6,31,21,67.74,10,32.26
1218,12,18,101,80,79.21,21,20.79
1615,16,15,218,202,92.66,16,7.34
1616,16,16,187,179,95.72,8,4.28
