ward,precinct,total,Edward D. Maloney,Edward D. Maloney Percent
1819,18,19,316,316,100.0
1824,18,24,251,251,100.0
1825,18,25,243,243,100.0
1826,18,26,187,187,100.0
1830,18,30,182,182,100.0
1832,18,32,308,308,100.0
1834,18,34,318,318,100.0
1845,18,45,254,254,100.0
1846,18,46,231,231,100.0
1851,18,51,293,293,100.0
1852,18,52,251,251,100.0
1853,18,53,187,187,100.0
1901,19,1,295,295,100.0
1902,19,2,264,264,100.0
1903,19,3,183,183,100.0
1904,19,4,238,238,100.0
1905,19,5,291,291,100.0
1906,19,6,188,188,100.0
1907,19,7,281,281,100.0
1908,19,8,178,178,100.0
1909,19,9,172,172,100.0
1910,19,10,352,352,100.0
1911,19,11,279,279,100.0
1912,19,12,234,234,100.0
1914,19,14,146,146,100.0
1915,19,15,221,221,100.0
1916,19,16,290,290,100.0
1917,19,17,298,298,100.0
1918,19,18,320,320,100.0
1919,19,19,286,286,100.0
1921,19,21,158,158,100.0
1922,19,22,316,316,100.0
1923,19,23,312,312,100.0
1924,19,24,210,210,100.0
1925,19,25,310,310,100.0
1926,19,26,299,299,100.0
1929,19,29,191,191,100.0
1930,19,30,222,222,100.0
1932,19,32,288,288,100.0
1933,19,33,254,254,100.0
1934,19,34,289,289,100.0
1935,19,35,274,274,100.0
1936,19,36,357,357,100.0
1937,19,37,288,288,100.0
1938,19,38,269,269,100.0
1939,19,39,149,149,100.0
1941,19,41,168,168,100.0
1944,19,44,214,214,100.0
1945,19,45,297,297,100.0
1946,19,46,345,345,100.0
1947,19,47,198,198,100.0
1951,19,51,217,217,100.0
1952,19,52,157,157,100.0
1953,19,53,271,271,100.0
1954,19,54,180,180,100.0
1955,19,55,226,226,100.0
1956,19,56,338,338,100.0
1957,19,57,311,311,100.0
1958,19,58,239,239,100.0
1959,19,59,230,230,100.0
1961,19,61,357,357,100.0
1962,19,62,287,287,100.0
1965,19,65,211,211,100.0
2115,21,15,185,185,100.0
2129,21,29,115,115,100.0
2135,21,35,108,108,100.0
2136,21,36,169,169,100.0
2157,21,57,185,185,100.0
2170,21,70,200,200,100.0
2171,21,71,168,168,100.0
2173,21,73,271,271,100.0
