ward,precinct,total,Susana Mendoza,Susana Mendoza Percent
1103,11,3,126,126,100.0
1202,12,2,116,116,100.0
1203,12,3,110,110,100.0
1204,12,4,100,100,100.0
1205,12,5,116,116,100.0
1206,12,6,108,108,100.0
1208,12,8,32,32,100.0
1209,12,9,98,98,100.0
1210,12,10,140,140,100.0
1211,12,11,191,191,100.0
1212,12,12,104,104,100.0
1213,12,13,167,167,100.0
1214,12,14,132,132,100.0
1217,12,17,133,133,100.0
1219,12,19,156,156,100.0
1220,12,20,132,132,100.0
1221,12,21,140,140,100.0
1223,12,23,144,144,100.0
1224,12,24,166,166,100.0
1407,14,7,143,143,100.0
1408,14,8,113,113,100.0
1410,14,10,163,163,100.0
1412,14,12,145,145,100.0
1414,14,14,145,145,100.0
1416,14,16,167,167,100.0
1417,14,17,185,185,100.0
1418,14,18,190,190,100.0
1419,14,19,218,218,100.0
1420,14,20,127,127,100.0
1421,14,21,169,169,100.0
1422,14,22,184,184,100.0
1423,14,23,212,212,100.0
1426,14,26,178,178,100.0
1429,14,29,182,182,100.0
1430,14,30,143,143,100.0
1431,14,31,153,153,100.0
1433,14,33,128,128,100.0
1434,14,34,25,25,100.0
1435,14,35,148,148,100.0
1611,16,11,158,158,100.0
1613,16,13,114,114,100.0
1621,16,21,129,129,100.0
1623,16,23,134,134,100.0
1632,16,32,80,80,100.0
1642,16,42,146,146,100.0
2004,20,4,136,136,100.0
2021,20,21,96,96,100.0
2208,22,8,134,134,100.0
2209,22,9,173,173,100.0
2211,22,11,136,136,100.0
2215,22,15,104,104,100.0
2222,22,22,118,118,100.0
2228,22,28,32,32,100.0
