ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent
0107,1,7,134,134,100.0
0109,1,9,154,154,100.0
0113,1,13,225,225,100.0
0120,1,20,154,154,100.0
0124,1,24,265,265,100.0
0129,1,29,150,150,100.0
0130,1,30,263,263,100.0
0131,1,31,56,56,100.0
0134,1,34,120,120,100.0
0138,1,38,125,125,100.0
0139,1,39,180,180,100.0
0141,1,41,4,4,100.0
2608,26,8,87,87,100.0
2619,26,19,203,203,100.0
2634,26,34,122,122,100.0
2651,26,51,102,102,100.0
3009,30,9,94,94,100.0
3018,30,18,89,89,100.0
3019,30,19,92,92,100.0
3025,30,25,68,68,100.0
3036,30,36,124,124,100.0
3101,31,1,68,68,100.0
3102,31,2,93,93,100.0
3104,31,4,111,111,100.0
3105,31,5,140,140,100.0
3106,31,6,121,121,100.0
3107,31,7,120,120,100.0
3109,31,9,103,103,100.0
3111,31,11,82,82,100.0
3113,31,13,98,98,100.0
3114,31,14,104,104,100.0
3116,31,16,73,73,100.0
3118,31,18,100,100,100.0
3119,31,19,110,110,100.0
3122,31,22,90,90,100.0
3128,31,28,126,126,100.0
3130,31,30,151,151,100.0
3131,31,31,157,157,100.0
3132,31,32,136,136,100.0
3133,31,33,115,115,100.0
3138,31,38,77,77,100.0
3141,31,41,120,120,100.0
3146,31,46,111,111,100.0
3147,31,47,133,133,100.0
3148,31,48,106,106,100.0
3149,31,49,58,58,100.0
3150,31,50,132,132,100.0
3214,32,14,161,161,100.0
3216,32,16,127,127,100.0
3501,35,1,220,220,100.0
3503,35,3,137,137,100.0
3505,35,5,188,188,100.0
3506,35,6,204,204,100.0
3507,35,7,228,228,100.0
3508,35,8,175,175,100.0
3509,35,9,187,187,100.0
3510,35,10,197,197,100.0
3511,35,11,206,206,100.0
3512,35,12,239,239,100.0
3513,35,13,62,62,100.0
3514,35,14,197,197,100.0
3515,35,15,191,191,100.0
3516,35,16,183,183,100.0
3517,35,17,205,205,100.0
3518,35,18,205,205,100.0
3519,35,19,199,199,100.0
3520,35,20,175,175,100.0
3521,35,21,196,196,100.0
3524,35,24,81,81,100.0
3525,35,25,176,176,100.0
3527,35,27,231,231,100.0
3528,35,28,180,180,100.0
3529,35,29,234,234,100.0
3530,35,30,251,251,100.0
3531,35,31,102,102,100.0
3533,35,33,54,54,100.0
3534,35,34,187,187,100.0
3536,35,36,142,142,100.0
3853,38,53,22,22,100.0
