ward,precinct,total,Deborah L. Mell,Deborah L. Mell Percent
0107,1,7,9,9,100.0
0116,1,16,62,62,100.0
0119,1,19,121,121,100.0
0128,1,28,46,46,100.0
0141,1,41,143,143,100.0
0142,1,42,122,122,100.0
3001,30,1,124,124,100.0
3003,30,3,167,167,100.0
3007,30,7,108,108,100.0
3008,30,8,143,143,100.0
3013,30,13,116,116,100.0
3014,30,14,46,46,100.0
3015,30,15,125,125,100.0
3016,30,16,131,131,100.0
3030,30,30,151,151,100.0
3038,30,38,179,179,100.0
3039,30,39,127,127,100.0
3108,31,8,98,98,100.0
3126,31,26,63,63,100.0
3301,33,1,251,251,100.0
3302,33,2,280,280,100.0
3303,33,3,235,235,100.0
3304,33,4,265,265,100.0
3305,33,5,195,195,100.0
3306,33,6,262,262,100.0
3309,33,9,214,214,100.0
3311,33,11,243,243,100.0
3312,33,12,259,259,100.0
3313,33,13,272,272,100.0
3314,33,14,191,191,100.0
3315,33,15,210,210,100.0
3316,33,16,233,233,100.0
3317,33,17,282,282,100.0
3318,33,18,75,75,100.0
3319,33,19,244,244,100.0
3320,33,20,236,236,100.0
3321,33,21,228,228,100.0
3322,33,22,314,314,100.0
3323,33,23,228,228,100.0
3325,33,25,308,308,100.0
3326,33,26,221,221,100.0
3327,33,27,187,187,100.0
3501,35,1,6,6,100.0
3504,35,4,188,188,100.0
3522,35,22,62,62,100.0
3524,35,24,33,33,100.0
3526,35,26,233,233,100.0
3533,35,33,123,123,100.0
3810,38,10,25,25,100.0
3824,38,24,107,107,100.0
3834,38,34,96,96,100.0
3912,39,12,17,17,100.0
3913,39,13,90,90,100.0
3922,39,22,149,149,100.0
3923,39,23,102,102,100.0
3924,39,24,164,164,100.0
3927,39,27,179,179,100.0
3928,39,28,181,181,100.0
3929,39,29,161,161,100.0
3930,39,30,95,95,100.0
3931,39,31,86,86,100.0
3944,39,44,203,203,100.0
3946,39,46,142,142,100.0
