ward,precinct,total,Jesse G. Reyes,Jesse G. Reyes Percent,Terry MacCarthy,Terry MacCarthy Percent
0101,1,1,180,103,57.22,77,42.78
0102,1,2,158,99,62.66,59,37.34
0103,1,3,128,80,62.5,48,37.5
0104,1,4,154,89,57.79,65,42.21
0105,1,5,153,109,71.24,44,28.76
0106,1,6,173,85,49.13,88,50.87
0107,1,7,143,95,66.43,48,33.57
0108,1,8,163,107,65.64,56,34.36
0109,1,9,154,97,62.99,57,37.01
0110,1,10,164,103,62.8,61,37.2
0111,1,11,130,78,60.0,52,40.0
0112,1,12,180,118,65.56,62,34.44
0113,1,13,200,144,72.0,56,28.0
0114,1,14,173,110,63.58,63,36.42
0115,1,15,150,111,74.0,39,26.0
0116,1,16,86,65,75.58,21,24.42
0117,1,17,135,86,63.7,49,36.3
0118,1,18,132,94,71.21,38,28.79
0119,1,19,137,93,67.88,44,32.12
0120,1,20,151,111,73.51,40,26.49
0121,1,21,126,88,69.84,38,30.16
0122,1,22,165,117,70.91,48,29.09
0123,1,23,139,94,67.63,45,32.37
0124,1,24,273,188,68.86,85,31.14
0125,1,25,137,89,64.96,48,35.04
0126,1,26,129,81,62.79,48,37.21
0127,1,27,86,65,75.58,21,24.42
0128,1,28,105,62,59.05,43,40.95
0129,1,29,147,104,70.75,43,29.25
0130,1,30,259,187,72.2,72,27.8
0131,1,31,153,83,54.25,70,45.75
0132,1,32,155,117,75.48,38,24.52
0133,1,33,167,108,64.67,59,35.33
0134,1,34,104,70,67.31,34,32.69
0135,1,35,98,54,55.1,44,44.9
0136,1,36,155,92,59.35,63,40.65
0137,1,37,120,80,66.67,40,33.33
0138,1,38,117,84,71.79,33,28.21
0139,1,39,177,138,77.97,39,22.03
0140,1,40,86,56,65.12,30,34.88
0141,1,41,173,128,73.99,45,26.01
0142,1,42,127,93,73.23,34,26.77
0143,1,43,116,80,68.97,36,31.03
0144,1,44,126,76,60.32,50,39.68
0145,1,45,184,131,71.2,53,28.8
0146,1,46,169,100,59.17,69,40.83
0147,1,47,159,105,66.04,54,33.96
0148,1,48,94,63,67.02,31,32.98
0149,1,49,71,46,64.79,25,35.21
0150,1,50,120,68,56.67,52,43.33
0201,2,1,267,147,55.06,120,44.94
0202,2,2,54,31,57.41,23,42.59
0203,2,3,231,122,52.81,109,47.19
0204,2,4,144,88,61.11,56,38.89
0205,2,5,230,152,66.09,78,33.91
0206,2,6,246,109,44.31,137,55.69
0207,2,7,286,167,58.39,119,41.61
0208,2,8,269,147,54.65,122,45.35
0209,2,9,209,122,58.37,87,41.63
0210,2,10,183,101,55.19,82,44.81
0211,2,11,313,176,56.23,137,43.77
0212,2,12,215,118,54.88,97,45.12
0213,2,13,232,140,60.34,92,39.66
0214,2,14,309,169,54.69,140,45.31
0215,2,15,114,70,61.4,44,38.6
0216,2,16,222,114,51.35,108,48.65
0217,2,17,168,91,54.17,77,45.83
0218,2,18,206,107,51.94,99,48.06
0219,2,19,213,105,49.3,108,50.7
0220,2,20,255,138,54.12,117,45.88
0221,2,21,215,101,46.98,114,53.02
0222,2,22,312,172,55.13,140,44.87
0223,2,23,163,93,57.06,70,42.94
0224,2,24,132,82,62.12,50,37.88
0225,2,25,283,172,60.78,111,39.22
0226,2,26,182,91,50.0,91,50.0
0227,2,27,171,89,52.05,82,47.95
0228,2,28,110,50,45.45,60,54.55
0229,2,29,122,73,59.84,49,40.16
0230,2,30,223,122,54.71,101,45.29
0231,2,31,239,144,60.25,95,39.75
0232,2,32,108,63,58.33,45,41.67
0233,2,33,137,80,58.39,57,41.61
0234,2,34,146,78,53.42,68,46.58
0235,2,35,60,36,60.0,24,40.0
0236,2,36,266,132,49.62,134,50.38
0237,2,37,180,110,61.11,70,38.89
0238,2,38,274,150,54.74,124,45.26
0239,2,39,216,138,63.89,78,36.11
0240,2,40,320,166,51.88,154,48.13
0241,2,41,113,72,63.72,41,36.28
0242,2,42,93,53,56.99,40,43.01
0243,2,43,253,149,58.89,104,41.11
0244,2,44,175,113,64.57,62,35.43
0245,2,45,209,131,62.68,78,37.32
0246,2,46,318,183,57.55,135,42.45
0247,2,47,138,88,63.77,50,36.23
0248,2,48,166,91,54.82,75,45.18
0249,2,49,129,74,57.36,55,42.64
0250,2,50,146,104,71.23,42,28.77
0251,2,51,195,111,56.92,84,43.08
0252,2,52,247,158,63.97,89,36.03
0253,2,53,186,106,56.99,80,43.01
0254,2,54,235,129,54.89,106,45.11
0255,2,55,61,28,45.9,33,54.1
0256,2,56,213,131,61.5,82,38.5
0301,3,1,205,119,58.05,86,41.95
0302,3,2,291,204,70.1,87,29.9
0303,3,3,201,123,61.19,78,38.81
0304,3,4,158,110,69.62,48,30.38
0305,3,5,183,124,67.76,59,32.24
0306,3,6,161,105,65.22,56,34.78
0307,3,7,194,113,58.25,81,41.75
0308,3,8,210,134,63.81,76,36.19
0309,3,9,213,147,69.01,66,30.99
