ward,precinct,total,Roderick T. Sawyer,Roderick T. Sawyer Percent
0601,6,1,340,340,100.0
0602,6,2,311,311,100.0
0603,6,3,325,325,100.0
0604,6,4,200,200,100.0
0605,6,5,193,193,100.0
0606,6,6,300,300,100.0
0607,6,7,290,290,100.0
0608,6,8,332,332,100.0
0609,6,9,293,293,100.0
0610,6,10,223,223,100.0
0611,6,11,294,294,100.0
0612,6,12,236,236,100.0
0613,6,13,234,234,100.0
0614,6,14,280,280,100.0
0615,6,15,223,223,100.0
0616,6,16,303,303,100.0
0617,6,17,212,212,100.0
0618,6,18,181,181,100.0
0619,6,19,244,244,100.0
0620,6,20,179,179,100.0
0621,6,21,175,175,100.0
0622,6,22,202,202,100.0
0623,6,23,163,163,100.0
0624,6,24,177,177,100.0
0625,6,25,179,179,100.0
0626,6,26,223,223,100.0
0627,6,27,173,173,100.0
0628,6,28,146,146,100.0
0629,6,29,326,326,100.0
0630,6,30,258,258,100.0
0631,6,31,303,303,100.0
0632,6,32,279,279,100.0
0633,6,33,317,317,100.0
0634,6,34,317,317,100.0
0635,6,35,277,277,100.0
0636,6,36,349,349,100.0
0637,6,37,339,339,100.0
0638,6,38,339,339,100.0
0639,6,39,279,279,100.0
0640,6,40,269,269,100.0
0641,6,41,344,344,100.0
0642,6,42,314,314,100.0
0643,6,43,245,245,100.0
0644,6,44,298,298,100.0
0645,6,45,315,315,100.0
0646,6,46,198,198,100.0
0647,6,47,227,227,100.0
0648,6,48,309,309,100.0
