ward,precinct,total,George Cardenas,George Cardenas Percent,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent
1201,12,1,344,173,50.29,171,49.71
1202,12,2,304,126,41.45,178,58.55
1203,12,3,396,166,41.92,230,58.08
1204,12,4,375,169,45.07,206,54.93
1205,12,5,306,200,65.36,106,34.64
1206,12,6,334,143,42.81,191,57.19
1207,12,7,318,133,41.82,185,58.18
1208,12,8,387,190,49.1,197,50.9
1209,12,9,288,152,52.78,136,47.22
1210,12,10,406,161,39.66,245,60.34
1211,12,11,344,154,44.77,190,55.23
1212,12,12,341,205,60.12,136,39.88
1213,12,13,347,145,41.79,202,58.21
1214,12,14,302,138,45.7,164,54.3
1215,12,15,273,114,41.76,159,58.24
1216,12,16,338,149,44.08,189,55.92
1217,12,17,337,147,43.62,190,56.38
1218,12,18,282,120,42.55,162,57.45
1219,12,19,347,176,50.72,171,49.28
1220,12,20,397,207,52.14,190,47.86
1221,12,21,345,160,46.38,185,53.62
1222,12,22,370,166,44.86,204,55.14
1223,12,23,346,175,50.58,171,49.42
