ward,precinct,total,Kevin Bailey,Kevin Bailey Percent
2001,20,1,238,238,100.0
2002,20,2,116,116,100.0
2003,20,3,206,206,100.0
2004,20,4,125,125,100.0
2005,20,5,247,247,100.0
2006,20,6,132,132,100.0
2007,20,7,281,281,100.0
2008,20,8,229,229,100.0
2009,20,9,300,300,100.0
2010,20,10,213,213,100.0
2011,20,11,329,329,100.0
2012,20,12,177,177,100.0
2013,20,13,273,273,100.0
2014,20,14,150,150,100.0
2015,20,15,250,250,100.0
2016,20,16,292,292,100.0
2017,20,17,140,140,100.0
2018,20,18,197,197,100.0
2019,20,19,269,269,100.0
2020,20,20,213,213,100.0
2021,20,21,215,215,100.0
2022,20,22,329,329,100.0
2023,20,23,271,271,100.0
2024,20,24,239,239,100.0
2025,20,25,194,194,100.0
2026,20,26,278,278,100.0
2027,20,27,156,156,100.0
2028,20,28,171,171,100.0
2029,20,29,301,301,100.0
2030,20,30,136,136,100.0
2031,20,31,291,291,100.0
2032,20,32,271,271,100.0
2033,20,33,153,153,100.0
2034,20,34,348,348,100.0
2035,20,35,212,212,100.0
2036,20,36,99,99,100.0
2037,20,37,92,92,100.0
2038,20,38,113,113,100.0
2039,20,39,43,43,100.0
